time,lat,lon,depth,Station,PC,PATP,PATP_outlier_flag
2021-11-19T16:52:00.000Z,31.13,-119.82,4.5,underway,,59.4,0
2021-11-19T19:55:00.000Z,30.76,-120.46,4.5,underway,,49.4,0
2021-11-20T01:30:00.000Z,30.1,-121.58,4.5,underway,,80.3,0
2021-11-20T18:01:27.000Z,28.44,-124.4,5.1,1,2.02,12.6,0
2021-11-20T18:01:27.000Z,28.44,-124.4,15,1,2.39,25.2,0
2021-11-21T12:36:53.000Z,27.07,-126.67,5,2,1.98,24.5,0
2021-11-21T15:07:00.000Z,27.07,-126.67,4.5,underway,,22.8,0
2021-11-22T02:16:00.000Z,25.96,-128.5,4.5,underway,,38.3,0
2021-11-22T16:07:00.000Z,24.29,-131.23,4.5,underway,,26.8,0
2021-11-23T00:02:00.000Z,23.1,-133.14,4.5,underway,,27.7,0
2021-11-23T13:26:35.000Z,21.74,-135.31,5,3,2.24,21.8,0
2021-11-25T18:44:45.000Z,19.51,-138.58,5.8,4,1.95,33.9,0
2021-11-25T18:44:45.000Z,19.51,-138.58,15,4,2.15,80.2,1
2021-11-26T13:30:36.000Z,17.67,-140.16,5,5,1.92,24.5,0
2021-11-26T13:30:36.000Z,17.67,-140.16,15,5,0,,
2021-11-27T13:27:52.000Z,13.95,-140,5,6,2.44,46.2,0
2021-11-27T21:40:00.000Z,13.85,-140.01,4.5,underway,,,
2021-11-28T01:30:00.000Z,12.44,-140,4.5,underway,,169.9,0
2021-11-28T05:30:00.000Z,11.62,-140,4.5,underway,,,
2021-11-28T22:03:26.000Z,10.7,-139.99,4.5,7,2.92,41.8,0
2021-11-28T22:03:26.000Z,10.7,-139.99,14.9,7,2.68,80.9,1
2021-11-30T05:30:00.000Z,9.67,-140,4.5,underway,,,
2021-11-30T09:30:00.000Z,7.93,-140,4.5,underway,,,
2021-11-30T13:29:16.000Z,8.39,-140,5,8,2.25,36.4,0
2021-12-01T04:00:00.000Z,6.66,-140.01,4.5,underway,,,
2021-12-01T06:00:00.000Z,5.91,-140,4.5,underway,,,
2021-12-01T08:49:00.000Z,5.36,-140,4.5,underway,,,
2021-12-01T22:04:11.000Z,4.77,-139.99,5.2,9,3.19,63.7,0
2021-12-01T22:04:11.000Z,4.77,-139.99,15,9,3.83,112,0
2021-12-02T22:40:00.000Z,3.58,-140,4.5,underway,,,
2021-12-03T01:07:00.000Z,3.18,-140,4.5,underway,,,
2021-12-03T04:32:00.000Z,2.54,-140,4.5,underway,,,
2021-12-03T09:28:00.000Z,1.63,-140,4.5,underway,,,
2021-12-03T13:27:38.000Z,1.12,-140.01,5,10,3.75,46.5,0
2021-12-03T21:25:00.000Z,0.46,-140,4.5,underway,,,
2021-12-04T05:58:55.000Z,0,-140,5,11,4.5,96.6,0
2021-12-04T05:58:55.000Z,0,-140,15,11,4.64,88.1,0
2021-12-05T14:45:00.000Z,0.51,-139.73,4.5,underway,,,
2021-12-05T19:03:00.000Z,0.17,-139.93,4.5,underway,,,
2021-12-05T19:50:00.000Z,-1.76,-140,4.5,underway,,,
2021-12-05T20:33:00.000Z,0.09,-140,4.5,underway,,,
2021-12-05T22:28:00.000Z,0.43,-140,4.5,underway,,,
2021-12-05T23:56:00.000Z,-0.69,-140,4.5,underway,,,
2021-12-06T02:00:00.000Z,-1.05,-140,4.5,underway,,,
2021-12-06T04:00:00.000Z,-1.42,-140,4.5,underway,,,
2021-12-06T08:39:00.000Z,2.24,-140,4.5,underway,,,
2021-12-07T03:34:58.000Z,-2.45,-140.05,5.3,12,3.59,69.3,0
2021-12-07T03:34:58.000Z,-2.45,-140.05,15,12,3.68,35.2,0
2021-12-08T13:27:16.000Z,0.11,-141.92,5,13,5.32,125.3,0
2021-12-09T13:02:22.000Z,3.5,-144.43,4.8,14,3.81,53.6,0
2021-12-10T13:01:56.000Z,6.5,-146.65,5.1,15,3.55,52.6,0
2021-12-11T03:40:00.000Z,4.73,-148.98,4.5,underway,,,
2021-12-11T04:53:00.000Z,8.23,-147.94,4.5,underway,,,
2021-12-11T09:23:00.000Z,8.62,-148.23,4.5,underway,,,
2021-12-11T11:31:00.000Z,9,-148.51,4.5,underway,,,
2021-12-11T13:58:13.000Z,9.25,-148.7,5,16,2.09,36,0
2021-12-12T06:00:00.000Z,10.67,-149.76,4.5,underway,,,
2021-12-12T08:00:00.000Z,11,-150.01,4.5,underway,,,
2021-12-12T12:10:00.000Z,11.68,-150.52,4.5,underway,,,
2021-12-12T14:01:04.000Z,11.91,-150.69,5.2,17,1.89,43.5,0
2021-12-12T23:29:00.000Z,12.39,-151.06,4.5,underway,,,
