concentration,sample_id,analyte,units,sample_fration,sample_type,station,cast,depth_m,parent_id,collection_timestamp_UTC
593.432173028414,S1_C1_5M_A,DOC,umolC/L,dissolved,DOC,1,1,1,S1_C1_5M,NA
134.663043185349,S1_C1_5M_B,DOC,umolC/L,dissolved,DOC,1,1,1,S1_C1_5M,NA
745.258367554465,S1_C1_DCM_A,DOC,umolC/L,dissolved,DOC,1,1,4,S1_C1_DCM,NA
113.946630160345,S1_C1_DCM_B,DOC,umolC/L,dissolved,DOC,1,1,4,S1_C1_DCM,NA
73.077028181285,S2_C1_SRF_A,DOC,umolC/L,dissolved,DOC,2,2,3,S2_C1_SRF,2022-06-03T14:27:00Z
71.1127863604557,S2_C1_SRF_B,DOC,umolC/L,dissolved,DOC,2,2,3,S2_C1_SRF,2022-06-03T14:27:00Z
72.1463890723667,S2_C1_SRF_C,DOC,umolC/L,dissolved,DOC,2,2,3,S2_C1_SRF,2022-06-03T14:27:00Z
56.6185662100721,S2_C2_D1_A,DOC,umolC/L,dissolved,DOC,2,2,135,S2_C2_D1,2022-06-04T13:31:00Z
54.5410724846726,S2_C2_D1_B,DOC,umolC/L,dissolved,DOC,2,2,135,S2_C2_D1,2022-06-04T13:31:00Z
65.1211445641769,S2_C2_D1_C,DOC,umolC/L,dissolved,DOC,2,2,135,S2_C2_D1,2022-06-04T13:31:00Z
59.0931579322995,S2_C2_D2_A,DOC,umolC/L,dissolved,DOC,2,2,65,S2_C2_D2,2022-06-04T13:31:00Z
58.4879389663125,S2_C2_D2_B,DOC,umolC/L,dissolved,DOC,2,2,65,S2_C2_D2,2022-06-04T13:31:00Z
58.8087208671053,S2_C2_D2_C,DOC,umolC/L,dissolved,DOC,2,2,65,S2_C2_D2,2022-06-04T13:31:00Z
67.2569923899941,S2_C3_D3_A,DOC,umolC/L,dissolved,DOC,3,2,45,S2_C3_D3,2022-06-04T15:35:00Z
66.8249822192321,S2_C3_D3_B,DOC,umolC/L,dissolved,DOC,3,2,45,S2_C3_D3,2022-06-04T15:35:00Z
68.1250600007201,S2_C3_D3_C,DOC,umolC/L,dissolved,DOC,3,2,45,S2_C3_D3,2022-06-04T15:35:00Z
92.3419937658232,S2_C3_D4_A,DOC,umolC/L,dissolved,DOC,3,2,30,S2_C3_D4,2022-06-04T15:35:00Z
67.5941334961672,S2_C3_D4_B,DOC,umolC/L,dissolved,DOC,3,2,30,S2_C3_D4,2022-06-04T15:35:00Z
65.6965104427321,S2_C3_D4_C,DOC,umolC/L,dissolved,DOC,3,2,30,S2_C3_D4,2022-06-04T15:35:00Z
76.8561657985661,S2_C6_D1_A,DOC,umolC/L,dissolved,DOC,5,2,4,S2_C6_D1,2022-06-05T13:33:00Z
73.6927861646407,S2_C6_D1_B,DOC,umolC/L,dissolved,DOC,5,2,4,S2_C6_D1,2022-06-05T13:33:00Z
75.7922891548594,S2_C6_D1_C,DOC,umolC/L,dissolved,DOC,5,2,4,S2_C6_D1,2022-06-05T13:33:00Z
81.0894929800012,S2_C9_D1_A,DOC,umolC/L,dissolved,DOC,NA,NA,NA,NA,NA
69.9318612587681,S2_C9_D1_B,DOC,umolC/L,dissolved,DOC,NA,NA,NA,NA,NA
72.5643143881407,S2_C9_D1_C,DOC,umolC/L,dissolved,DOC,NA,NA,NA,NA,NA
87.1215268810804,S2_C4_D5_A,DOC,umolC/L,dissolved,DOC,4,2,15,S2_C4_D5,2022-06-04T18:20:00Z
78.0290769490685,S2_C4_D5_B,DOC,umolC/L,dissolved,DOC,4,2,15,S2_C4_D5,2022-06-04T18:20:00Z
72.6006592237392,S2_C4_D5_C,DOC,umolC/L,dissolved,DOC,4,2,15,S2_C4_D5,2022-06-04T18:20:00Z
72.6349804247368,S2_C4_D6_A,DOC,umolC/L,dissolved,DOC,4,2,4,S2_C4_D6,2022-06-04T18:20:00Z
71.403545045244,S2_C4_D6_B,DOC,umolC/L,dissolved,DOC,4,2,4,S2_C4_D6,2022-06-04T18:20:00Z
73.4364292680685,S2_C4_D6_C,DOC,umolC/L,dissolved,DOC,4,2,4,S2_C4_D6,2022-06-04T18:20:00Z
74.9363633517392,S3_C1_D2_A,DOC,umolC/L,dissolved,DOC,3,1,100,S3_C1_D2,2022-06-05T16:30:00Z
65.3775820479676,S3_C1_D2_B,DOC,umolC/L,dissolved,DOC,3,1,100,S3_C1_D2,2022-06-05T16:30:00Z
67.676941340369,S3_C1_D2_C,DOC,umolC/L,dissolved,DOC,3,1,100,S3_C1_D2,2022-06-05T16:30:00Z
59.1041177940321,S3_C1_D1_A,DOC,umolC/L,dissolved,DOC,3,1,230,S3_C1_D1,2022-06-05T16:30:00Z
55.0946798141999,S3_C1_D1_B,DOC,umolC/L,dissolved,DOC,3,1,230,S3_C1_D1,2022-06-05T16:30:00Z
58.033579273586,S3_C1_D1_C,DOC,umolC/L,dissolved,DOC,3,1,230,S3_C1_D1,2022-06-05T16:30:00Z
73.6100589076574,S3_C2_D3_A,DOC,umolC/L,dissolved,DOC,3,2,10,S3_C2_D3,2022-06-05T18:33:00Z
70.1135854367608,S3_C2_D3_B,DOC,umolC/L,dissolved,DOC,3,2,10,S3_C2_D3,2022-06-05T18:33:00Z
70.1479066377584,S3_C2_D3_C,DOC,umolC/L,dissolved,DOC,3,2,10,S3_C2_D3,2022-06-05T18:33:00Z
69.4494213974195,S3_C2_D4_A,DOC,umolC/L,dissolved,DOC,3,2,4,S3_C2_D4,2022-06-05T18:33:00Z
72.1484932941863,S3_C2_D4_B,DOC,umolC/L,dissolved,DOC,3,2,4,S3_C2_D4,2022-06-05T18:33:00Z
89.1706001807125,S3_C2_D4_C,DOC,umolC/L,dissolved,DOC,3,2,4,S3_C2_D4,2022-06-05T18:33:00Z
104.260762812806,S5_UWAY_A,DOC,umolC/L,dissolved,DOC,5,NA,2,S5_UWAY,NA
114.820849262092,S5_UWAY_B,DOC,umolC/L,dissolved,DOC,5,NA,2,S5_UWAY,NA
