SampID,Cruise,Lat,Long,Local_Date,Local_Time,depth_m,station,Treatment
220902_Smp_TN397_U1_A,TN397,32.25921,-117.3388,18/11/2021,22:00:00,7,NA,NA
220902_Smp_TN397_U1_B,TN397,32.25921,-117.3388,18/11/2021,22:00:00,7,NA,NA
220902_Smp_TN397_U1_C,TN397,32.25921,-117.3388,18/11/2021,22:00:00,7,NA,NA
220902_Smp_TN397_U2_A,TN397,32.11654,-117.58582,19/11/2021,00:00:00,7,NA,NA
220902_Smp_TN397_U2_B,TN397,32.11654,-117.58582,19/11/2021,00:00:00,7,NA,NA
220902_Smp_TN397_U2_C,TN397,32.11654,-117.58582,19/11/2021,00:00:00,7,NA,NA
220902_Smp_TN397_U3_A,TN397,31.5634,-118.25816,19/11/2021,02:09:00,7,NA,NA
220902_Smp_TN397_U3_B,TN397,31.5634,-118.25816,19/11/2021,02:09:00,7,NA,NA
220902_Smp_TN397_U3_C,TN397,31.5634,-118.25816,19/11/2021,02:09:00,7,NA,NA
220902_Smp_TN397_U4_A,TN397,31.26598,-119.15959,19/11/2021,06:10:00,7,NA,NA
220902_Smp_TN397_U4_B,TN397,31.26598,-119.15959,19/11/2021,06:10:00,7,NA,NA
220902_Smp_TN397_U4_C,TN397,31.26598,-119.15959,19/11/2021,06:10:00,7,NA,NA
220902_Smp_TN397_MQBlk1_A,TN397,NA,NA,19/11/2021,14:30:00,7,NA,NA
220902_Smp_TN397_MQBlk1_B,TN397,NA,NA,19/11/2021,14:30:00,7,NA,NA
220902_Smp_TN397_MQBlk1_C,TN397,NA,NA,19/11/2021,14:30:00,7,NA,NA
220902_Smp_TN397_UnfiltMQ1_A,TN397,NA,NA,19/11/2021,14:55:00,7,NA,NA
220902_Smp_TN397_UnfiltMQ1_B,TN397,NA,NA,19/11/2021,14:55:00,7,NA,NA
220902_Smp_TN397_UnfiltMQ1_C,TN397,NA,NA,19/11/2021,14:55:00,7,NA,NA
220902_Smp_TN397_U5_A,TN397,30.10413,-121.27565,19/11/2021,17:11:00,7,NA,NA
220902_Smp_TN397_U5_B,TN397,30.10413,-121.27565,19/11/2021,17:11:00,7,NA,NA
220902_Smp_TN397_U5_C,TN397,30.10413,-121.27565,19/11/2021,17:11:00,7,NA,NA
220902_Smp_TN397_DFBlk1_A,TN397,30.10413,-121.27565,19/11/2021,17:11:00,7,NA,NA
220902_Smp_TN397_DFBlk1_B,TN397,30.10413,-121.27565,19/11/2021,17:11:00,7,NA,NA
220902_Smp_TN397_DFBlk1_C,TN397,30.10413,-121.27565,19/11/2021,17:11:00,7,NA,NA
220902_Smp_TN397_S1_U_A,TN397,28.32288,-124.13627,20/11/2021,06:22:00,7,NA,NA
220902_Smp_TN397_S1_U_B,TN397,28.32288,-124.13627,20/11/2021,06:22:00,7,NA,NA
220902_Smp_TN397_S1_U_C,TN397,28.32288,-124.13627,20/11/2021,06:22:00,7,NA,NA
220902_Smp_TN397_S2_U_A,TN397,27.0673,-126.6739,21/11/2021,06:45:00,7,NA,NA
220902_Smp_TN397_S2_U_B,TN397,27.0673,-126.6739,21/11/2021,06:45:00,7,NA,NA
220902_Smp_TN397_S2_U_C,TN397,27.0673,-126.6739,21/11/2021,06:45:00,7,NA,NA
220902_Smp_TN397_U6_A,TN397,25.98,-128.46,21/11/2021,17:50:00,7,NA,NA
220902_Smp_TN397_U6_B,TN397,25.98,-128.46,21/11/2021,17:55:00,7,NA,NA
220902_Smp_TN397_U6_C,TN397,25.98,-128.46,21/11/2021,18:00:00,7,NA,NA
220902_Smp_TN397_U7_A,TN397,24.43,-130.99,22/11/2021,06:54:00,7,NA,NA
220902_Smp_TN397_U7_B,TN397,24.43,-130.99,22/11/2021,06:54:00,7,NA,NA
220902_Smp_TN397_U7_C,TN397,24.43,-130.99,22/11/2021,06:54:00,7,NA,NA
