Compound,Leg,lat_bin,mean_lat,mean_part_conc,sd_part_conc
Total,Leg_1,"[22,23)",22.24,4.394013247273503,0.8350332506305864
Total,Leg_1,"[24,25)",24.1,4.412675859140485,0.3957165545855785
Total,Leg_1,"[25,26)",25.55,4.960149467560891,0.32520383617838744
Total,Leg_1,"[27,28)",27.47,5.7289660568262635,1.1127919001030344
Total,Leg_1,"[29,30)",29.28,3.9425772997574633,0.01417051312607911
Total,Leg_1,"[31,32)",31.1,4.2659215829636,1.1771889977570127
Total,Leg_1,"[32,33)",32.18,3.981647150659827,0.3987312854250568
Total,Leg_1,"[34,35)",34.16,5.103785927956939,0.33029610256625935
Total,Leg_1,"[35,36)",35.59,7.304914497852975,0.6669926808786331
Total,Leg_1,"[36,37)",36.57,9.572901052859587,4.934572139364881
Total,Leg_1,"[38,39)",38.58,26.58788439625539,9.430631536212749
Homarine,Leg_1,"[22,23)",22.24,0.017158634104636424,0.004239258372979214
Homarine,Leg_1,"[24,25)",24.1,0.0205365296529285,0.005527470648071263
Homarine,Leg_1,"[25,26)",25.55,0.02187207837249326,0.0032698712798000518
Homarine,Leg_1,"[27,28)",27.47,0.02481076314033788,0.003199649805399669
Homarine,Leg_1,"[29,30)",29.28,0.02443758383325216,0.002937463132348316
Homarine,Leg_1,"[31,32)",31.1,0.030654378350099307,0.008319881949100532
Homarine,Leg_1,"[32,33)",32.18,0.045846890445941105,0.0022160989535496296
Homarine,Leg_1,"[34,35)",34.16,0.1428920754747191,0.01566460322713158
Homarine,Leg_1,"[35,36)",35.59,0.4373881204494515,0.04435225359394926
Homarine,Leg_1,"[36,37)",36.57,0.49814554935984556,0.1214557483243297
Homarine,Leg_1,"[38,39)",38.58,0.835287090945673,0.15698213296838034
Sucrose,Leg_1,"[22,23)",22.24,0.12861508193385604,0.013455791970414835
Sucrose,Leg_1,"[24,25)",24.1,0.1811254855483109,0.01904960663733446
Sucrose,Leg_1,"[25,26)",25.55,0.20257632516411728,0.007865279313011406
Sucrose,Leg_1,"[27,28)",27.47,0.23516854185394748,0.014193478426577246
Sucrose,Leg_1,"[29,30)",29.28,0.11161984130617379,0.00762762915555834
Sucrose,Leg_1,"[31,32)",31.1,0.12472068573238179,0.01983439335514716
Sucrose,Leg_1,"[32,33)",32.18,0.059901596116359,0.0019028481144650312
Sucrose,Leg_1,"[34,35)",34.16,0.06750232895606298,0.021484409033354072
Sucrose,Leg_1,"[35,36)",35.59,0.05027143694744503,0.004312014154659799
Sucrose,Leg_1,"[36,37)",36.57,0.05439517211698362,0.00750837495896963
Sucrose,Leg_1,"[38,39)",38.58,0.03293284001355061,0.005140257560430248
