compound.name.figure,Leg,lat_bin,mean_lat,mean_part_conc,sd_part_conc
(Iso)leucine,Leg_2,"[-3,-2)",-2.409,1.4109761658434752,0.19782774104139675
(Iso)leucine,Leg_2,"[-2,-1)",-1.06,1.7089433401510838,0.25044871630998033
(Iso)leucine,Leg_2,"[0,1)",0.23776,0.8650326251240466,0.11589350177470682
(Iso)leucine,Leg_2,"[1,2)",1.1248,1.1886621645000568,0.21756151858221975
(Iso)leucine,Leg_2,"[3,4)",3.015,1.287389013943931,0.05177844627445938
(Iso)leucine,Leg_2,"[4,5)",4.760149999999999,1.5123429849542231,0.34145664183075203
(Iso)leucine,Leg_2,"[6,7)",6.7602,1.474143954472834,0.16047806267765896
(Iso)leucine,Leg_2,"[8,9)",8.388,1.2326606873193622,0.22380070288235734
(Iso)leucine,Leg_2,"[10,11)",10.69765,1.0451181166232923,0.15690476425487376
(Iso)leucine,Leg_2,"[12,13)",12.389,1.1917654691781447,0.2795629047506313
(Iso)leucine,Leg_2,"[13,14)",13.9487,1.2598019952071844,0.20011681307411985
Alanine,Leg_2,"[-3,-2)",-2.409,0.5195542442593141,0.06857778526964622
Alanine,Leg_2,"[-2,-1)",-1.06,0.7585656544361388,0.11206358462689762
Alanine,Leg_2,"[0,1)",0.23776,0.5010351665894093,0.05930306525245516
Alanine,Leg_2,"[1,2)",1.1248,0.6213940872265282,0.037275512672271714
Alanine,Leg_2,"[3,4)",3.015,0.6567100308053181,0.1267932827497033
Alanine,Leg_2,"[4,5)",4.760149999999999,0.5755326565842441,0.06180383160819537
Alanine,Leg_2,"[6,7)",6.7602,0.44482820735767303,0.09519737775355652
Alanine,Leg_2,"[8,9)",8.388,0.2203808768124289,0.006759224412127129
Alanine,Leg_2,"[10,11)",10.69765,0.13611149417928817,0.019621120562731933
Alanine,Leg_2,"[12,13)",12.389,0.2096995737694275,0.05161861637635913
Alanine,Leg_2,"[13,14)",13.9487,0.2263562578726205,0.026427979854734943
Arsenobetaine,Leg_2,"[-3,-2)",-2.409,0.001397172870405081,1.8475480603612923e-4
