Batch,Type,Organism,SampID,Compound,Detected
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_A,(3-Carboxypropyl)trimethylammonium,Yes
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_B,(3-Carboxypropyl)trimethylammonium,Yes
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_C,(3-Carboxypropyl)trimethylammonium,Yes
Bacteria,Bacteria,OCh114,220111_Smp_Och_A,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,OCh114,220111_Smp_Och_B,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,OCh114,220111_Smp_Och_C,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_A,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_B,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_C,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA11,220111_Smp_SA11_A,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA11,220111_Smp_SA11_B,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA11,220111_Smp_SA11_C,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA16,220111_Smp_SA16_A,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA16,220111_Smp_SA16_B,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA16,220111_Smp_SA16_C,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA36,220111_Smp_SA36_A,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA36,220111_Smp_SA36_B,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA36,220111_Smp_SA36_C,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA42,220111_Smp_SA42_A,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA44,220111_Smp_SA44_B,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA44,220111_Smp_SA44_C,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA48,220111_Smp_SA48_A,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA48,220111_Smp_SA48_B,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA48,220111_Smp_SA48_C,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA53,220111_Smp_SA53_A,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA53,220111_Smp_SA53_B,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA53,220111_Smp_SA53_C,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA55,220111_Smp_SA55_A,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA55,220111_Smp_SA55_B,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA55,220111_Smp_SA55_C,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA59,220111_Smp_SA59_A,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA59,220111_Smp_SA59_B,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA59,220111_Smp_SA59_C,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA60,220111_Smp_SA60_A,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,SA60,220111_Smp_SA60_B,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp1,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp2,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp3,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St1,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St2,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St3,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St4,(3-Carboxypropyl)trimethylammonium,No
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_A,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_B,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_C,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,OCh114,220111_Smp_Och_A,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,OCh114,220111_Smp_Och_B,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,OCh114,220111_Smp_Och_C,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_A,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_B,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_C,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA11,220111_Smp_SA11_A,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA11,220111_Smp_SA11_B,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA11,220111_Smp_SA11_C,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA16,220111_Smp_SA16_A,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA16,220111_Smp_SA16_B,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA16,220111_Smp_SA16_C,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA36,220111_Smp_SA36_A,2-O-alpha-D-Glucosylglycerol,No
