Name,SampID,Batch,uM.in.vial.ave,uM_in_samp,uM_C_smp,uM_N_smp,uM_S_smp
(3-Carboxypropyl)trimethylammonium,220111_Blk_MediaBlk_A,Bacteria,0,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220111_Blk_MediaBlk_AMS,Bacteria,0,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220111_Blk_MediaBlk_AOA,Bacteria,0,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220111_Blk_MediaBlk_B,Bacteria,0,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_DSS3_A,Bacteria,0.5466982840036555,0.0072893104533820734,0.05102517317367451,0.0072893104533820734,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_DSS3_B,Bacteria,0.5602995141340409,0.007470660188453879,0.05229462131917715,0.007470660188453879,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_DSS3_C,Bacteria,0.550552377562942,0.007340698367505893,0.05138488857254125,0.007340698367505893,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_Och_A,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_Och_B,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_Och_C,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA7_A,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA7_B,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA7_C,Bacteria,9.701653749927161e-5,1.5522645999883457e-6,1.086585219991842e-5,1.5522645999883457e-6,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA11_A,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA11_B,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA11_C,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA16_A,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA16_B,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA16_C,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA36_A,Bacteria,7.756500949817507e-5,1.0342001266423343e-6,7.23940088649634e-6,1.0342001266423343e-6,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA36_B,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA36_C,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA42_A,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA44_B,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA44_C,Bacteria,1.1200378038536239e-4,1.4933837384714984e-6,1.045368616930049e-5,1.4933837384714984e-6,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA48_A,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA48_B,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA48_C,Bacteria,4.673499870395407e-5,6.231333160527209e-7,4.361933212369046e-6,6.231333160527209e-7,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA53_A,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA53_B,Bacteria,8.041157457150627e-5,1.2865851931441e-6,9.006096352008701e-6,1.2865851931441e-6,NA
