Name,Batch,RFmax,RFmin,RF,RFratio
(3-Carboxypropyl)trimethylammonium,Bacteria,323278848,195399008,259338928,0.9915674307088872
(3-Carboxypropyl)trimethylammonium,Cyano,465695776,428380352,447038064,0.776640809192563
(3-Carboxypropyl)trimethylammonium,Diatom,400614304,329853952,365234128,0.9123909526488425
(3-Carboxypropyl)trimethylammonium,Dino_Green,450356704,450356704,450356704,0.7936436269859547
(3-Carboxypropyl)trimethylammonium,Haptophyte,352340736,184568176,268454456,1.017565096939031
"(R)-2,3-Dihydroxypropane-1-sulfonate",Bacteria,90199736,38442800,64321268,0.6881886647080756
"(R)-2,3-Dihydroxypropane-1-sulfonate",Cyano,152242032,112809664,132525848,0.49084425565897016
"(R)-2,3-Dihydroxypropane-1-sulfonate",Diatom,103072184,76531632,89801908,0.9677957114148164
"(R)-2,3-Dihydroxypropane-1-sulfonate",Dino_Green,118647656,118647656,118647656,0.3952421950923329
"(R)-2,3-Dihydroxypropane-1-sulfonate",Haptophyte,154430208,98300208,126365208,0.605461023038938
2-O-alpha-D-Glucosylglycerol,Bacteria,606724,315413.5,461068.75,1.4602603156838703
2-O-alpha-D-Glucosylglycerol,Cyano,553736.5,350543.75,452140.125,0.9226148456941656
2-O-alpha-D-Glucosylglycerol,Diatom,437426.5,341484.5,389455.5,0.9226148456941656
2-O-alpha-D-Glucosylglycerol,Dino_Green,401681,401681,401681,0.8770709841889459
2-O-alpha-D-Glucosylglycerol,Haptophyte,1201246.5,430340.25,815793.375,0.4305132372096809
5-Hydroxyectoine,Bacteria,877825520,534746360,706285940,1.0664771949869334
5-Hydroxyectoine,Cyano,1010448720,925363600,967906160,0.9191936949785029
5-Hydroxyectoine,Diatom,1257308080,1067811760,1162559920,1.1305647360049913
5-Hydroxyectoine,Dino_Green,1056070080,1056070080,1056070080,1.059493286657643
5-Hydroxyectoine,Haptophyte,978309040,635954000,807131520,0.9155299815789605
Arsenobetaine,Bacteria,299788256,225969168,262878712,1.044828903861022
Arsenobetaine,Cyano,438482112,366458464,402470288,0.7938414800474056
Arsenobetaine,Diatom,411593824,397054752,404324288,0.745663650669485
Arsenobetaine,Dino_Green,449268992,449268992,449268992,0.844356727828659
Arsenobetaine,Haptophyte,358682528,296771520,327727024,0.9853319203409894
Betonicine,Bacteria,357166176,262817840,309992008,0.9825590808318687
Betonicine,Cyano,499303360,391047360,445175360,0.964615297734587
Betonicine,Diatom,497011520,470371776,483691648,0.9143847268714949
Betonicine,Dino_Green,474159520,474159520,474159520,0.5503969481620868
Betonicine,Haptophyte,400860544,308914784,354887664,0.7198361364325231
Carnitine,Bacteria,554280320,366191136,460235728,0.9219627826082117
Carnitine,Cyano,795450752,713035392,754243072,0.7260220435449449
Carnitine,Diatom,657571968,592051264,624811616,0.8194421887880188
Carnitine,Dino_Green,790365248,790365248,790365248,0.7310404821847633
Carnitine,Haptophyte,611011648,340365088,475688368,0.9529656407226399
Dimethylsulfonioacetate,Bacteria,136960672,102326264,119643468,1.012906779393282
Dimethylsulfonioacetate,Cyano,171530272,142702288,157116280,0.8789686270120081
Dimethylsulfonioacetate,Diatom,193665872,178233520,185949696,0.913511465954616
Dimethylsulfonioacetate,Dino_Green,175257152,175257152,175257152,0.38037285919150393
Dimethylsulfonioacetate,Haptophyte,147264640,110111064,128687852,1.3940107996414626
Dimethylsulfoniopropionate,Bacteria,315562976,196718528,256140752,0.8547931822314448
Dimethylsulfoniopropionate,Cyano,406021632,320749280,363385456,0.6050120480293504
Dimethylsulfoniopropionate,Diatom,387464704,371946400,379705552,0.764032901556647
Dimethylsulfoniopropionate,Dino_Green,420826176,420826176,420826176,0.5773754910150837
Dimethylsulfoniopropionate,Haptophyte,344008032,232128608,288068320,1.0189508849507094
Ectoine,Bacteria,655918272,451776608,553847440,0.4115188326778992
Ectoine,Cyano,878972288,789105664,834038976,0.623799763651782
Ectoine,Diatom,832763264,817479296,825121280,0.9128945489635125
Ectoine,Dino_Green,863701184,863701184,863701184,0.8104679483975328
Ectoine,Haptophyte,653824704,517686368,585755536,0.7449122025331837
Glycine betaine,Bacteria,522770240,354897888,438834064,1.0561047661340535
Glycine betaine,Cyano,767774144,706469312,737121728,0.9366388779812385
Glycine betaine,Diatom,666063744,589140480,627602112,0.9366388779812385
Glycine betaine,Dino_Green,754798592,754798592,754798592,0.8079380201069586
Glycine betaine,Haptophyte,575316672,324818272,450067472,0.9458738477027033
Gonyol,Bacteria,19158674,11179111,15168892.5,1.0498596393869326
Gonyol,Cyano,26802432,21806254,24304343,0.9103957207605387
Gonyol,Diatom,24865900,23463658,24164779,0.9529532121740485
Gonyol,Dino_Green,26343036,26343036,26343036,1.0447001238727673
Gonyol,Haptophyte,21289466,15523872,18406669,1.2655919231695492
Hydroxyisoleucine,Bacteria,11712452,6670203.5,9191327.75,1.083732927523752
Hydroxyisoleucine,Cyano,14952312,9425826,12189069,0.8161371853826005
Hydroxyisoleucine,Diatom,13127298,10428400,11777849,1.085208228057863
Hydroxyisoleucine,Dino_Green,14961061,14961061,14961061,0.5513087106589566
Hydroxyisoleucine,Haptophyte,20633994,8348281,14491137.5,0.5131981853045883
Isethionic acid,Bacteria,109259720,49886228,79572974,1.1503148548611501
Isethionic acid,Cyano,186387392,140077568,163232480,1.0268568924885135
Isethionic acid,Diatom,130212248,94468288,112340268,0.324652413171332
Isethionic acid,Dino_Green,150805424,150805424,150805424,0.8845947178929054
Isethionic acid,Haptophyte,181345984,131982632,156664308,1.0065238398699514
L-Alanine,Bacteria,6879179.5,3775931.25,5327555.375,1.1910384861290588
L-Alanine,Cyano,8569859,7805949.5,8187904.25,0.660572293374379
L-Alanine,Diatom,7718344.5,6890907,7304625.75,0.47400492845131675
L-Alanine,Dino_Green,8210421,8210421,8210421,0.8623373880584199
L-Alanine,Haptophyte,9750591,3565279.25,6657935.125,0.9458751265380029
L-Arginine,Bacteria,13493170,12281227,12887198.5,1.720306688312593
L-Arginine,Cyano,13015464,10952455,11983959.5,1.118654630651966
L-Arginine,Diatom,17522710,14770589,16146649.5,1.2900440049176976
L-Arginine,Dino_Green,16864714,16864714,16864714,1.0883584506680635
L-Arginine,Haptophyte,11349806,5265655,8307730.5,1.2328562500381675
L-Asparagine,Bacteria,4962615.5,2775942.5,3869279,1.1023848879138418
L-Asparagine,Cyano,6102017,5594201.5,5848109.25,0.8731792025247784
L-Asparagine,Diatom,4103132.5,3949594,4026363.25,0.9162112768019566
L-Asparagine,Dino_Green,5184275,5184275,5184275,0.8239906737200476
L-Asparagine,Haptophyte,11043080,3136920,7090000,0.9489745923052693
L-Aspartic acid,Bacteria,1920819,1220293.75,1570556.375,1.0280435925503557
L-Aspartic acid,Cyano,1893962.25,1779596.75,1836779.5,0.8952719949050317
L-Aspartic acid,Diatom,1430577.25,1374031,1402304.125,1.2528326564358765
L-Aspartic acid,Dino_Green,1711131.25,1711131.25,1711131.25,0.9323693024716836
L-Aspartic acid,Haptophyte,3806073.5,1142111.5,2474092.5,1.10201515684677
