SampID,Batch,Organism,Compound,Area,min.area.flag,blk.flag,smp.remove
220111_Smp_DSS3_A,Bacteria,DSS3,(3-Carboxypropyl)trimethylammonium,140584576,NA,NA,NA
220111_Smp_DSS3_B,Bacteria,DSS3,(3-Carboxypropyl)trimethylammonium,144082160,NA,NA,NA
220111_Smp_DSS3_C,Bacteria,DSS3,(3-Carboxypropyl)trimethylammonium,141575664,NA,NA,NA
220111_Smp_Och_A,Bacteria,OCh114,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_Och_B,Bacteria,OCh114,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_Och_C,Bacteria,OCh114,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA7_A,Bacteria,SA7,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA7_B,Bacteria,SA7,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA7_C,Bacteria,SA7,(3-Carboxypropyl)trimethylammonium,0,Flag,NA,Smp_Remove
220111_Smp_SA11_A,Bacteria,SA11,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA11_B,Bacteria,SA11,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA11_C,Bacteria,SA11,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA16_A,Bacteria,SA16,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA16_B,Bacteria,SA16,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA16_C,Bacteria,SA16,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA36_A,Bacteria,SA36,(3-Carboxypropyl)trimethylammonium,0,Flag,NA,Smp_Remove
220111_Smp_SA36_B,Bacteria,SA36,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA36_C,Bacteria,SA36,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA42_A,Bacteria,SA42,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA44_B,Bacteria,SA44,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA44_C,Bacteria,SA44,(3-Carboxypropyl)trimethylammonium,0,Flag,NA,Smp_Remove
220111_Smp_SA48_A,Bacteria,SA48,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA48_B,Bacteria,SA48,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA48_C,Bacteria,SA48,(3-Carboxypropyl)trimethylammonium,0,Flag,NA,Smp_Remove
220111_Smp_SA53_A,Bacteria,SA53,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA53_B,Bacteria,SA53,(3-Carboxypropyl)trimethylammonium,0,Flag,NA,Smp_Remove
220111_Smp_SA53_C,Bacteria,SA53,(3-Carboxypropyl)trimethylammonium,0,Flag,NA,Smp_Remove
220111_Smp_SA55_A,Bacteria,SA55,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA55_B,Bacteria,SA55,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA55_C,Bacteria,SA55,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA59_A,Bacteria,SA59,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA59_B,Bacteria,SA59,(3-Carboxypropyl)trimethylammonium,0,Flag,NA,Smp_Remove
220111_Smp_SA59_C,Bacteria,SA59,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA60_A,Bacteria,SA60,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SA60_B,Bacteria,SA60,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SCM1_Exp1,Bacteria,Nmar,(3-Carboxypropyl)trimethylammonium,0,Flag,NA,Smp_Remove
220111_Smp_SCM1_Exp2,Bacteria,Nmar,(3-Carboxypropyl)trimethylammonium,0,Flag,NA,Smp_Remove
220111_Smp_SCM1_Exp3,Bacteria,Nmar,(3-Carboxypropyl)trimethylammonium,0,Flag,NA,Smp_Remove
220111_Smp_SCM1_St1,Bacteria,Nmar,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SCM1_St2,Bacteria,Nmar,(3-Carboxypropyl)trimethylammonium,0,Flag,NA,Smp_Remove
220111_Smp_SCM1_St3,Bacteria,Nmar,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_SCM1_St4,Bacteria,Nmar,(3-Carboxypropyl)trimethylammonium,0,Flag,Flag,Smp_Remove
220111_Smp_DSS3_A,Bacteria,DSS3,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_DSS3_B,Bacteria,DSS3,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_DSS3_C,Bacteria,DSS3,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_Och_A,Bacteria,OCh114,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_Och_B,Bacteria,OCh114,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_Och_C,Bacteria,OCh114,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_SA7_A,Bacteria,SA7,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_SA7_B,Bacteria,SA7,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_SA7_C,Bacteria,SA7,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_SA11_A,Bacteria,SA11,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_SA11_B,Bacteria,SA11,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_SA11_C,Bacteria,SA11,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_SA16_A,Bacteria,SA16,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_SA16_B,Bacteria,SA16,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_SA16_C,Bacteria,SA16,2-O-alpha-D-Glucosylglycerol,0,Flag,NA,Smp_Remove
220111_Smp_SA36_A,Bacteria,SA36,2-O-alpha-D-Glucosylglycerol,0,Flag,NA,Smp_Remove
220111_Smp_SA36_B,Bacteria,SA36,2-O-alpha-D-Glucosylglycerol,0,Flag,NA,Smp_Remove
220111_Smp_SA36_C,Bacteria,SA36,2-O-alpha-D-Glucosylglycerol,0,Flag,NA,Smp_Remove
220111_Smp_SA42_A,Bacteria,SA42,2-O-alpha-D-Glucosylglycerol,0,Flag,NA,Smp_Remove
220111_Smp_SA44_B,Bacteria,SA44,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_SA44_C,Bacteria,SA44,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_SA48_A,Bacteria,SA48,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_SA48_B,Bacteria,SA48,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_SA48_C,Bacteria,SA48,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_SA53_A,Bacteria,SA53,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_SA53_B,Bacteria,SA53,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_SA53_C,Bacteria,SA53,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_SA55_A,Bacteria,SA55,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_SA55_B,Bacteria,SA55,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_SA55_C,Bacteria,SA55,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
220111_Smp_SA59_A,Bacteria,SA59,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
