compound.name.figure,var1,var2,cor,statistic,p,conf.low,conf.high,method
(Iso)leucine,log10.diss.conc.nM,log10.poc,0.72,12.372984801665593,1.68e-24,0.6264025345861237,0.7860484874043104,Pearson
Alanine,log10.diss.conc.nM,log10.poc,0.81,16.46444018833302,4.29e-35,0.7412678134163487,0.8561701866412971,Pearson
Asparagine,log10.diss.conc.nM,log10.poc,0.68,11.077543463691173,4.420000000000001e-21,0.5773805057425511,0.7548166172630727,Pearson
Aspartic acid,log10.diss.conc.nM,log10.poc,0.74,13.116597617335538,1.8500000000000002e-26,0.651451951863013,0.8016988835206489,Pearson
Betonicine,log10.diss.conc.nM,log10.poc,0.33,4.2932055243217455,3.19e-5,0.18336392998182993,0.4707191187816601,Pearson
Carnitine,log10.diss.conc.nM,log10.poc,0.8,16.276373883884055,1.28e-34,0.7370749874397966,0.8536829209625586,Pearson
DMSA,log10.diss.conc.nM,log10.poc,0.59,8.826080659533812,3.07e-15,0.47357500509489187,0.6859156269855794,Pearson
DMSP,log10.diss.conc.nM,log10.poc,-0.56,-8.212066184521259,1.06e-13,-0.6632923594350408,-0.4407307262848308,Pearson
Ectoine,log10.diss.conc.nM,log10.poc,0.31,3.9689035596481705,1.13e-4,0.1587125881854442,0.4507156740887622,Pearson
GBT,log10.diss.conc.nM,log10.poc,0.76,14.33086901656074,1.2300000000000001e-29,0.6880449196585505,0.8241970899443674,Pearson
Glutamic acid,log10.diss.conc.nM,log10.poc,0.85,19.166586368728474,1.0699999999999999e-41,0.7927910776468374,0.8863060969155767,Pearson
Glutamine,log10.diss.conc.nM,log10.poc,0.73,12.88291964751008,7.6e-26,0.6438080841251709,0.7969448820431011,Pearson
Gonyol,log10.diss.conc.nM,log10.poc,0.12,1.4450693811338626,0.151,-0.04342729832499644,0.2748269187615799,Pearson
Homarine,log10.diss.conc.nM,log10.poc,0.81,16.968625186254886,2.3600000000000002e-36,0.7520824557268235,0.8625611542752084,Pearson
Hydroxyectoine,log10.diss.conc.nM,log10.poc,0.69,11.517886971335058,3.0500000000000003e-22,0.5948535640752725,0.7660417266202284,Pearson
Hydroxyisoleucine,log10.diss.conc.nM,log10.poc,0.12,1.4469129536199725,0.15,-0.043276088825165315,0.2749669648104306,Pearson
Proline,log10.diss.conc.nM,log10.poc,0.79,15.520608177251077,1.06e-32,0.7193012481054046,0.8430797909983572,Pearson
Proline betaine,log10.diss.conc.nM,log10.poc,0.73,12.952899986927068,4.98e-26,0.6461186625265887,0.7983839187196109,Pearson
Sarcosine,log10.diss.conc.nM,log10.poc,0.67,10.86677774874331,1.59e-20,0.5687077849929754,0.7492061914556669,Pearson
TMAB,log10.diss.conc.nM,log10.poc,0.74,13.329053876916838,5.1000000000000006e-27,0.6582266555304204,0.8058964904661814,Pearson
TMAO,log10.diss.conc.nM,log10.poc,0.31,3.9696529317572,1.13e-4,0.15877002422606737,0.4507626241773529,Pearson
Threonine,log10.diss.conc.nM,log10.poc,0.72,12.562947080267604,5.3e-25,0.6330050472223754,0.790193569599404,Pearson
Trigonelline,log10.diss.conc.nM,log10.poc,0.78,15.147479367436143,9.549999999999999e-32,0.709949838067597,0.8374621945383562,Pearson
beta-Alanine,log10.diss.conc.nM,log10.poc,0.72,12.397714292486217,1.45e-24,0.6272701646575546,0.7865940093764465,Pearson
beta-Alanine betaine,log10.diss.conc.nM,log10.poc,0.65,10.429827494709526,2.23e-19,0.5500688443524637,0.7370602742066052,Pearson
beta-Glutamic acid,log10.diss.conc.nM,log10.poc,-0.24,-3.017009404990068,0.00301,-0.3884143858103967,-0.08419921967873305,Pearson
