Region,compound.name.figure,mean.relabun
CUCP,(Iso)leucine,-1.549295994597394
CUCP,Alanine,-0.8731151127329201
CUCP,Asparagine,-1.6888910534349992
CUCP,Aspartic acid,-0.6975446769750226
CUCP,Betonicine,-2.079902341545266
CUCP,Carnitine,-2.2109939790243858
CUCP,DMSA,-0.41125125858883926
CUCP,DMSP,-0.10067706264767497
CUCP,Ectoine,-2.6549492401243797
CUCP,GBT,-0.2685857411184955
CUCP,Glutamic acid,-0.49835769886948705
CUCP,Glutamine,-1.5185162063718136
CUCP,Gonyol,-0.572650686935096
CUCP,Homarine,-1.0143364804961037
CUCP,Hydroxyectoine,-3.3764951628726583
CUCP,Hydroxyisoleucine,-0.8085179747673114
CUCP,Proline,-1.124032611021205
CUCP,Proline betaine,-2.15094754677295
CUCP,Sarcosine,-1.3118233584010175
CUCP,TMAB,-1.8898834781671332
CUCP,TMAO,-0.16853679035854394
CUCP,Threonine,-0.883190682578059
CUCP,Trigonelline,-1.3773073168995433
CUCP,beta-Alanine,-0.9644417682958096
CUCP,beta-Alanine betaine,-1.197215279742035
CUCP,beta-Glutamic acid,-1.6543425258390223
NPEC,(Iso)leucine,-0.6229741113855223
NPEC,Alanine,-0.663219716459698
NPEC,Asparagine,-1.1745742733509799
NPEC,Aspartic acid,-0.6504924184222943
NPEC,Betonicine,-2.0936579673623945
NPEC,Carnitine,-2.264297440004859
NPEC,DMSA,-1.5020229819392057
NPEC,DMSP,-0.1659966479555476
NPEC,Ectoine,-2.6208822917807404
NPEC,GBT,-0.2520721639055141
NPEC,Glutamic acid,-0.47601858423985566
NPEC,Glutamine,-1.4919310278071045
NPEC,Gonyol,-0.5335995672915841
NPEC,Homarine,-1.3971378643559733
NPEC,Hydroxyectoine,-2.9932673274495087
NPEC,Hydroxyisoleucine,-0.4873911365505599
NPEC,Proline,-1.240332563125238
NPEC,Proline betaine,-2.462985335092514
NPEC,Sarcosine,-1.2287799817953184
NPEC,TMAB,-1.9908581280637805
NPEC,TMAO,-0.12180646561903355
NPEC,Threonine,-1.1512426760384635
NPEC,Trigonelline,-1.8824166462235814
NPEC,beta-Alanine,-1.109634214438257
NPEC,beta-Alanine betaine,-0.608507806769687
NPEC,beta-Glutamic acid,-1.1478022861984345
NPSG,(Iso)leucine,-0.9471315132225183
NPSG,Alanine,-0.6969446012481777
NPSG,Asparagine,-1.0922752947758478
NPSG,Aspartic acid,-0.6529338215286107
NPSG,Betonicine,-2.0789023547384207
NPSG,Carnitine,-2.3337440884672964
NPSG,DMSA,-0.9412775152684528
NPSG,DMSP,-0.09739206401211953
NPSG,Ectoine,-2.3701957687028017
NPSG,GBT,-0.2840153066234015
NPSG,Glutamic acid,-0.6632864123271567
NPSG,Glutamine,-1.5412958768661118
NPSG,Gonyol,-0.610917763222601
NPSG,Homarine,-1.354031336268229
NPSG,Hydroxyectoine,-3.210354540712568
NPSG,Hydroxyisoleucine,-0.7517498180878592
NPSG,Proline,-1.0283542606722267
NPSG,Proline betaine,-2.2576144236384272
NPSG,Sarcosine,-1.1566541665858225
NPSG,TMAB,-2.0623963060364647
NPSG,TMAO,-0.19958887356203137
NPSG,Threonine,-0.9022106762103587
NPSG,Trigonelline,-1.5653235599357171
NPSG,beta-Alanine,-1.0361503422333727
NPSG,beta-Alanine betaine,-1.1610745088833097
NPSG,beta-Glutamic acid,-1.3748967670113594
NPTZ,(Iso)leucine,-1.3029187361602883
NPTZ,Alanine,-0.7165716864877836
NPTZ,Asparagine,-1.2432756813811123
NPTZ,Aspartic acid,-0.7395982253375701
NPTZ,Betonicine,-2.304527505012043
NPTZ,Carnitine,-2.0745988937774853
NPTZ,DMSA,-0.6994791994902063
NPTZ,DMSP,-0.21323188885834282
NPTZ,Ectoine,-2.3436540723044903
NPTZ,GBT,-0.17317110042125003
NPTZ,Glutamic acid,-0.548031729092632
NPTZ,Glutamine,-1.497662259276875
NPTZ,Gonyol,-1.0565535670766502
NPTZ,Homarine,-0.667403332801721
NPTZ,Hydroxyectoine,-3.830068632834959
NPTZ,Hydroxyisoleucine,-1.0110673549182094
NPTZ,Proline,-0.6947035772759941
NPTZ,Proline betaine,-2.2292575872001006
NPTZ,Sarcosine,-0.967366240931531
NPTZ,TMAB,-2.0039822614766347
NPTZ,TMAO,-0.11769574609150761
NPTZ,Threonine,-0.7398079138333926
NPTZ,Trigonelline,-1.2455206951755387
NPTZ,beta-Alanine,-0.5332160067027464
NPTZ,beta-Alanine betaine,-1.1506347967792014
NPTZ,beta-Glutamic acid,-1.6328056727026994
PEDP,(Iso)leucine,-0.9153538748397377
PEDP,Alanine,-0.9105581226601825
PEDP,Asparagine,-1.4874797211870805
PEDP,Aspartic acid,-0.8310889921107484
PEDP,Betonicine,-2.198721928549397
PEDP,Carnitine,-2.3441059139102336
PEDP,DMSA,-1.4571941366188914
PEDP,DMSP,-0.12330658198007843
PEDP,Ectoine,-2.305271627028035
PEDP,GBT,-0.12307246978186209
PEDP,Glutamic acid,-0.5404024940961111
PEDP,Glutamine,-1.6605175583413931
PEDP,Gonyol,-0.6836756418942704
PEDP,Homarine,-1.2993484098952666
PEDP,Hydroxyectoine,-3.3678713241939753
PEDP,Hydroxyisoleucine,-0.7098447655247463
