Region.1,Region.2,var1,var2,cor,statistic,p,conf.low,conf.high,method
CUCP,CUCP,mean.rank.1,mean.rank.2,1,328764948.0356625,2.319999999999999e-189,0.9999999999999998,1,Pearson
CUCP,NPEC,mean.rank.1,mean.rank.2,0.87,8.741893952553347,6.34e-9,0.7325341396921439,0.9415500712777436,Pearson
CUCP,NPSG,mean.rank.1,mean.rank.2,0.94,13.926009146016845,5.41e-13,0.876112535251576,0.974573266619616,Pearson
CUCP,NPTZ,mean.rank.1,mean.rank.2,0.92,11.901836462033177,1.48e-11,0.8372862202994662,0.9660460705433344,Pearson
CUCP,PEDP,mean.rank.1,mean.rank.2,0.89,9.64299881272321,9.95e-10,0.7701591110210722,0.9506105275063832,Pearson
CUCP,SS,mean.rank.1,mean.rank.2,0.71,4.889865811535161,5.5e-5,0.43931106219906896,0.8587957310490278,Pearson
NPEC,CUCP,mean.rank.1,mean.rank.2,0.87,8.741893952553347,6.34e-9,0.7325341396921439,0.9415500712777436,Pearson
NPEC,NPEC,mean.rank.1,mean.rank.2,1,Inf,0,1,1,Pearson
NPEC,NPSG,mean.rank.1,mean.rank.2,0.95,14.780551576335123,1.5e-13,0.8885825921704825,0.9772527918734016,Pearson
NPEC,NPTZ,mean.rank.1,mean.rank.2,0.8,6.440296812290715,1.17e-6,0.5906429751621746,0.9044254319057726,Pearson
NPEC,PEDP,mean.rank.1,mean.rank.2,0.99,33.79764041450985,9.38e-22,0.976731155533938,0.9954195276769904,Pearson
NPEC,SS,mean.rank.1,mean.rank.2,0.73,5.212644957135936,2.43e-5,0.4755745969727811,0.8703718441084526,Pearson
NPSG,CUCP,mean.rank.1,mean.rank.2,0.94,13.926009146016845,5.41e-13,0.876112535251576,0.974573266619616,Pearson
NPSG,NPEC,mean.rank.1,mean.rank.2,0.95,14.780551576335123,1.5e-13,0.8885825921704825,0.9772527918734016,Pearson
NPSG,NPSG,mean.rank.1,mean.rank.2,1,328764948.0356625,2.319999999999999e-189,0.9999999999999998,1,Pearson
NPSG,NPTZ,mean.rank.1,mean.rank.2,0.89,9.669913800032035,9.43e-10,0.7711684831143527,0.9508494308697637,Pearson
NPSG,PEDP,mean.rank.1,mean.rank.2,0.95,15.580602241107366,4.74e-14,0.8986796611136877,0.9794018722132142,Pearson
NPSG,SS,mean.rank.1,mean.rank.2,0.75,5.575671210201645,9.76e-6,0.5132064665971722,0.881940398533865,Pearson
NPTZ,CUCP,mean.rank.1,mean.rank.2,0.92,11.901836462033177,1.48e-11,0.8372862202994662,0.9660460705433344,Pearson
NPTZ,NPEC,mean.rank.1,mean.rank.2,0.8,6.440296812290715,1.17e-6,0.5906429751621746,0.9044254319057726,Pearson
NPTZ,NPSG,mean.rank.1,mean.rank.2,0.89,9.669913800032035,9.43e-10,0.7711684831143527,0.9508494308697637,Pearson
NPTZ,NPTZ,mean.rank.1,mean.rank.2,1,328764948.0356625,2.319999999999999e-189,0.9999999999999998,1,Pearson
NPTZ,PEDP,mean.rank.1,mean.rank.2,0.84,7.507786293744586,9.53e-8,0.6662599654076892,0.9248196361572061,Pearson
NPTZ,SS,mean.rank.1,mean.rank.2,0.78,6.055155978997693,2.98e-6,0.5581477895228557,0.8951974880598803,Pearson
PEDP,CUCP,mean.rank.1,mean.rank.2,0.89,9.64299881272321,9.95e-10,0.7701591110210722,0.9506105275063832,Pearson
PEDP,NPEC,mean.rank.1,mean.rank.2,0.99,33.79764041450985,9.38e-22,0.976731155533938,0.9954195276769904,Pearson
PEDP,NPSG,mean.rank.1,mean.rank.2,0.95,15.580602241107366,4.74e-14,0.8986796611136877,0.9794018722132142,Pearson
PEDP,NPTZ,mean.rank.1,mean.rank.2,0.84,7.507786293744586,9.53e-8,0.6662599654076892,0.9248196361572061,Pearson
PEDP,PEDP,mean.rank.1,mean.rank.2,1,328764948.0356625,2.319999999999999e-189,0.9999999999999998,1,Pearson
PEDP,SS,mean.rank.1,mean.rank.2,0.74,5.438076751418875,1.38e-5,0.4993237127019989,0.8777237400822133,Pearson
SS,CUCP,mean.rank.1,mean.rank.2,0.71,4.889865811535161,5.5e-5,0.43931106219906896,0.8587957310490278,Pearson
SS,NPEC,mean.rank.1,mean.rank.2,0.73,5.212644957135936,2.43e-5,0.4755745969727811,0.8703718441084526,Pearson
SS,NPSG,mean.rank.1,mean.rank.2,0.75,5.575671210201645,9.76e-6,0.5132064665971722,0.881940398533865,Pearson
SS,NPTZ,mean.rank.1,mean.rank.2,0.78,6.055155978997693,2.98e-6,0.5581477895228557,0.8951974880598803,Pearson
SS,PEDP,mean.rank.1,mean.rank.2,0.74,5.438076751418875,1.38e-5,0.4993237127019989,0.8777237400822133,Pearson
SS,SS,mean.rank.1,mean.rank.2,1,Inf,0,1,1,Pearson
