Region.1,Region.2,var1,var2,cor,statistic,p,conf.low,conf.high,method
CUCP,CUCP,mean.relabun.1,mean.relabun.2,1,Inf,0,1,1,Pearson
CUCP,NPEC,mean.relabun.1,mean.relabun.2,0.88,9.07284020893943,3.17e-9,0.7472643881963322,0.9451336464934293,Pearson
CUCP,NPSG,mean.relabun.1,mean.relabun.2,0.95,15.317668487416087,6.87e-14,0.8955127730023222,0.9787297881295332,Pearson
CUCP,NPTZ,mean.relabun.1,mean.relabun.2,0.95,15.362941744708476,6.44e-14,0.8960681867012107,0.9788477885725823,Pearson
CUCP,PEDP,mean.relabun.1,mean.relabun.2,0.92,11.186254862080318,5.27e-11,0.8193881529513038,0.9620184405260609,Pearson
CUCP,SS,mean.relabun.1,mean.relabun.2,0.77,5.821874005637219,5.29e-6,0.5369324278539652,0.8890126945794428,Pearson
NPEC,CUCP,mean.relabun.1,mean.relabun.2,0.88,9.07284020893943,3.17e-9,0.7472643881963322,0.9451336464934293,Pearson
NPEC,NPEC,mean.relabun.1,mean.relabun.2,1,Inf,0,1,1,Pearson
NPEC,NPSG,mean.relabun.1,mean.relabun.2,0.96,16.494051221139145,1.35e-14,0.9086624473027922,0.9815088005324131,Pearson
NPEC,NPTZ,mean.relabun.1,mean.relabun.2,0.86,8.098814220958435,2.54e-8,0.7004313705141922,0.9335727051570494,Pearson
NPEC,PEDP,mean.relabun.1,mean.relabun.2,0.98,24.32108096604608,2.03e-18,0.9559605584600426,0.9912570524532361,Pearson
NPEC,SS,mean.relabun.1,mean.relabun.2,0.79,6.23481903430819,1.92e-6,0.5736864756594762,0.8996464996163103,Pearson
NPSG,CUCP,mean.relabun.1,mean.relabun.2,0.95,15.317668487416087,6.87e-14,0.8955127730023222,0.9787297881295332,Pearson
NPSG,NPEC,mean.relabun.1,mean.relabun.2,0.96,16.494051221139145,1.35e-14,0.9086624473027922,0.9815088005324131,Pearson
NPSG,NPSG,mean.relabun.1,mean.relabun.2,1,Inf,0,1,1,Pearson
NPSG,NPTZ,mean.relabun.1,mean.relabun.2,0.94,13.580407256327815,9.26e-13,0.8704948815691441,0.973356892199401,Pearson
NPSG,PEDP,mean.relabun.1,mean.relabun.2,0.97,19.19263311477608,4.55e-16,0.9310036012523473,0.9861609393634743,Pearson
NPSG,SS,mean.relabun.1,mean.relabun.2,0.78,6.150651105424539,2.36e-6,0.56649157252224,0.8975948471517853,Pearson
NPTZ,CUCP,mean.relabun.1,mean.relabun.2,0.95,15.362941744708476,6.44e-14,0.8960681867012107,0.9788477885725823,Pearson
NPTZ,NPEC,mean.relabun.1,mean.relabun.2,0.86,8.098814220958435,2.54e-8,0.7004313705141922,0.9335727051570494,Pearson
NPTZ,NPSG,mean.relabun.1,mean.relabun.2,0.94,13.580407256327815,9.26e-13,0.8704948815691441,0.973356892199401,Pearson
NPTZ,NPTZ,mean.relabun.1,mean.relabun.2,1,Inf,0,1,1,Pearson
NPTZ,PEDP,mean.relabun.1,mean.relabun.2,0.91,10.632173914212597,1.47e-10,0.8035717924649052,0.9584068160235525,Pearson
NPTZ,SS,mean.relabun.1,mean.relabun.2,0.8,6.506485447696736,9.94e-7,0.5959262722239524,0.9058985313919801,Pearson
PEDP,CUCP,mean.relabun.1,mean.relabun.2,0.92,11.186254862080318,5.27e-11,0.8193881529513038,0.9620184405260609,Pearson
PEDP,NPEC,mean.relabun.1,mean.relabun.2,0.98,24.32108096604608,2.03e-18,0.9559605584600426,0.9912570524532361,Pearson
PEDP,NPSG,mean.relabun.1,mean.relabun.2,0.97,19.19263311477608,4.55e-16,0.9310036012523473,0.9861609393634743,Pearson
PEDP,NPTZ,mean.relabun.1,mean.relabun.2,0.91,10.632173914212597,1.47e-10,0.8035717924649052,0.9584068160235525,Pearson
PEDP,PEDP,mean.relabun.1,mean.relabun.2,1,Inf,0,1,1,Pearson
PEDP,SS,mean.relabun.1,mean.relabun.2,0.78,6.086192957085862,2.76e-6,0.5608809075151377,0.8959849292957992,Pearson
SS,CUCP,mean.relabun.1,mean.relabun.2,0.77,5.821874005637219,5.29e-6,0.5369324278539652,0.8890126945794428,Pearson
SS,NPEC,mean.relabun.1,mean.relabun.2,0.79,6.23481903430819,1.92e-6,0.5736864756594762,0.8996464996163103,Pearson
SS,NPSG,mean.relabun.1,mean.relabun.2,0.78,6.150651105424539,2.36e-6,0.56649157252224,0.8975948471517853,Pearson
SS,NPTZ,mean.relabun.1,mean.relabun.2,0.8,6.506485447696736,9.94e-7,0.5959262722239524,0.9058985313919801,Pearson
SS,PEDP,mean.relabun.1,mean.relabun.2,0.78,6.086192957085862,2.76e-6,0.5608809075151377,0.8959849292957992,Pearson
SS,SS,mean.relabun.1,mean.relabun.2,1,Inf,0,1,1,Pearson
