Cruise,Rep,Compound,detected
KM1906,220623_Smp_MU1_A,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU1_B,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU1_C,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU10_A,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU10_B,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU10_C,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU11_A,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU11_B,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU11_C,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU12_A,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU12_B,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU12_C,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU13_A,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU13_B,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU13_C,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU14_A,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU14_B,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU14_C,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU15_A,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU15_B,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU15_C,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU16_A,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU16_B,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU16_C,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU17_A,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU17_B,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU2_A,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU2_B,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU2_C,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU3_A,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU3_B,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU3_C,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU4_A,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU4_B,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU4_C,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU5_A,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU5_B,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU5_C,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU6_A,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU6_B,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU6_C,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU7_A,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU7_B,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU7_C,2-O-alpha-D-Glucosylglycerol,No
KM1906,220623_Smp_MU8_A,2-O-alpha-D-Glucosylglycerol,No
