Name,Cruise,RFmax,RFmin,RF,RFratio
(3-Carboxypropyl)trimethylammonium,KM1906,349391200,296782752,323086976,0.7314061608512714
(3-Carboxypropyl)trimethylammonium,KinExp,927211072,780588224,853899648,0.8932389015837592
(3-Carboxypropyl)trimethylammonium,RC078,695169792,674202688,684686240,0.9774820368589294
(3-Carboxypropyl)trimethylammonium,TN397,414976128,269223264,342099696,0.9507862510207272
2-O-alpha-D-Glucosylglycerol,KM1906,3370220.75,1885133.75,2627677.25,0.9821486361221659
2-O-alpha-D-Glucosylglycerol,KinExp,4342920,4184923.75,4263921.875,0.9209391726988596
2-O-alpha-D-Glucosylglycerol,RC078,4412705,3831906.25,4122305.625,1.016977758842712
2-O-alpha-D-Glucosylglycerol,TN397,1564424.25,708974.5,1136699.375,1.0344491716650968
5-Hydroxyectoine,KM1906,1862471040,1211041600,1536756320,1.0192841908023698
5-Hydroxyectoine,KinExp,3185082880,2874051840,3029567360,1.0130125041509142
5-Hydroxyectoine,RC078,2354346240,2079935840,2217141040,0.9557261351093872
5-Hydroxyectoine,TN397,1969016480,1335592400,1652304440,1.0532051934716544
Arsenobetaine,KM1906,351220416,247655008,299437712,1.0232599093586816
Arsenobetaine,KinExp,4080567808,4055649280,4068108544,0.9182519556128137
Arsenobetaine,RC078,2369987840,2173243392,2271615616,1.0125625226484325
Arsenobetaine,TN397,395735232,322527008,359131120,1.0538385708451754
Betonicine,KM1906,497241024,340688832,418964928,1.0150773004406652
Betonicine,KinExp,3060761344,2977280768,3019021056,0.922105244064003
Betonicine,RC078,1992168576,1866725504,1929447040,0.9879873152497816
Betonicine,TN397,521673376,440764064,481218720,1.0383565315321535
Carnitine,KM1906,662842240,546075072,604458656,0.7444445628867826
Carnitine,KinExp,3957085440,3908775424,3932930432,0.9329328359815232
Carnitine,RC078,2288857344,2165951232,2227404288,1.0051805756287822
Carnitine,TN397,780910784,583269952,682090368,0.8893294407334984
Dimethylsulfonioacetate,KM1906,214066352,153603248,183834800,1.0117916736908426
Dimethylsulfonioacetate,KinExp,1507872640,1451344640,1479608640,0.852478408559471
Dimethylsulfonioacetate,RC078,1109141888,1101997312,1105569600,0.9791066668900472
Dimethylsulfonioacetate,TN397,227239008,188143280,207691144,1.0207174503563947
Dimethylsulfoniopropionate,KM1906,341265344,251986112,296625728,1.0280368828982274
Dimethylsulfoniopropionate,KinExp,1719167616,1308853248,1514010432,1.100481589097754
Dimethylsulfoniopropionate,RC078,1351515136,1288494464,1320004800,0.9767605668943715
Dimethylsulfoniopropionate,TN397,396579008,301438016,349008512,1.0936448447104763
Ectoine,KM1906,777802944,549201216,663502080,1.0241404933000524
Ectoine,KinExp,1207239680,1121384448,1164312064,1.0124177009669646
Ectoine,RC078,777481536,750651008,764066272,1.0009629760750713
Ectoine,TN397,868139648,650990912,759565280,1.072063836829662
Glycine betaine,KM1906,616957120,498183616,557570368,0.8111626344588495
Glycine betaine,KinExp,2903661312,2566015744,2734838528,1.0078215537347845
Glycine betaine,RC078,2318206208,2308079360,2313142784,0.9519982669670979
Glycine betaine,TN397,761755840,506524256,634140048,0.9764821364273779
Gonyol,KM1906,22248186,15070907,18659546.5,1.0775368400323015
Gonyol,KinExp,186434864,172405040,179419952,0.8690540611999181
Gonyol,RC078,90659120,87111960,88885540,0.9780276910979933
Gonyol,TN397,26165144,20534686,23349915,1.049458853527562
Homarine,KM1906,26086544,20929950,23508247,0.9368378010810962
Homarine,KinExp,4027645440,3623999232,3825822336,1.0087272300761967
Homarine,RC078,2301247744,2247553024,2274400384,0.9687179958373183
Homarine,TN397,29172456,22937592,26055024,1.0654309667823134
Hydroxyisoleucine,KM1906,33520634,21170706,27345670,0.9853332338237017
Hydroxyisoleucine,KinExp,176133376,120152144,148142760,0.8035706909501192
Hydroxyisoleucine,RC078,89475400,70274400,79874900,1.057145494655118
Hydroxyisoleucine,TN397,29142078,13443367,21292722.5,1.002447941839196
L-Alanine,KM1906,17699014,12221380,14960197,0.8390033966158039
