Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.lod.flag,smp.remove,Blk.Av
220623_Std_4uMStdsMix1InH2O_1,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Std_4uMStdsMix1InH2O_2,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Std_4uMStdsMix1InMatrix_1,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Std_4uMStdsMix1InMatrix_2,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Std_4uMStdsMix2InH2O_1,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,7540535,NA,NA,NA,NA
220623_Std_4uMStdsMix2InH2O_2,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,13480883,NA,NA,NA,NA
220623_Std_4uMStdsMix2InMatrix_1,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,7664526,NA,NA,NA,NA
220623_Std_4uMStdsMix2InMatrix_2,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,12777909,NA,NA,NA,NA
220623_Std_H2OinMatrix_1,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Std_H2OinMatrix_2,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Full1,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Full2,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Full3,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,5658,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Half1,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Half2,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Half3,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_CXSPE_Blk1_A,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_CXSPE_Blk1_B,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_CXSPE_Blk1_C,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_CXSPE_Blk2_A,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_CXSPE_Blk2_B,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_CXSPE_Blk2_C,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
