Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.lod.flag,Blk.Av,smp.remove
220623_Smp_MU1_A,MU1,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU1_B,MU1,B,KM1906,2-O-alpha-D-Glucosylglycerol,6585,Flag,NA,NA,NA
220623_Smp_MU1_C,MU1,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU10_A,MU10,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU10_B,MU10,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU10_C,MU10,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU11_A,MU11,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU11_B,MU11,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU11_C,MU11,C,KM1906,2-O-alpha-D-Glucosylglycerol,7729,Flag,NA,NA,NA
220623_Smp_MU12_A,MU12,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU12_B,MU12,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU12_C,MU12,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU13_A,MU13,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU13_B,MU13,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU13_C,MU13,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU14_A,MU14,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU14_B,MU14,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU14_C,MU14,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU15_A,MU15,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU15_B,MU15,B,KM1906,2-O-alpha-D-Glucosylglycerol,5366,Flag,NA,NA,NA
220623_Smp_MU15_C,MU15,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU16_A,MU16,A,KM1906,2-O-alpha-D-Glucosylglycerol,6436,Flag,NA,NA,NA
220623_Smp_MU16_B,MU16,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU16_C,MU16,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU17_A,MU17,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU17_B,MU17,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU2_A,MU2,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU2_B,MU2,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU2_C,MU2,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU3_A,MU3,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU3_B,MU3,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU3_C,MU3,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU4_A,MU4,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU4_B,MU4,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU4_C,MU4,C,KM1906,2-O-alpha-D-Glucosylglycerol,5719,Flag,NA,NA,NA
220623_Smp_MU5_A,MU5,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU5_B,MU5,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU5_C,MU5,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU6_A,MU6,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU6_B,MU6,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU6_C,MU6,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU7_A,MU7,A,KM1906,2-O-alpha-D-Glucosylglycerol,5973,Flag,NA,NA,NA
220623_Smp_MU7_B,MU7,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU7_C,MU7,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU8_A,MU8,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU8_B,MU8,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU8_C,MU8,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU9_A,MU9,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU9_B,MU9,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU9_C,MU9,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,NA,NA
220623_Smp_MU1_A,MU1,A,KM1906,5-Hydroxyectoine,254482,NA,NA,NA,NA
220623_Smp_MU1_B,MU1,B,KM1906,5-Hydroxyectoine,65531,NA,Flag,71315.41666666667,NA
220623_Smp_MU1_C,MU1,C,KM1906,5-Hydroxyectoine,122903,NA,NA,NA,NA
220623_Smp_MU10_A,MU10,A,KM1906,5-Hydroxyectoine,80327,NA,Flag,71315.41666666667,Smp_Remove
