Cruise,Parent_ID,Part.SampID,Diss.SampID,Compound,Part.Conc.Vial.uM,Part.Conc.nM,Part.Conc.C.nM,Part.Conc.N.nM,Part.Conc.S.nM,Part.detected,Part.Impute.Conc.nM,Diss.detected,Diss.Conc.Vial.uM,Diss.Conc.nM,Diss.Conc.C.nM,Diss.Conc.N.nM,Diss.Conc.S.nM,Diss.Impute.Conc.nM,Diss.LOD.nM,Diss.Conc.no.blk.sub.nM,Diss.LOD.no.blk.sub.nM
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,(3-Carboxypropyl)trimethylammonium,0.24174715134747848,0.01933977210779827,0.13537840475458793,0.01933977210779827,NA,Yes,5.234717032564405e-5,Yes,0.00190578605588596,0.03669976138199856,0.25689832967398996,0.03669976138199856,NA,0.00154358305471733,0.00154358305471733,0.04072192427106771,0.00556574594378648
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,"(R)-2,3-Dihydroxypropane-1-sulfonate",0.411032135705682,0.03288257085645456,0.09864771256936368,NA,0.03288257085645456,Yes,5.773290854041151e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,2-O-alpha-D-Glucosylglycerol,0.2818185036731072,0.02254548029384857,0.20290932264463715,NA,NA,Yes,1.6741197304606694e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,5-Hydroxyectoine,0.00183957122430457,1.4716569794436595e-4,8.829941876661957e-4,2.943313958887319e-4,NA,Yes,5.871464016727651e-7,Yes,1.0874335744153634e-4,0.0017688707894236194,0.010613224736541717,0.003537741578847239,NA,2.981783067038601e-4,2.981783067038601e-4,0.00230388469155797,8.331922088382107e-4
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,Betonicine,0.1340150593215744,0.01072120474572595,0.07504843322008167,0.01072120474572595,NA,Yes,2.408648525555309e-5,Yes,0.00249216792919467,0.02612154259579244,0.18285079817054709,0.02612154259579244,NA,5.908157657269902e-4,5.908157657269902e-4,0.02793910234523174,0.00240837551516629
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,Carnitine,0.10916256405955788,0.00873300512476463,0.0611310358733524,0.00873300512476463,NA,Yes,1.647389015757741e-4,Yes,0.00278056302635436,0.02516455439268671,0.17615188074880697,0.02516455439268671,NA,7.195391209348896e-4,7.195391209348896e-4,0.0278056302635436,0.00336061499179178
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,Dimethylsulfonioacetate,1.5686588100390584,0.12549270480312466,0.5019708192124986,NA,0.12549270480312466,Yes,1.444935975753952e-5,Yes,0.06602127726645095,0.6944562031371141,2.7778248125484564,NA,0.6944562031371141,0.00190388134630173,0.00190388134630173,0.6964269753845037,0.00387465359369133
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,Dimethylsulfoniopropionate,2.898685979502918,0.2318948783602334,1.159474391801167,NA,0.2318948783602334,Yes,1.1972011069971628e-4,Yes,0.15065196134837386,2.7142816198144573,13.571408099072286,NA,2.7142816198144573,2.457687794022725e-4,2.457687794022725e-4,2.714449754024754,4.139029896990334e-4
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,Ectoine,0.04327853872472136,0.0034622830979777,0.02077369858786625,0.00692456619595541,NA,Yes,8.627795642355144e-5,No,4.034078401428599e-4,-5.564556990603105e-4,-0.003338734194361863,-0.001112911398120621,NA,0.0026164259740440402,0.0026164259740440402,0.00847495462484999,0.01164783629795434
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,Gonyol,6.224223097900387,0.4979378478320309,3.4855649348242164,NA,0.4979378478320309,Yes,9.732664307637168e-4,Yes,0.1462592901267959,1.5980199837157865,11.186139886010505,NA,1.5980199837157865,0.22373499369495736,0.22373499369495736,2.0599900017858572,0.6857050117650281
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,Hydroxyisoleucine,5.075274792594785,0.4060219834075828,2.436131900445497,0.4060219834075828,NA,Yes,0.00220209595538393,Yes,0.02336201716870218,0.22593917908319236,1.355635074499154,0.22593917908319236,NA,0.043893335439155856,0.043893335439155856,0.36965217039085735,0.18760632674682085
