SampID,Compound,Part.Conc.Vial.uM,Part.Conc.nM,Part.Conc.C.nM,Part.Conc.N.nM,Part.Conc.S.nM,detected,impute.conc.nM
170706_Smp_S3E15D15_A,(3-Carboxypropyl)trimethylammonium,0.2120725139539322,0.01696580111631457,0.11876060781420204,0.01696580111631457,NA,Yes,0
170706_Smp_S3E15D15_B,(3-Carboxypropyl)trimethylammonium,0.10573338017200698,0.00845867041376055,0.05921069289632391,0.00845867041376055,NA,Yes,0
170706_Smp_S3E15D15_C,(3-Carboxypropyl)trimethylammonium,0.1444980744584181,0.01155984595667344,0.08091892169671414,0.01155984595667344,NA,Yes,0
170706_Smp_S3E15E15_Ds,(3-Carboxypropyl)trimethylammonium,0.03996724453408013,0.00319737956272641,0.02238165693908487,0.00319737956272641,NA,Yes,0
170706_Smp_S4E16D15_A,(3-Carboxypropyl)trimethylammonium,0.11159507667879856,0.00892760613430388,0.06249324294012719,0.00892760613430388,NA,Yes,0
170706_Smp_S4E16D15_B,(3-Carboxypropyl)trimethylammonium,0.15697955936711683,0.01255836474936934,0.08790855324558541,0.01255836474936934,NA,Yes,0
170706_Smp_S4E16D15_C,(3-Carboxypropyl)trimethylammonium,0.12609684014387976,0.01008774721151038,0.07061423048057267,0.01008774721151038,NA,Yes,0
170706_Smp_S4E16D15_Ds,(3-Carboxypropyl)trimethylammonium,0.04587425955308823,0.00366994076424705,0.0256895853497294,0.00366994076424705,NA,Yes,0
170706_Smp_S5E28D15_A,(3-Carboxypropyl)trimethylammonium,0.10769816596079423,0.00861585327686353,0.06031097293804477,0.00861585327686353,NA,Yes,0
170706_Smp_S5E28D15_B,(3-Carboxypropyl)trimethylammonium,0.09961898404156522,0.00796951872332521,0.05578663106327651,0.00796951872332521,NA,Yes,0
170706_Smp_S5E28D15_C,(3-Carboxypropyl)trimethylammonium,0.18729348295437903,0.01498347863635032,0.10488435045445224,0.01498347863635032,NA,Yes,0
170706_Smp_S5E28D15_Ds,(3-Carboxypropyl)trimethylammonium,0.06475674626200041,0.00545319968522108,0.03817239779654761,0.00545319968522108,NA,Yes,0
170706_Smp_S6E37D15_A,(3-Carboxypropyl)trimethylammonium,2.546971567989033,0.2037577254391226,1.4263040780738585,0.2037577254391226,NA,Yes,0
