Rep,SampID,replicate,Batch,SizeFrac,Blk_type,Compound,Area,min.area.flag,blk.ratio.flag
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,Trimethylamine N-oxide,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,beta-Alanine,2886781,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,L-Alanine,1037000,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,Sarcosine,956098,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,L-Proline,38238556,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,Glycine betaine,5976833536,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,L-Threonine,373004,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,Dimethylsulfonioacetate,400646144,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,beta-Alaninebetaine,929795712,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,L-Isoleucine,279445824,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,L-Asparagine,1110584,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,L-Aspartic acid,2221292,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,Dimethylsulfoniopropionate,6092083712,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,Homarine,371331488,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,Trigonelline,389005504,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,Ectoine,40040504,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,Proline betaine,173402464,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,(3-Carboxypropyl)trimethylammonium,121604088,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,L-Glutamine,80703824,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,L-Lysine,1978905,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,beta-Glutamic acid,755005,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,L-Glutamic acid,50660152,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,Hydroxyisoleucine,139972752,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,L-Methionine,3207621,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,5-Hydroxyectoine,3603481,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,Betonicine,171291440,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,Carnitine,139185424,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,L-Arginine,8797225,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,Arsenobetaine,16144303,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,Gonyol,137496304,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,L-Tyrosine,7686230,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,2-O-alpha-D-Glucosylglycerol,75935,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,Threonine Betaine (tentative),82920344,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,Homoserine Betaine (tentative),387416384,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,Taurine,34479660,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,Isethionic acid,323505056,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,"(R)-2,3-Dihydroxypropane-1-sulfonate",54038768,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,Sucrose,62314084,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,NA,Trehalose,3314358,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,Trimethylamine N-oxide,NA,NA,NA
