Rep,SampID,replicate,Batch,SizeFrac,Compound,min.area.flag,blk.ratio.flag,Adjusted_Area
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Trimethylamine N-oxide,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,beta-Alanine,NA,NA,2335322.43960926
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Alanine,NA,NA,1703745.721746214
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Sarcosine,NA,NA,956098
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Serine,NA,Flag,48383
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Proline,NA,NA,37841272.86463102
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Glycine betaine,NA,NA,5976833536
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Threonine,NA,NA,612829.2856260606
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Dimethylsulfonioacetate,NA,NA,400646144
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,beta-Alaninebetaine,NA,NA,929795712
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Isoleucine,NA,NA,224703828.84430113
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Asparagine,NA,NA,1099045.4812962438
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Aspartic acid,NA,NA,2198213.6742826267
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Dimethylsulfoniopropionate,NA,NA,6092083712
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Homarine,NA,NA,371331488
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Trigonelline,NA,NA,389005504
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Ectoine,NA,NA,40040504
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Proline betaine,NA,NA,173402464
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,(3-Carboxypropyl)trimethylammonium,NA,NA,121604088
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Glutamine,NA,NA,79865343.90062109
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Lysine,NA,NA,1978905
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,beta-Glutamic acid,NA,NA,747160.8033305636
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Glutamic acid,NA,NA,50133813.50476945
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Hydroxyisoleucine,NA,NA,139972752
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Methionine,NA,NA,2925287.67812544
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,5-Hydroxyectoine,NA,NA,4281075.867268702
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Betonicine,NA,NA,171291440
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Carnitine,NA,NA,139185424
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Arginine,NA,NA,7116700.9027673295
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Arsenobetaine,NA,NA,16144303
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Gonyol,NA,NA,225900424.00763437
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Tyrosine,NA,NA,6217938.040675023
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,2-O-alpha-D-Glucosylglycerol,NA,NA,54823.05302714193
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Threonine Betaine (tentative),NA,NA,82920344
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Homoserine Betaine (tentative),NA,NA,387416384
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Taurine,NA,NA,40963179.86347922
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Isethionic acid,NA,NA,185081081.63082224
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,"(R)-2,3-Dihydroxypropane-1-sulfonate",NA,NA,43715802.31380171
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Cysteic acid,Flag,Flag,9599
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Sucrose,NA,NA,36717793.34245331
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Trehalose,NA,NA,1897347.671870825
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Trimethylamine N-oxide,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,beta-Alanine,NA,NA,1139266.1801203876
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Alanine,NA,NA,1170080.1218568354
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Sarcosine,NA,NA,829828
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Serine,NA,Flag,48383
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Proline,NA,NA,28269439.7499571
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Glycine betaine,NA,NA,2963163648
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Threonine,NA,NA,345596.1701821184
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Dimethylsulfonioacetate,NA,NA,172560048
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,beta-Alaninebetaine,NA,NA,436872544
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Isoleucine,NA,NA,122094046.72030586
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Asparagine,NA,NA,651740.0143915238
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Aspartic acid,NA,NA,1426395.487793333
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Dimethylsulfoniopropionate,NA,NA,1618461568
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Homarine,NA,NA,204781104
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Trigonelline,NA,NA,206641280
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Ectoine,NA,NA,31522282
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Proline betaine,NA,NA,91007920
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,(3-Carboxypropyl)trimethylammonium,NA,NA,60628372
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Glutamine,NA,NA,75818292.40010688
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Lysine,NA,NA,1129296
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,beta-Glutamic acid,NA,NA,627099.720226533
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Glutamic acid,NA,NA,33138988.468632184
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Hydroxyisoleucine,NA,NA,81393456
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Methionine,NA,NA,1793165.370752942
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,5-Hydroxyectoine,NA,NA,2593478.5073960647
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Betonicine,NA,NA,74463592
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Carnitine,NA,NA,86405336
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Arginine,NA,NA,5322536.732737886
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Arsenobetaine,NA,NA,9302572
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Gonyol,NA,NA,84794623.90928917
