Rep,Compound,Area,Batch
170706_Std_4uM-StdsInH2O_1,"DL-Alanine, 2H3",NA,G2
170706_Std_4uM-StdsInH2O_2,"DL-Alanine, 2H3",NA,G2
170706_Std_4uM-StdsInH2O_3,"DL-Alanine, 2H3",NA,G2
170706_Std_4uM-StdsInH2O_4,"DL-Alanine, 2H3",NA,G2
170706_Std_4uM-StdsInH2O_5,"DL-Alanine, 2H3",5491,G2
170706_Std_4uM-StdsInH2O_6,"DL-Alanine, 2H3",NA,G2
170706_Std_4uM-StdsInAqMatrix_1,"DL-Alanine, 2H3",3957291,G2
170706_Std_4uM-StdsInAqMatrix_2,"DL-Alanine, 2H3",3251390,G2
170706_Std_4uM-StdsInAqMatrix_3,"DL-Alanine, 2H3",2979450,G2
170706_Std_4uM-StdsInAqMatrix_4,"DL-Alanine, 2H3",3773315,G2
170706_Std_4uM-StdsInAqMatrix_5,"DL-Alanine, 2H3",2431127,G2
170706_Blk_Blk0p2_1,"DL-Alanine, 2H3",7442727,G2
170706_Blk_Blk0p2_2,"DL-Alanine, 2H3",5592988,G2
170706_Blk_BlkMQ_1,"DL-Alanine, 2H3",16130843,G2
170706_Blk_BlkMQ_3,"DL-Alanine, 2H3",15035895,G2
170706_Blk_MQBlk_2,"DL-Alanine, 2H3",26329790,G2
170706_Poo_TruePoo_Full1,"DL-Alanine, 2H3",13899581,G2
170706_Poo_TruePoo_Full2,"DL-Alanine, 2H3",7317668,G2
170706_Poo_TruePoo_Full3,"DL-Alanine, 2H3",6507888,G2
170706_Poo_TruePoo_Full4,"DL-Alanine, 2H3",6580576,G2
170706_Poo_TruePoo_Full5,"DL-Alanine, 2H3",5425525,G2
170706_Poo_TruePoo_Full6,"DL-Alanine, 2H3",4952632,G2
170706_Poo_TruePoo_Full7,"DL-Alanine, 2H3",3991436,G2
170706_Poo_TruePoo_Half1,"DL-Alanine, 2H3",8649211,G2
170706_Poo_TruePoo_Half2,"DL-Alanine, 2H3",5575033,G2
170706_Poo_TruePoo_Half3,"DL-Alanine, 2H3",5332830,G2
170706_Poo_TruePoo_Half4,"DL-Alanine, 2H3",5870914,G2
170706_Poo_TruePoo_Half5,"DL-Alanine, 2H3",6814651,G2
170706_Poo_TruePoo_Half6,"DL-Alanine, 2H3",6759579,G2
170706_Poo_TruePoo_Half7,"DL-Alanine, 2H3",6191375,G2
170706_Smp_S3E15D15_A,"DL-Alanine, 2H3",4063305,G2
170706_Smp_S3E15D15_B,"DL-Alanine, 2H3",6541075,G2
170706_Smp_S3E15D15_C,"DL-Alanine, 2H3",3251188,G2
170706_Smp_S3E15E15_Ds,"DL-Alanine, 2H3",4229515,G2
170706_Smp_S4E16D15_A,"DL-Alanine, 2H3",7573831,G2
170706_Smp_S4E16D15_B,"DL-Alanine, 2H3",3530094,G2
170706_Smp_S4E16D15_C,"DL-Alanine, 2H3",7552412,G2
170706_Smp_S4E16D15_Ds,"DL-Alanine, 2H3",6417745,G2
170706_Smp_S5E28D15_A,"DL-Alanine, 2H3",5769488,G2
170706_Smp_S5E28D15_B,"DL-Alanine, 2H3",4820045,G2
170706_Smp_S5E28D15_C,"DL-Alanine, 2H3",18228418,G2
170706_Smp_S5E28D15_Ds,"DL-Alanine, 2H3",6968370,G2
170706_Smp_S6E37D15_A,"DL-Alanine, 2H3",6757267,G2
170706_Smp_S6E37D15_B,"DL-Alanine, 2H3",7992976,G2
