Rep,Compound,Area,Batch
170706_Std_4uM-StdsInH2O_1,Glycine,NA,G2
170706_Std_4uM-StdsInH2O_2,Glycine,NA,G2
170706_Std_4uM-StdsInH2O_3,Glycine,NA,G2
170706_Std_4uM-StdsInH2O_4,Glycine,NA,G2
170706_Std_4uM-StdsInH2O_5,Glycine,NA,G2
170706_Std_4uM-StdsInH2O_6,Glycine,NA,G2
170706_Std_4uM-StdsInAqMatrix_1,Glycine,NA,G2
170706_Std_4uM-StdsInAqMatrix_2,Glycine,NA,G2
170706_Std_4uM-StdsInAqMatrix_3,Glycine,NA,G2
170706_Std_4uM-StdsInAqMatrix_4,Glycine,NA,G2
170706_Std_4uM-StdsInAqMatrix_5,Glycine,NA,G2
170706_Blk_Blk0p2_1,Glycine,NA,G2
170706_Blk_Blk0p2_2,Glycine,NA,G2
170706_Blk_BlkMQ_1,Glycine,NA,G2
170706_Blk_BlkMQ_3,Glycine,NA,G2
170706_Blk_MQBlk_2,Glycine,NA,G2
170706_Poo_TruePoo_Full1,Glycine,NA,G2
170706_Poo_TruePoo_Full2,Glycine,NA,G2
170706_Poo_TruePoo_Full3,Glycine,NA,G2
170706_Poo_TruePoo_Full4,Glycine,NA,G2
170706_Poo_TruePoo_Full5,Glycine,NA,G2
170706_Poo_TruePoo_Full6,Glycine,NA,G2
170706_Poo_TruePoo_Full7,Glycine,NA,G2
170706_Poo_TruePoo_Half1,Glycine,NA,G2
170706_Poo_TruePoo_Half2,Glycine,NA,G2
170706_Poo_TruePoo_Half3,Glycine,NA,G2
170706_Poo_TruePoo_Half4,Glycine,NA,G2
170706_Poo_TruePoo_Half5,Glycine,NA,G2
170706_Poo_TruePoo_Half6,Glycine,NA,G2
170706_Poo_TruePoo_Half7,Glycine,NA,G2
170706_Smp_S3E15D15_A,Glycine,NA,G2
170706_Smp_S3E15D15_B,Glycine,NA,G2
170706_Smp_S3E15D15_C,Glycine,NA,G2
170706_Smp_S3E15E15_Ds,Glycine,NA,G2
170706_Smp_S4E16D15_A,Glycine,NA,G2
170706_Smp_S4E16D15_B,Glycine,NA,G2
170706_Smp_S4E16D15_C,Glycine,NA,G2
170706_Smp_S4E16D15_Ds,Glycine,NA,G2
170706_Smp_S5E28D15_A,Glycine,NA,G2
170706_Smp_S5E28D15_B,Glycine,NA,G2
170706_Smp_S5E28D15_C,Glycine,NA,G2
170706_Smp_S5E28D15_Ds,Glycine,NA,G2
170706_Smp_S6E37D15_A,Glycine,NA,G2
170706_Smp_S6E37D15_B,Glycine,NA,G2
170706_Smp_S6E37D15_C,Glycine,NA,G2
170706_Smp_S6E37D15_Ds,Glycine,NA,G2
170706_Std_4uM-StdsInH2O_1,Trimethylamine N-oxide,NA,G2
170706_Std_4uM-StdsInH2O_2,Trimethylamine N-oxide,NA,G2
170706_Std_4uM-StdsInH2O_3,Trimethylamine N-oxide,NA,G2
170706_Std_4uM-StdsInH2O_4,Trimethylamine N-oxide,NA,G2
170706_Std_4uM-StdsInH2O_5,Trimethylamine N-oxide,NA,G2
170706_Std_4uM-StdsInH2O_6,Trimethylamine N-oxide,NA,G2
170706_Std_4uM-StdsInAqMatrix_1,Trimethylamine N-oxide,NA,G2
170706_Std_4uM-StdsInAqMatrix_2,Trimethylamine N-oxide,NA,G2
170706_Std_4uM-StdsInAqMatrix_3,Trimethylamine N-oxide,NA,G2
170706_Std_4uM-StdsInAqMatrix_4,Trimethylamine N-oxide,NA,G2
170706_Std_4uM-StdsInAqMatrix_5,Trimethylamine N-oxide,NA,G2
170706_Blk_Blk0p2_1,Trimethylamine N-oxide,NA,G2
170706_Blk_Blk0p2_2,Trimethylamine N-oxide,NA,G2
170706_Blk_BlkMQ_1,Trimethylamine N-oxide,NA,G2
170706_Blk_BlkMQ_3,Trimethylamine N-oxide,NA,G2
170706_Blk_MQBlk_2,Trimethylamine N-oxide,NA,G2
170706_Poo_TruePoo_Full1,Trimethylamine N-oxide,NA,G2
170706_Poo_TruePoo_Full2,Trimethylamine N-oxide,NA,G2
170706_Poo_TruePoo_Full3,Trimethylamine N-oxide,NA,G2
170706_Poo_TruePoo_Full4,Trimethylamine N-oxide,NA,G2
170706_Poo_TruePoo_Full5,Trimethylamine N-oxide,NA,G2
