Part.SampID,Diss.SampID,Cruise,Compound,compound.name.figure,order,class,Part.Conc.nM,Part.C.nM,Part.N.nM,Part.S.nM,Diss.Conc.nM.adj,Diss.N.nM.adj,Diss.S.nM.adj,Total.Conc.nM,Total.C.nM,Total.N.nM,Total.S.nM,Part.Flag,Diss.Flag,Tot.Flag,Diss.LOD.nM.adj,Lat,Long,depth_m,Local_Date,Local_Time,station,Region,Treatment,sst,sss,chla,poc,pn,N_N
220628_Smp_MU1_A,220623_Smp_MU1_A,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02185321954941312,0.15297253684589188,0.02185321954941312,NA,0.0311602873277382,0.0311602873277382,NA,0.05301350687715132,0.37109454814005927,0.05301350687715132,NA,NA,NA,NA,0.00313928717680363,22.24,-158,7,4/10/19,05:30:00,NA,NPSG,NA,24.18130638888889,34.56315083333333,0.0732441,NA,NA,NA
220628_Smp_MU1_B,220623_Smp_MU1_B,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02615384837893195,0.1830769386525237,0.02615384837893195,NA,0.01042808350624668,0.01042808350624668,NA,0.03658193188517863,0.25607352319625054,0.03658193188517863,NA,NA,NA,NA,0.00313928717680363,22.24,-158,7,4/10/19,05:30:00,NA,NPSG,NA,24.18130638888889,34.56315083333333,0.0732441,NA,NA,NA
220628_Smp_MU1_C,220623_Smp_MU1_C,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02834630995149818,0.1984241696604873,0.02834630995149818,NA,0.01116468539867528,0.01116468539867528,NA,0.03951099535017346,0.27657696745121424,0.03951099535017346,NA,NA,NA,NA,0.00313928717680363,22.24,-158,7,4/10/19,05:30:00,NA,NPSG,NA,24.18130638888889,34.56315083333333,0.0732441,NA,NA,NA
220628_Smp_MU2_A,220623_Smp_MU2_A,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.01317809501604573,0.0922466651123201,0.01317809501604573,NA,0.02874280520409169,0.02874280520409169,NA,0.04192090022013742,0.29344630154096196,0.04192090022013742,NA,NA,NA,NA,0.00313928717680363,24.1,-158,7,4/10/19,18:40:00,NA,NPSG,NA,23.58302861111111,34.787930555555555,0.06981958,NA,NA,NA
220628_Smp_MU2_B,220623_Smp_MU2_B,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02276212760584492,0.15933489324091446,0.02276212760584492,NA,0.01852807683280731,0.01852807683280731,NA,0.04129020443865223,0.2890314310705656,0.04129020443865223,NA,NA,NA,NA,0.00313928717680363,24.1,-158,7,4/10/19,18:40:00,NA,NPSG,NA,23.58302861111111,34.787930555555555,0.06981958,NA,NA,NA
220628_Smp_MU2_C,220623_Smp_MU2_C,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02241029046241425,0.1568720332368998,0.02241029046241425,NA,0.01766764991684542,0.01766764991684542,NA,0.04007794037925967,0.28054558265481777,0.04007794037925967,NA,NA,NA,NA,0.00313928717680363,24.1,-158,7,4/10/19,18:40:00,NA,NPSG,NA,23.58302861111111,34.787930555555555,0.06981958,NA,NA,NA
220628_Smp_MU3_A,220623_Smp_MU3_A,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.0177379934860893,0.12416595440262512,0.0177379934860893,NA,0.02294578098122573,0.02294578098122573,NA,0.04068377446731503,0.28478642127120524,0.04068377446731503,NA,NA,NA,NA,0.00313928717680363,25.55,-158,7,4/11/19,05:45:00,NA,NPSG,NA,NA,NA,NA,NA,NA,NA
220628_Smp_MU3_B,220623_Smp_MU3_B,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02481142865538626,0.17368000058770383,0.02481142865538626,NA,0.02389889006021808,0.02389889006021808,NA,0.04871031871560434,0.34097223100923035,0.04871031871560434,NA,NA,NA,NA,0.00313928717680363,25.55,-158,7,4/11/19,05:45:00,NA,NPSG,NA,NA,NA,NA,NA,NA,NA
220628_Smp_MU3_C,220623_Smp_MU3_C,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.0210335259056349,0.14723468133944437,0.0210335259056349,NA,0.02315306506319278,0.02315306506319278,NA,0.04418659096882768,0.30930613678179386,0.04418659096882768,NA,NA,NA,NA,0.00313928717680363,25.55,-158,7,4/11/19,05:45:00,NA,NPSG,NA,NA,NA,NA,NA,NA,NA
220628_Smp_MU4_A,220623_Smp_MU4_A,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02533797488471076,0.1773658241929753,0.02533797488471076,NA,0.02210024195429178,0.02210024195429178,NA,0.04743821683900254,0.3320675178730178,0.04743821683900254,NA,NA,NA,NA,0.00313928717680363,27.47,-158,7,4/11/19,18:40:00,NA,NPSG,NA,21.2004375,35.22767972222222,0.07966526,3.1747165520029874,0.4410409602028585,NA
220628_Smp_MU4_B,220623_Smp_MU4_B,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.03478060717173098,0.24346425020211687,0.03478060717173098,NA,0.01473653673495606,0.01473653673495606,NA,0.04951714390668704,0.34662000734680926,0.04951714390668704,NA,NA,NA,NA,0.00313928717680363,27.47,-158,7,4/11/19,18:40:00,NA,NPSG,NA,21.2004375,35.22767972222222,0.07966526,3.1747165520029874,0.4410409602028585,NA
220628_Smp_MU4_C,220623_Smp_MU4_C,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02720958801409596,0.19046711609867176,0.02720958801409596,NA,0.0211493469972306,0.0211493469972306,NA,0.04835893501132655,0.33851254507928596,0.04835893501132655,NA,NA,NA,NA,0.00313928717680363,27.47,-158,7,4/11/19,18:40:00,NA,NPSG,NA,21.2004375,35.22767972222222,0.07966526,3.1747165520029874,0.4410409602028585,NA
220628_Smp_MU5_A,220623_Smp_MU5_A,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.01624577247774397,0.1137204073442078,0.01624577247774397,NA,0.01251148204680168,0.01251148204680168,NA,0.02875725452454565,0.2013007816718196,0.02875725452454565,NA,NA,NA,NA,0.00313928717680363,29.28,-158,7,4/12/19,05:40:00,NA,NPSG,NA,19.634418055555557,35.15114138888889,0.05844706,2.423437205981798,0.41226336756122,NA
220628_Smp_MU5_B,220623_Smp_MU5_B,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02139276145101531,0.14974933015710715,0.02139276145101531,NA,0.00314865290396103,0.00314865290396103,NA,0.02454141435497634,0.17178990048483442,0.02454141435497634,NA,NA,NA,NA,0.00313928717680363,29.28,-158,7,4/12/19,05:40:00,NA,NPSG,NA,19.634418055555557,35.15114138888889,0.05844706,2.423437205981798,0.41226336756122,NA
220628_Smp_MU5_C,220623_Smp_MU5_C,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.01995219385476075,0.13966535698332527,0.01995219385476075,NA,0.02815112586153637,0.02815112586153637,NA,0.04810331971629712,0.33672323801407983,0.04810331971629712,NA,NA,NA,NA,0.00313928717680363,29.28,-158,7,4/12/19,05:40:00,NA,NPSG,NA,19.634418055555557,35.15114138888889,0.05844706,2.423437205981798,0.41226336756122,NA
220628_Smp_MU6_A,220623_Smp_MU6_A,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02880149956008477,0.2016104969205934,0.02880149956008477,NA,0.02459730098531459,0.02459730098531459,NA,0.05339880054539936,0.3737916038177955,0.05339880054539936,NA,NA,NA,NA,0.00313928717680363,31.1,-158,7,4/12/19,18:20:00,NA,NPSG,NA,19.2527575,35.09954277777778,0.06571155176417522,2.211415063254744,0.36082710524139266,NA
220628_Smp_MU6_B,220623_Smp_MU6_B,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02449653331663242,0.17147573321642692,0.02449653331663242,NA,0.03385762946515444,0.03385762946515444,NA,0.05835416278178686,0.408479139472508,0.05835416278178686,NA,NA,NA,NA,0.00313928717680363,31.1,-158,7,4/12/19,18:20:00,NA,NPSG,NA,19.2527575,35.09954277777778,0.06571155176417522,2.211415063254744,0.36082710524139266,NA
220628_Smp_MU6_C,220623_Smp_MU6_C,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.01957643019118542,0.13703501133829793,0.01957643019118542,NA,0.02876380666375887,0.02876380666375887,NA,0.04834023685494429,0.33838165798461006,0.04834023685494429,NA,NA,NA,NA,0.00313928717680363,31.1,-158,7,4/12/19,18:20:00,NA,NPSG,NA,19.2527575,35.09954277777778,0.06571155176417522,2.211415063254744,0.36082710524139266,NA
220628_Smp_MU7_A,220623_Smp_MU7_A,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02564459247207481,0.1795121473045237,0.02564459247207481,NA,0.01092234565733511,0.01092234565733511,NA,0.03656693812940992,0.25596856690586944,0.03656693812940992,NA,NA,NA,NA,0.00313928717680363,32.18,-158,7,4/13/19,05:45:00,NA,NPSG,NA,17.845815833333333,34.67115472222222,0.0713909,2.4710027031765245,0.4053569151957016,NA
220628_Smp_MU7_B,220623_Smp_MU7_B,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.03364815114406906,0.23553705800848343,0.03364815114406906,NA,0.0178011710149777,0.0178011710149777,NA,0.05144932215904677,0.36014525511332734,0.05144932215904677,NA,NA,NA,NA,0.00313928717680363,32.18,-158,7,4/13/19,05:45:00,NA,NPSG,NA,17.845815833333333,34.67115472222222,0.0713909,2.4710027031765245,0.4053569151957016,NA
