Cruise,Station,Lat,Long,UTC.time.round,PATP_ng_L,SD_PATP_ng_L,ATP_Flag,sst,sss,chla,poc,pn,N_N,pp_13c,pp_13c_interp,pp_14c,pp_14c_interp,pp13c_atp_ratio,pp14c_atp_ratio
TN397,UW 1,31.13,-119.82,2021-11-19T17:00:00Z,59.4,NA,NA,17.67898938888889,33.23500391666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TN397,UW 2,30.76,-120.46,2021-11-19T20:00:00Z,49.4,NA,NA,17.786375055555556,33.011698555555554,0.10418138764668984,NA,NA,NA,NA,NA,NA,NA,NA,NA
TN397,UW 3,30.1,-121.58,2021-11-20T02:00:00Z,80.3,NA,NA,17.287901472222224,33.03124138888889,0.15963104234863418,NA,NA,0.003,NA,NA,NA,NA,NA,NA
TN397,S01,28.44,-124.4,2021-11-20T18:00:00Z,12.6,NA,NA,21.316147972222225,32.98141197222222,0.0421324550529142,1.3327227392249248,0.2061486981959848,0.003,2.25,2.3724846771761956,2.5665524803454076,2.6823310973690897,0.18829243469652346,0.21288342042611824
TN397,S01,28.44,-124.4,2021-11-20T18:00:00Z,25.2,NA,NA,21.316147972222225,32.98141197222222,0.0421324550529142,1.3327227392249248,0.2061486981959848,0.003,2.25,2.3724846771761956,2.5665524803454076,2.6823310973690897,0.09414621734826173,0.10644171021305912
TN397,S02,27.07,-126.67,2021-11-21T13:00:00Z,24.5,NA,NA,20.514640361111113,33.84368833333333,0.05677650583645381,1.2335191662078222,0.1850836077817317,0.008,2.74,2.726276322522287,3.005597847846022,3.0115426327414254,0.1112765845927464,0.1229201074588337
TN397,UW 4,27.07,-126.67,2021-11-21T15:00:00Z,22.8,NA,NA,20.515452944444444,33.854922944444446,0.06553447807035863,1.2262864054732383,0.1841865711547452,0.003,2.74,2.7529523932587554,3.005597847846022,3.005597847846022,0.12074352602012085,0.13182446701079045
TN397,UW 5,25.96,-128.5,2021-11-22T02:00:00Z,38.3,NA,NA,20.85937113888889,34.26758686111111,0.06680903464562789,1.6982556851725823,0.2677524051372526,0.004,NA,NA,3.005597847846022,2.670063325797158,NA,0.06971444714875087
TN397,UW 6,24.29,-131.23,2021-11-22T16:00:00Z,26.8,NA,NA,21.623749361111113,34.69682613888889,0.08201063214109112,1.4042805206494502,0.2156529775826507,0.005,NA,NA,2.28887357127982,2.316708122047792,NA,0.08644433291223104
TN397,UW 7,23.1,-133.14,2021-11-23T00:00:00Z,27.7,NA,NA,21.62393284245624,34.60343117532648,0.05242711153576539,1.6968339449232377,0.2583711895138912,0.003,NA,NA,2.28887357127982,2.780735894429969,NA,0.10038757741624438
TN397,3,21.74,-135.31,2021-11-23T13:00:00Z,21.8,NA,NA,23.69896575,34.887211,0.05901768259343143,1.430981669900156,0.2445803773601708,0.001,2.92,2.919743440719235,3.681260305192695,3.654171639603478,0.13393318535409335,0.1676225522753889
TN397,3,21.74,-135.31,2021-11-23T13:00:00Z,21.8,NA,NA,23.69896575,34.887211,0.05901768259343143,1.430981669900156,0.2445803773601708,0.001,2.92,2.919743440719235,3.681260305192695,3.654171639603478,0.13393318535409335,0.1676225522753889
TN397,3,21.74,-135.31,2021-11-23T13:00:00Z,21.8,NA,NA,23.69896575,34.887211,0.05901768259343143,1.430981669900156,0.2445803773601708,0.001,2.92,2.919743440719235,3.681260305192695,3.654171639603478,0.13393318535409335,0.1676225522753889
TN397,3,21.74,-135.31,2021-11-23T13:00:00Z,21.8,NA,NA,23.69896575,34.887211,0.05901768259343143,1.430981669900156,0.2445803773601708,0.001,2.92,2.919743440719235,3.681260305192695,3.654171639603478,0.13393318535409335,0.1676225522753889
TN397,4,19.51,-138.58,2021-11-25T19:00:00Z,33.9,NA,NA,23.775630372532667,35.07950924381429,0.07440543977938958,1.648409200798416,0.240561548742655,0.003,NA,NA,NA,NA,NA,NA
TN397,5,17.67,-140.16,2021-11-26T14:00:00Z,24.5,NA,NA,25.396215166666668,34.52146619444444,0.04813406017461769,1.143191380767604,0.19247006874095512,0.019,3.53,3.5263005805338183,4.189925984554498,4.145969487017874,0.14393063594015584,0.16922324436807648
TN397,6,13.95,-140,2021-11-27T13:00:00Z,46.2,NA,NA,26.36693375,33.749195388888886,0.08905537666154331,1.7194545113144206,0.3055044913895802,0.01,NA,NA,7.441193234232436,7.391241827647069,NA,0.15998358934301013
