Compound,lat_bin,mean_lat,mean_part_conc,sd_part_conc
Total,"[-3,-2)",-2.409,10.227871929683225,1.3396686321245224
Total,"[-2,-1)",-1.1918000000000002,11.595605753725922,2.6571057483370253
Total,"[0,1)",0.15163333333333334,9.908037861349788,4.342867809073136
Total,"[1,2)",1.1248,9.678133862694182,1.137052763361265
Total,"[3,4)",3.2711,10.576432431335185,1.9232095995069076
Total,"[4,5)",4.7578125,11.606617402481119,2.709734528819443
Total,"[6,7)",6.62985,10.482242847087099,1.6117068578429017
Total,"[8,9)",8.388,6.947018887743018,1.0595123805307076
Total,"[9,10)",9.2497,5.124873943150454,0.43368224514840836
Total,"[10,11)",10.69765,5.825657187554359,0.6383234387437063
Total,"[11,12)",11.92,6.384275501204381,0.5268784522198492
Total,"[12,13)",12.389,6.88116339535112,1.5535975055585416
Total,"[13,14)",13.9487,6.7449177683837735,0.7091579263444351
Total,"[14,15)",14.772,5.870134181607621,0.07440514930257222
Total,"[19,20)",19.655566666666665,5.211318660806318,0.4688779190282118
Total,"[21,22)",21,4.054700512137454,0.5523667304825698
Total,"[22,23)",22.24,4.394013247273503,0.8350332506305864
Total,"[24,25)",24.265,3.6963339073922716,0.8857984558078973
Total,"[25,26)",25.765,4.487663765040098,0.6165091519809107
Total,"[27,28)",27.26865,5.124386211392466,0.97917366701234
Total,"[28,29)",28.32288,3.597927930961981,1.2657233489324424
Total,"[29,30)",29.28,3.9425772997574633,0.01417051312607911
Total,"[31,32)",31.17,4.301314567584982,0.8181355973162675
Total,"[32,33)",32.18,3.981647150659827,0.3987312854250568
Total,"[33,34)",33.34,5.091320501958933,0.22974021573743145
Total,"[34,35)",34.275,7.4370589455620895,6.632848498633648
Total,"[35,36)",35.57,6.993654865233964,1.011387872956978
Total,"[36,37)",36.57,9.572901052859587,4.934572139364881
Total,"[37,38)",37.43,12.28341941817887,2.3845736899254257
Total,"[38,39)",38.515,18.976167051182415,10.333090302989538
Total,"[40,41)",40.31,21.460297257781548,11.484284769697172
Total,"[42,43)",42.212,32.00929220322104,9.662540197242167
Homarine,"[-3,-2)",-2.409,0.19477065448023864,0.029576527802902958
Homarine,"[-2,-1)",-1.1918000000000002,0.2642105087852254,0.07145278742492507
Homarine,"[0,1)",0.15234999999999999,0.24991581576310162,0.09342994063031142
Homarine,"[1,2)",1.1248,0.2193620493762913,0.02091879450305873
Homarine,"[3,4)",3.2711,0.21953286591995355,0.034186964604521065
Homarine,"[4,5)",4.7578125,0.2650231180966715,0.06189570833083243
Homarine,"[6,7)",6.62985,0.1922076179084619,0.021878466535126373
Homarine,"[8,9)",8.388,0.06156701665610912,0.003724764788532065
Homarine,"[9,10)",9.2497,0.0217758889983103,0.003243548734276164
Homarine,"[10,11)",10.69765,0.041923960840952026,0.003352631600804162
Homarine,"[11,12)",11.92,0.025289156886266463,0.0025044172805987345
Homarine,"[12,13)",12.389,0.09565793087995214,0.02626379707046966
Homarine,"[13,14)",13.9487,0.060065611564898834,0.00634193714860834
Homarine,"[14,15)",14.772,0.01753801923674827,8.410139351649032e-4
Homarine,"[19,20)",19.655566666666665,0.012431794216100148,0.0031575764445732016
Homarine,"[21,22)",21,0.017503936323375092,0.006348241087376154
Homarine,"[22,23)",22.24,0.017158634104636424,0.004239258372979214
Homarine,"[24,25)",24.265,0.01824182493537594,0.004401512241128288
Homarine,"[25,26)",25.765,0.020064763758069776,0.004096866921428056
Homarine,"[27,28)",27.26865,0.023683674799337077,0.0031420781800757264
Homarine,"[28,29)",28.32288,0.012893124466281724,0.005300384667968537
Homarine,"[29,30)",29.28,0.02443758383325216,0.002937463132348316
Homarine,"[31,32)",31.17,0.027668626005826702,0.006666339376319407
Homarine,"[32,33)",32.18,0.045846890445941105,0.0022160989535496296
Homarine,"[33,34)",33.34,0.04373918248186272,0.002918150383542842
Homarine,"[34,35)",34.275,0.1601152471273066,0.032762650560697736
Homarine,"[35,36)",35.57,0.49044874927825344,0.0874892412301601
Homarine,"[36,37)",36.57,0.49814554935984556,0.1214557483243297
Homarine,"[37,38)",37.43,0.8575659821264643,0.1198168724772508
Homarine,"[38,39)",38.515,0.5921208102444102,0.2873822168377231
Homarine,"[40,41)",40.31,0.5851037097037227,0.24263173041900954
