Cruise,Parent_ID,Part.SampID,Compound,Part.detected,Part.Conc.Vial.uM,Part.Conc.nM,Part.Conc.C.nM,Part.Conc.N.nM,Part.Conc.S.nM,Part.Impute.Conc.nM,Treatment,Replicate,POC_uM,PN_uM,Chlorophyte,Diatom,Dinoflagellate,Haptophyte,Metazoa,Other,N,P,Fe,N_status
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,(3-Carboxypropyl)trimethylammonium,Yes,0.1762137300480507,0.00783172133546892,0.05482204934828244,0.00783172133546892,NA,1.4584352573159464e-4,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,"(R)-2,3-Dihydroxypropane-1-sulfonate",No,0.1628218157578373,0.00723652514479276,0.02170957543437831,NA,0.00723652514479276,0.04313867926383093,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,2-O-alpha-D-Glucosylglycerol,No,0.17690350896058324,0.00786237817602592,0.0707614035842333,NA,NA,0.02514856537516428,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,5-Hydroxyectoine,No,6.904962235319312e-5,3.0688721045863607e-6,1.8413232627518165e-5,6.137744209172721e-6,NA,2.0996429640953443e-5,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,Betonicine,Yes,0.09931161258642328,0.00441384944828547,0.03089694613799834,0.00441384944828547,NA,4.406599178281608e-4,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,Carnitine,Yes,0.14727811625398754,0.00654569405573277,0.04581985839012945,0.00654569405573277,NA,0.00122267232565245,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,Dimethylsulfonioacetate,Yes,0.75400638494035,0.03351139488623778,0.13404557954495114,NA,0.03351139488623778,0.00324211983777655,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,Dimethylsulfoniopropionate,Yes,1.6401999930151712,0.07289777746734093,0.36448888733670465,NA,0.07289777746734093,0.00891646846697458,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,Ectoine,Yes,0.01926708004157866,8.563146685146071e-4,0.00513788801108764,0.00171262933702921,NA,2.535225558364042e-4,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,Gonyol,Yes,1.3986538970328142,0.06216239542368062,0.43513676796576434,NA,0.06216239542368062,0.02049133475271222,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
