compound.name.figure,var1,var2,cor,statistic,p,conf.low,conf.high,method
(Iso)leucine,log10.part.conc.nM,log10.poc,0.75,13.729757598910018,2.68e-28,0.666185306695903,0.8092962466350102,Pearson
Alanine,log10.part.conc.nM,log10.poc,0.9,26.05358255903995,1.5099999999999998e-57,0.8713301075499459,0.9301781521226052,Pearson
Arsenobetaine,log10.part.conc.nM,log10.poc,-0.28,-3.594210493410747,4.41e-4,-0.4218789281112781,-0.12813431988846247,Pearson
Asparagine,log10.part.conc.nM,log10.poc,0.9,24.995045548256428,2.3899999999999996e-55,0.8620276611821633,0.9249596354628437,Pearson
Aspartic acid,log10.part.conc.nM,log10.poc,0.85,19.734238105716955,1.5599999999999999e-43,0.7984738804835702,0.8886606819739196,Pearson
Betonicine,log10.part.conc.nM,log10.poc,0.73,13.262947287144867,4.67e-27,0.6516946934128361,0.8002732827064372,Pearson
Carnitine,log10.part.conc.nM,log10.poc,0.95,35.59276494463498,4.95e-75,0.9257436991706673,0.9602341575485579,Pearson
DHPS,log10.part.conc.nM,log10.poc,0.87,21.428482787448715,1.68e-47,0.8227101263779253,0.9026379117367953,Pearson
DMSA,log10.part.conc.nM,log10.poc,0.67,11.038212347306684,4.14e-21,0.5711590197593215,0.7488687468245087,Pearson
DMSP,log10.part.conc.nM,log10.poc,0.69,11.795828745995566,3.9099999999999994e-23,0.6008593282870681,0.7680781436921734,Pearson
Ectoine,log10.part.conc.nM,log10.poc,0.81,16.944004602115484,1.16e-36,0.7477232441797532,0.8588392916044166,Pearson
GBT,log10.part.conc.nM,log10.poc,0.9,25.861800498268533,3.75e-57,0.8697118242868302,0.9292720279084884,Pearson
GG,log10.part.conc.nM,log10.poc,0.91,26.567319778287736,1.36e-58,0.87552737300177,0.9325249870770704,Pearson
Glutamic acid,log10.part.conc.nM,log10.poc,0.87,21.488260837154694,1.22e-47,0.823490405074413,0.9030851206294792,Pearson
Glutamine,log10.part.conc.nM,log10.poc,0.61,9.372311801260924,1.02e-16,0.49656224128317084,0.6992676186946012,Pearson
Gonyol,log10.part.conc.nM,log10.poc,0.9,24.601738688264316,1.6199999999999998e-54,0.8583291879212926,0.9228782403581984,Pearson
Homarine,log10.part.conc.nM,log10.poc,0.79,15.833746254900776,8.09e-34,0.7228075261685467,0.8439177128802379,Pearson
Hydroxyectoine,log10.part.conc.nM,log10.poc,0.67,11.116677299452947,2.5600000000000003e-21,0.5743517458148704,0.7509481449813733,Pearson
Hydroxyisoleucine,log10.part.conc.nM,log10.poc,0.35,4.5210128083593375,1.24e-5,0.19801446814517362,0.4790866410784719,Pearson
Isethionic acid,log10.part.conc.nM,log10.poc,0.85,19.9643463354724,4.42e-44,0.8020216114275381,0.8907172092426358,Pearson
Proline,log10.part.conc.nM,log10.poc,0.9,25.233643422007184,7.549999999999999e-56,0.8642053732433351,0.9261834264534374,Pearson
Proline betaine,log10.part.conc.nM,log10.poc,0.83,18.390822892815002,2.8299999999999997e-40,0.77594028277526,0.8755132921757601,Pearson
Sarcosine,log10.part.conc.nM,log10.poc,0.74,13.542665029562464,8.409999999999999e-28,0.660469207020849,0.8057450135077716,Pearson
Sucrose,log10.part.conc.nM,log10.poc,0.45,6.251894237492862,4e-9,0.3185080884975762,0.5724227142701669,Pearson
TMAB,log10.part.conc.nM,log10.poc,0.91,26.538136440952048,1.5500000000000001e-58,0.8752941793827455,0.9323947267328565,Pearson
TMAO,log10.part.conc.nM,log10.poc,0.73,12.991485675997279,2.4800000000000002e-26,0.6429100954357472,0.7947703645293417,Pearson
Taurine,log10.part.conc.nM,log10.poc,0.86,20.60505478073541,1.36e-45,0.811461561811266,0.8961716751999423,Pearson
Threonine,log10.part.conc.nM,log10.poc,0.9,25.10021404353201,1.4399999999999997e-55,0.8629935665061721,0.9255025984464514,Pearson
Trehalose,log10.part.conc.nM,log10.poc,0.75,13.840729216344855,1.36e-28,0.6695190928988056,0.81136260453187,Pearson
Trigonelline,log10.part.conc.nM,log10.poc,0.89,24.50590954012424,2.5999999999999997e-54,0.8574069622948883,0.9223586500043692,Pearson
beta-Alanine,log10.part.conc.nM,log10.poc,0.89,23.467337489422043,4.529999999999999e-52,0.8468489154123242,0.9163933590405086,Pearson
beta-Alanine betaine,log10.part.conc.nM,log10.poc,0.89,23.678060209723544,1.5699999999999998e-52,0.8490775873590414,0.9176551349114648,Pearson
beta-Glutamic acid,log10.part.conc.nM,log10.poc,0.72,12.734213181794278,1.21e-25,0.6343327595304019,0.789373079756771,Pearson
