Region,compound.name.figure,mean.rank
CUCP,(Iso)leucine,2.7333333333333334
CUCP,Alanine,10.4
CUCP,Arsenobetaine,32.06666666666667
CUCP,Asparagine,22.266666666666666
CUCP,Aspartic acid,9.333333333333334
CUCP,Betonicine,28.066666666666666
CUCP,Carnitine,28.333333333333332
CUCP,DHPS,17.666666666666668
CUCP,DMSA,11.8
CUCP,DMSP,8.4
CUCP,Ectoine,31
CUCP,GBT,5
CUCP,GG,14.933333333333334
CUCP,Glutamic acid,1.3333333333333333
CUCP,Glutamine,9.2
CUCP,Gonyol,3.933333333333333
CUCP,Homarine,10.666666666666666
CUCP,Hydroxyectoine,32.93333333333333
CUCP,Hydroxyisoleucine,6.466666666666667
CUCP,Isethionic acid,9.6
CUCP,Proline,17.6
CUCP,Proline betaine,29.266666666666666
CUCP,Sarcosine,26.8
CUCP,Sucrose,15.666666666666666
CUCP,TMAB,24.733333333333334
CUCP,TMAO,15
CUCP,Taurine,9.466666666666667
CUCP,Threonine,19.866666666666667
CUCP,Trehalose,23.133333333333333
CUCP,Trigonelline,20.6
CUCP,beta-Alanine,23.333333333333332
CUCP,beta-Alanine betaine,13.066666666666666
CUCP,beta-Glutamic acid,26.333333333333332
NPEC,(Iso)leucine,2.4444444444444446
NPEC,Alanine,8.38888888888889
NPEC,Arsenobetaine,31.944444444444443
NPEC,Asparagine,18.666666666666668
NPEC,Aspartic acid,10.11111111111111
NPEC,Betonicine,28.22222222222222
NPEC,Carnitine,27.555555555555557
NPEC,DHPS,12.5
NPEC,DMSA,23.944444444444443
NPEC,DMSP,15.722222222222221
NPEC,Ectoine,30.11111111111111
NPEC,GBT,5.666666666666667
NPEC,GG,12.666666666666666
NPEC,Glutamic acid,1.2222222222222223
NPEC,Glutamine,13.055555555555555
NPEC,Gonyol,5.666666666666667
NPEC,Homarine,15
NPEC,Hydroxyectoine,33
NPEC,Hydroxyisoleucine,2.3333333333333335
NPEC,Isethionic acid,6.055555555555555
NPEC,Proline,16.555555555555557
NPEC,Proline betaine,28.5
NPEC,Sarcosine,28.833333333333332
NPEC,Sucrose,10
NPEC,TMAB,23.666666666666668
NPEC,TMAO,21.5
NPEC,Taurine,9.833333333333334
NPEC,Threonine,17.77777777777778
NPEC,Trehalose,23.166666666666668
NPEC,Trigonelline,24.5
NPEC,beta-Alanine,21.61111111111111
NPEC,beta-Alanine betaine,7.722222222222222
NPEC,beta-Glutamic acid,23.055555555555557
NPSG,(Iso)leucine,3.026666666666667
NPSG,Alanine,10.306666666666667
NPSG,Arsenobetaine,31.786666666666665
NPSG,Asparagine,21.52
NPSG,Aspartic acid,9.053333333333333
NPSG,Betonicine,26.546666666666667
NPSG,Carnitine,27.85333333333333
NPSG,DHPS,17.213333333333335
NPSG,DMSA,12.773333333333333
NPSG,DMSP,11.573333333333334
NPSG,Ectoine,30.533333333333335
NPSG,GBT,4.906666666666666
NPSG,GG,15.346666666666666
NPSG,Glutamic acid,1.6933333333333334
NPSG,Glutamine,6.306666666666667
NPSG,Gonyol,3.28
NPSG,Homarine,21.053333333333335
NPSG,Hydroxyectoine,32.973333333333336
NPSG,Hydroxyisoleucine,4.906666666666666
NPSG,Isethionic acid,10.96
NPSG,Proline,17.213333333333335
NPSG,Proline betaine,28.213333333333335
NPSG,Sarcosine,28.106666666666666
NPSG,Sucrose,10.986666666666666
NPSG,TMAB,24.14666666666667
NPSG,TMAO,16.293333333333333
NPSG,Taurine,10.106666666666667
