Region,compound.name.figure,mean.relabun
CUCP,(Iso)leucine,-0.21260793816973875
CUCP,Alanine,-0.647219022040195
CUCP,Arsenobetaine,-3.4249773060774453
CUCP,Asparagine,-1.5095138126579228
CUCP,Aspartic acid,-0.5971556944432438
CUCP,Betonicine,-1.9495594106965557
CUCP,Carnitine,-1.9948812337077089
CUCP,DHPS,-1.0795522112541829
CUCP,DMSA,-0.6717023965231466
CUCP,DMSP,-0.436353026671373
CUCP,Ectoine,-2.5223923345682278
CUCP,GBT,-0.38415836282828986
CUCP,GG,-0.8816449114444781
CUCP,Glutamic acid,-0.02144972251781955
CUCP,Glutamine,-0.5714772969533769
CUCP,Gonyol,-0.28434531527438417
CUCP,Homarine,-0.5832200538077316
CUCP,Hydroxyectoine,-3.7769236967497664
CUCP,Hydroxyisoleucine,-0.41988409389903625
CUCP,Isethionic acid,-0.525047753763004
CUCP,Proline,-1.1278714294325956
CUCP,Proline betaine,-2.037482817352707
CUCP,Sarcosine,-1.8340947049208969
CUCP,Sucrose,-0.8058011726520032
CUCP,TMAB,-1.6953936775575826
CUCP,TMAO,-0.9083398486302645
CUCP,Taurine,-0.5802481613754832
CUCP,Threonine,-1.3238186378221055
CUCP,Trehalose,-1.5509534896513673
CUCP,Trigonelline,-1.4007143921568306
CUCP,beta-Alanine,-1.6043428692377666
CUCP,beta-Alanine betaine,-0.7627056092425913
CUCP,beta-Glutamic acid,-1.8581251262114384
NPEC,(Iso)leucine,-0.11639509975295396
NPEC,Alanine,-0.6602207738940119
NPEC,Arsenobetaine,-3.0193455674625795
NPEC,Asparagine,-1.5335195414756921
NPEC,Aspartic acid,-0.7520335951881562
NPEC,Betonicine,-2.193913998536742
NPEC,Carnitine,-2.156618505216712
NPEC,DHPS,-0.9433891050162985
NPEC,DMSA,-1.8236477066598957
NPEC,DMSP,-1.1824726655348745
NPEC,Ectoine,-2.364408541718202
NPEC,GBT,-0.5228303047501243
NPEC,GG,-0.9002463210584974
NPEC,Glutamic acid,-0.013252876458293605
NPEC,Glutamine,-0.771951365828001
NPEC,Gonyol,-0.5123947032575481
NPEC,Homarine,-1.0781242589700468
NPEC,Hydroxyectoine,-3.8273538923582926
NPEC,Hydroxyisoleucine,-0.10126586440273937
NPEC,Isethionic acid,-0.49424456181139453
NPEC,Proline,-1.1912315475495439
NPEC,Proline betaine,-2.213379612670571
NPEC,Sarcosine,-2.2381684311969465
NPEC,Sucrose,-0.7540551542844287
NPEC,TMAB,-1.8587773201022442
NPEC,TMAO,-1.6262043770890804
NPEC,Taurine,-0.7341566742951962
NPEC,Threonine,-1.4862128644511372
NPEC,Trehalose,-1.7834600827106817
NPEC,Trigonelline,-1.9419218254451345
NPEC,beta-Alanine,-1.7225260329887648
NPEC,beta-Alanine betaine,-0.6378932605417895
NPEC,beta-Glutamic acid,-1.7750507097419654
NPSG,(Iso)leucine,-0.13763311153045693
NPSG,Alanine,-0.6921073902695133
NPSG,Arsenobetaine,-2.7531398963033835
NPSG,Asparagine,-1.4765774580037918
NPSG,Aspartic acid,-0.5496069037026643
NPSG,Betonicine,-1.7532957563174079
NPSG,Carnitine,-1.798153536382121
NPSG,DHPS,-1.1815276507773007
NPSG,DMSA,-0.7269249552981649
NPSG,DMSP,-0.6799377529216684
NPSG,Ectoine,-2.2603752628709155
NPSG,GBT,-0.3480471956505947
NPSG,GG,-0.9450014510646036
NPSG,Glutamic acid,-0.05769686897736746
NPSG,Glutamine,-0.3858707241154155
NPSG,Gonyol,-0.2014629386965739
NPSG,Homarine,-1.331299816959478
NPSG,Hydroxyectoine,-3.6518791859795514
