Region.1,Region.2,var1,var2,cor,statistic,p,conf.low,conf.high,method
CUCP,CUCP,mean.rank.1,mean.rank.2,1,Inf,0,1,1,Pearson
CUCP,NPEC,mean.rank.1,mean.rank.2,0.92,12.871164918309468,5.63e-14,0.8387985882451375,0.9589578543857765,Pearson
CUCP,NPSG,mean.rank.1,mean.rank.2,0.97,21.561940812564306,3.19e-20,0.936094598797266,0.9843469531151872,Pearson
CUCP,NPTZ,mean.rank.1,mean.rank.2,0.91,11.847865212132435,4.82e-13,0.814949263388273,0.9524258365432136,Pearson
CUCP,PEDP,mean.rank.1,mean.rank.2,0.9,11.550398335889254,9.21e-13,0.8070924419254044,0.9502459382105112,Pearson
CUCP,SS,mean.rank.1,mean.rank.2,0.79,7.08444916513758,5.86e-8,0.6066947237128244,0.8894636231353871,Pearson
NPEC,CUCP,mean.rank.1,mean.rank.2,0.92,12.871164918309468,5.63e-14,0.8387985882451375,0.9589578543857765,Pearson
NPEC,NPEC,mean.rank.1,mean.rank.2,1,373646341.4092065,3.329999999999998e-244,0.9999999999999998,1,Pearson
NPEC,NPSG,mean.rank.1,mean.rank.2,0.93,14.419914714263852,2.72e-15,0.8673473374485725,0.9666127990549468,Pearson
NPEC,NPTZ,mean.rank.1,mean.rank.2,0.84,8.699952487858692,7.99e-10,0.7019485990376411,0.9196586681106422,Pearson
NPEC,PEDP,mean.rank.1,mean.rank.2,0.99,34.64358117893021,2.3700000000000002e-26,0.9742534723425029,0.9937860950913813,Pearson
NPEC,SS,mean.rank.1,mean.rank.2,0.88,10.131943791836152,2.34e-11,0.7624971874319422,0.9376013717063427,Pearson
NPSG,CUCP,mean.rank.1,mean.rank.2,0.97,21.561940812564306,3.19e-20,0.936094598797266,0.9843469531151872,Pearson
NPSG,NPEC,mean.rank.1,mean.rank.2,0.93,14.419914714263852,2.72e-15,0.8673473374485725,0.9666127990549468,Pearson
NPSG,NPSG,mean.rank.1,mean.rank.2,1,Inf,0,1,1,Pearson
NPSG,NPTZ,mean.rank.1,mean.rank.2,0.85,8.941899925870331,4.32e-10,0.7135242938161549,0.9231607011282202,Pearson
NPSG,PEDP,mean.rank.1,mean.rank.2,0.9,11.615825792402838,7.98e-13,0.8088598718334552,0.9507375422186618,Pearson
NPSG,SS,mean.rank.1,mean.rank.2,0.78,6.9650355913628825,8.15e-8,0.5982081339552421,0.8866480538635784,Pearson
NPTZ,CUCP,mean.rank.1,mean.rank.2,0.91,11.847865212132435,4.82e-13,0.814949263388273,0.9524258365432136,Pearson
NPTZ,NPEC,mean.rank.1,mean.rank.2,0.84,8.699952487858692,7.99e-10,0.7019485990376411,0.9196586681106422,Pearson
NPTZ,NPSG,mean.rank.1,mean.rank.2,0.85,8.941899925870331,4.32e-10,0.7135242938161549,0.9231607011282202,Pearson
NPTZ,NPTZ,mean.rank.1,mean.rank.2,1,Inf,0,1,1,Pearson
NPTZ,PEDP,mean.rank.1,mean.rank.2,0.87,9.993676625120681,3.25e-11,0.7574181228442484,0.9361312620912362,Pearson
NPTZ,SS,mean.rank.1,mean.rank.2,0.83,8.329418552502617,2.08e-9,0.68299579908652,0.9138490726486893,Pearson
PEDP,CUCP,mean.rank.1,mean.rank.2,0.9,11.550398335889254,9.21e-13,0.8070924419254044,0.9502459382105112,Pearson
PEDP,NPEC,mean.rank.1,mean.rank.2,0.99,34.64358117893021,2.3700000000000002e-26,0.9742534723425029,0.9937860950913813,Pearson
PEDP,NPSG,mean.rank.1,mean.rank.2,0.9,11.615825792402838,7.98e-13,0.8088598718334552,0.9507375422186618,Pearson
PEDP,NPTZ,mean.rank.1,mean.rank.2,0.87,9.993676625120681,3.25e-11,0.7574181228442484,0.9361312620912362,Pearson
PEDP,PEDP,mean.rank.1,mean.rank.2,1,Inf,0,1,1,Pearson
PEDP,SS,mean.rank.1,mean.rank.2,0.91,12.205978110009042,2.24e-13,0.8238271790947678,0.9548722285720189,Pearson
SS,CUCP,mean.rank.1,mean.rank.2,0.79,7.08444916513758,5.86e-8,0.6066947237128244,0.8894636231353871,Pearson
SS,NPEC,mean.rank.1,mean.rank.2,0.88,10.131943791836152,2.34e-11,0.7624971874319422,0.9376013717063427,Pearson
SS,NPSG,mean.rank.1,mean.rank.2,0.78,6.9650355913628825,8.15e-8,0.5982081339552421,0.8866480538635784,Pearson
SS,NPTZ,mean.rank.1,mean.rank.2,0.83,8.329418552502617,2.08e-9,0.68299579908652,0.9138490726486893,Pearson
SS,PEDP,mean.rank.1,mean.rank.2,0.91,12.205978110009042,2.24e-13,0.8238271790947678,0.9548722285720189,Pearson
SS,SS,mean.rank.1,mean.rank.2,1,Inf,0,1,1,Pearson
