Part.SampID,replicate,SampID.shared,Diss.SampID
220628_Smp_MU1_A,A,MU1,220623_Smp_MU1_A
220628_Smp_MU1_B,B,MU1,220623_Smp_MU1_B
220628_Smp_MU1_C,C,MU1,220623_Smp_MU1_C
220628_Smp_MU2_A,A,MU2,220623_Smp_MU2_A
220628_Smp_MU2_B,B,MU2,220623_Smp_MU2_B
220628_Smp_MU2_C,C,MU2,220623_Smp_MU2_C
220628_Smp_MU3_A,A,MU3,220623_Smp_MU3_A
220628_Smp_MU3_B,B,MU3,220623_Smp_MU3_B
220628_Smp_MU3_C,C,MU3,220623_Smp_MU3_C
220628_Smp_MU4_A,A,MU4,220623_Smp_MU4_A
220628_Smp_MU4_B,B,MU4,220623_Smp_MU4_B
220628_Smp_MU4_C,C,MU4,220623_Smp_MU4_C
220628_Smp_MU5_A,A,MU5,220623_Smp_MU5_A
220628_Smp_MU5_B,B,MU5,220623_Smp_MU5_B
220628_Smp_MU5_C,C,MU5,220623_Smp_MU5_C
220628_Smp_MU6_A,A,MU6,220623_Smp_MU6_A
220628_Smp_MU6_B,B,MU6,220623_Smp_MU6_B
220628_Smp_MU6_C,C,MU6,220623_Smp_MU6_C
220628_Smp_MU7_A,A,MU7,220623_Smp_MU7_A
220628_Smp_MU7_B,B,MU7,220623_Smp_MU7_B
220628_Smp_MU7_C,C,MU7,220623_Smp_MU7_C
220628_Smp_MU8_A,A,MU8,220623_Smp_MU8_A
220628_Smp_MU8_B,B,MU8,220623_Smp_MU8_B
220628_Smp_MU8_C,C,MU8,220623_Smp_MU8_C
220628_Smp_MU9_A,A,MU9,220623_Smp_MU9_A
220628_Smp_MU9_B,B,MU9,220623_Smp_MU9_B
220628_Smp_MU9_C,C,MU9,220623_Smp_MU9_C
220628_Smp_MU10_A,A,MU10,220623_Smp_MU10_A
220628_Smp_MU10_B,B,MU10,220623_Smp_MU10_B
220628_Smp_MU10_C,C,MU10,220623_Smp_MU10_C
220628_Smp_MU11_A,A,MU11,220623_Smp_MU11_A
220628_Smp_MU11_B,B,MU11,220623_Smp_MU11_B
220628_Smp_MU11_C,C,MU11,220623_Smp_MU11_C
220628_Smp_MU14_A,A,MU14,220623_Smp_MU14_A
220628_Smp_MU14_B,B,MU14,220623_Smp_MU14_B
220628_Smp_MU14_C,C,MU14,220623_Smp_MU14_C
220628_Smp_MU15_A,A,MU15,220623_Smp_MU15_A
220628_Smp_MU15_B,B,MU15,220623_Smp_MU15_B
220628_Smp_MU15_C,C,MU15,220623_Smp_MU15_C
220628_Smp_MU16_A,A,MU16,220623_Smp_MU16_A
220628_Smp_MU16_B,B,MU16,220623_Smp_MU16_B
220628_Smp_MU16_C,C,MU16,220623_Smp_MU16_C
220628_Smp_MU17_A,A,MU17,220623_Smp_MU17_A
220628_Smp_MU17_B,B,MU17,220623_Smp_MU17_B
220628_Smp_MU17_C,C,MU17,NA
220628_Smp_MU18_A,A,MU18,NA
220628_Smp_MU18_B,B,MU18,NA
220628_Smp_MU18_C,C,MU18,NA
220628_Smp_MU19_A,A,MU19,NA
220628_Smp_MU19_B,B,MU19,NA
220628_Smp_MU19_C,C,MU19,NA
220628_Smp_MU20_A,A,MU20,NA
220628_Smp_MU20_B,B,MU20,NA
220628_Smp_MU20_C,C,MU20,NA
220628_Smp_MU21_A,A,MU21,NA
220628_Smp_MU21_B,B,MU21,NA
220628_Smp_MU21_C,C,MU21,NA
220628_Smp_MU22_A,A,MU22,NA
220628_Smp_MU22_B,B,MU22,NA
220628_Smp_MU22_C,C,MU22,NA
220628_Smp_MU23_A,A,MU23,NA
220628_Smp_MU23_B,B,MU23,NA
220628_Smp_MU23_C,C,MU23,NA
220628_Smp_MU24_A,A,MU24,NA
220628_Smp_MU24_B,B,MU24,NA
220628_Smp_MU24_C,C,MU24,NA
190715_Smp_KM1906U12_A,A,MU12,220623_Smp_MU12_A
190715_Smp_KM1906U12_B,B,MU12,220623_Smp_MU12_B
190715_Smp_KM1906U12_C,C,MU12,220623_Smp_MU12_C
190715_Smp_KM1906U13_A,A,MU13,220623_Smp_MU13_A
190715_Smp_KM1906U13_B,B,MU13,220623_Smp_MU13_B
190715_Smp_KM1906U13_C,C,MU13,220623_Smp_MU13_C
220902_Smp_TN397_S1_U_A,A,S1,220602_Smp_TN397_S1_U_A
220902_Smp_TN397_S1_U_B,B,S1,220602_Smp_TN397_S1_U_B
220902_Smp_TN397_S1_U_C,C,S1,220602_Smp_TN397_S1_U_C
220902_Smp_TN397_S2_U_A,A,S2,220602_Smp_TN397_S2_U_A
220902_Smp_TN397_S2_U_B,B,S2,220602_Smp_TN397_S2_U_B
220902_Smp_TN397_S2_U_C,C,S2,220602_Smp_TN397_S2_U_C
220902_Smp_TN397_S3_U_A,A,S3,220602_Smp_TN397_S3_U_A
220902_Smp_TN397_S3_U_B,B,S3,220602_Smp_TN397_S3_U_B
220902_Smp_TN397_S3_U_C,C,S3,220602_Smp_TN397_S3_U_C
220902_Smp_TN397_S4_2400_U_A,A,S4_2400,220602_Smp_TN397_S4_2400_U_A
220902_Smp_TN397_S4_2400_U_B,B,S4_2400,220602_Smp_TN397_S4_2400_U_B
220902_Smp_TN397_S4_2400_U_C,C,S4_2400,220602_Smp_TN397_S4_2400_U_C
220902_Smp_TN397_S4_U_600_A,A,S4_600,220602_Smp_TN397_S4_U_600_A
220902_Smp_TN397_S4_U_600_B,B,S4_600,220602_Smp_TN397_S4_U_600_B
220902_Smp_TN397_S4_U_600_C,C,S4_600,220602_Smp_TN397_S4_U_600_C
220902_Smp_TN397_S4_U_1800_A,A,S4_1800,220602_Smp_TN397_S4_U_1800_A
220902_Smp_TN397_S4_U_1800_B,B,S4_1800,220602_Smp_TN397_S4_U_1800_B
220902_Smp_TN397_S4_U_1800_C,C,S4_1800,220602_Smp_TN397_S4_U_1800_C
220902_Smp_TN397_S6_U_A,A,S6,220602_Smp_TN397_S6_U_A
220902_Smp_TN397_S6_U_B,B,S6,220602_Smp_TN397_S6_U_B
220902_Smp_TN397_S6_U_C,C,S6,220602_Smp_TN397_S6_U_C
220902_Smp_TN397_S7_600_U_A,A,S7_600,220602_Smp_TN397_S7_600_U_A
220902_Smp_TN397_S7_600_U_B,B,S7_600,220602_Smp_TN397_S7_600_U_B
220902_Smp_TN397_S7_600_U_C,C,S7_600,220602_Smp_TN397_S7_600_U_C
220902_Smp_TN397_S7_1800_U_A,A,S7_1800,220602_Smp_TN397_S7_1800_U_A
220902_Smp_TN397_S7_1800_U_B,B,S7_1800,220602_Smp_TN397_S7_1800_U_B
220902_Smp_TN397_S7_1800_U_C,C,S7_1800,220602_Smp_TN397_S7_1800_U_C
220902_Smp_TN397_S8_U_A,A,S8,220602_Smp_TN397_S8_U_A
220902_Smp_TN397_S8_U_B,B,S8,220602_Smp_TN397_S8_U_B
220902_Smp_TN397_S8_U_C,C,S8,220602_Smp_TN397_S8_U_C
220902_Smp_TN397_S9_600_U_A,A,S9_600,220602_Smp_TN397_S9_600_U_A
220902_Smp_TN397_S9_600_U_B,B,S9_600,220602_Smp_TN397_S9_600_U_B
220902_Smp_TN397_S9_600_U_C,C,S9_600,220602_Smp_TN397_S9_600_U_C
220902_Smp_TN397_S9_1800_U_A,A,S9_1800,220602_Smp_TN397_S9_1800_U_A
220902_Smp_TN397_S9_1800_U_B,B,S9_1800,220602_Smp_TN397_S9_1800_U_B
220902_Smp_TN397_S9_1800_U_C,C,S9_1800,220602_Smp_TN397_S9_1800_U_C
220902_Smp_TN397_S9_BB_A,A,S9_BB,NA
220902_Smp_TN397_S9_BB_B,B,S9_BB,NA
220902_Smp_TN397_S10_U_A,A,S10,220602_Smp_TN397_S10_U_A
220902_Smp_TN397_S10_U_B,B,S10,220602_Smp_TN397_S10_U_B
220902_Smp_TN397_S10_U_C,C,S10,220602_Smp_TN397_S10_U_C
220902_Smp_TN397_S11_600_U_A,A,S11_600,220602_Smp_TN397_S11_600_U_A
220902_Smp_TN397_S11_600_U_B,B,S11_600,220602_Smp_TN397_S11_600_U_B
220902_Smp_TN397_S11_1800_U_A,A,S11_1800,220602_Smp_TN397_S11_1800_U_A
220902_Smp_TN397_S11_1800_U_B,B,S11_1800,220602_Smp_TN397_S11_1800_U_B
220902_Smp_TN397_S11_1800_U_C,C,S11_1800,220602_Smp_TN397_S11_1800_U_C
220902_Smp_TN397_S12_600_U_A,A,S12_600,220602_Smp_TN397_S12_600_U_A
220902_Smp_TN397_S12_600_U_B,B,S12_600,220602_Smp_TN397_S12_600_U_B
220902_Smp_TN397_S12_600_U_C,C,S12_600,220602_Smp_TN397_S12_600_U_C
220902_Smp_TN397_S12_800_U_A,A,S12_800,220602_Smp_TN397_S12_800_U_A
220902_Smp_TN397_S12_800_U_B,B,S12_800,220602_Smp_TN397_S12_800_U_B
220902_Smp_TN397_S12_800_U_C,C,S12_800,220602_Smp_TN397_S12_800_U_C
220902_Smp_TN397_S12_1800_U_A,A,S12_1800,220602_Smp_TN397_S12_1800_U_A
220902_Smp_TN397_S12_1800_U_B,B,S12_1800,220602_Smp_TN397_S12_1800_U_B
220902_Smp_TN397_S12_1800_U_C,C,S12_1800,220602_Smp_TN397_S12_1800_U_C
220902_Smp_TN397_S13_1800_U_A,A,S13_1800,220602_Smp_TN397_S13_1800_U_A
220902_Smp_TN397_S13_1800_U_B,B,S13_1800,220602_Smp_TN397_S13_1800_U_B
220902_Smp_TN397_S13_1800_U_C,C,S13_1800,220602_Smp_TN397_S13_1800_U_C
220902_Smp_TN397_S14_U_A,A,S14,220602_Smp_TN397_S14_U_A
220902_Smp_TN397_S14_U_B,B,S14,220602_Smp_TN397_S14_U_B
220902_Smp_TN397_S14_U_C,C,S14,220602_Smp_TN397_S14_U_C
220902_Smp_TN397_S15_U_A,A,S15,220602_Smp_TN397_S15_U_A
220902_Smp_TN397_S15_U_B,B,S15,220602_Smp_TN397_S15_U_B
220902_Smp_TN397_S15_U_C,C,S15,220602_Smp_TN397_S15_U_C
220902_Smp_TN397_S16_U_A,A,S16,220602_Smp_TN397_S16_U_A
220902_Smp_TN397_S16_U_B,B,S16,220602_Smp_TN397_S16_U_B
220902_Smp_TN397_S16_U_C,C,S16,220602_Smp_TN397_S16_U_C
220902_Smp_TN397_S17_U_A,A,S17,220602_Smp_TN397_S17_U_A
220902_Smp_TN397_S17_U_B,B,S17,220602_Smp_TN397_S17_U_B
220902_Smp_TN397_S17_U_C,C,S17,220602_Smp_TN397_S17_U_C
220902_Smp_TN397_S18_U_A,A,S18,NA
220902_Smp_TN397_S18_U_B,B,S18,NA
220902_Smp_TN397_S18_U_C,C,S18,NA
220902_Smp_TN397_U1_A,A,U1,220602_Smp_TN397_U1_A
220902_Smp_TN397_U1_B,B,U1,220602_Smp_TN397_U1_B
220902_Smp_TN397_U1_C,C,U1,220602_Smp_TN397_U1_C
