Cruise,Rep,Compound,detected
KM1906,220628_Smp_MU1_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU1_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU1_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU2_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU2_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU2_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU3_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU3_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU3_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU4_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU4_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU4_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU5_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU5_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU5_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU6_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU6_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU6_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU7_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU7_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU7_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU8_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU8_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU8_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU9_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU9_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU9_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU10_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU10_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU10_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU11_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU11_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU11_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU14_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU14_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU14_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU15_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU15_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU15_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU16_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU16_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU16_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU17_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU17_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU17_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU18_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU18_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU18_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU19_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU19_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU19_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU20_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU20_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU20_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU21_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU21_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU21_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU22_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU22_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU22_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU23_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU23_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU23_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU24_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU24_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU24_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220628_Smp_MU1_A,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU1_B,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU1_C,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU2_A,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU2_B,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU2_C,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU3_A,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU3_B,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU3_C,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU4_A,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU4_B,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU4_C,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU5_A,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU5_B,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU5_C,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU6_A,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU6_B,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU6_C,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU7_A,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU7_B,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU7_C,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU8_A,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU8_B,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU8_C,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU9_A,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU9_B,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU9_C,2-O-alpha-D-Glucosylglycerol,Yes
