Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.ratio.flag,smp.remove
220628_Poo_TruePooG3_Full1,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,619514496,NA,NA,NA
220628_Poo_TruePooG3_Full2,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,603665280,NA,NA,NA
220628_Poo_TruePooG3_Full3,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,570434816,NA,NA,NA
220628_Poo_TruePooG3_Half1,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,349512512,NA,NA,NA
220628_Poo_TruePooG3_Half2,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,322505952,NA,NA,NA
220628_Poo_TruePooG3_Half3,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,302802592,NA,NA,NA
220628_Smp_MBlk1_A,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,8137994,NA,NA,NA
220628_Smp_MBlk1_B,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,802249,NA,NA,NA
220628_Smp_MMQBlk1_A,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,2896735,NA,NA,NA
220628_Smp_MMQBlk1_B,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,173092,NA,NA,NA
220628_Smp_MU1_A,MU1,A,KM1906,(3-Carboxypropyl)trimethylammonium,229827376,NA,NA,NA
220628_Smp_MU1_B,MU1,B,KM1906,(3-Carboxypropyl)trimethylammonium,275056512,NA,NA,NA
220628_Smp_MU1_C,MU1,C,KM1906,(3-Carboxypropyl)trimethylammonium,298114336,NA,NA,NA
220628_Smp_MU2_A,MU2,A,KM1906,(3-Carboxypropyl)trimethylammonium,138592256,NA,NA,NA
220628_Smp_MU2_B,MU2,B,KM1906,(3-Carboxypropyl)trimethylammonium,239386240,NA,NA,NA
220628_Smp_MU2_C,MU2,C,KM1906,(3-Carboxypropyl)trimethylammonium,235686016,NA,NA,NA
