Name,Cruise,RFmax,RFmin,RF,RFratio
(3-Carboxypropyl)trimethylammonium,G3_DepthProfiles,1100475008,921120320,1010797664,0.8377262413568963
(3-Carboxypropyl)trimethylammonium,G4_DepthProfiles,652781568,516147072,584464320,0.8084685890397508
(3-Carboxypropyl)trimethylammonium,KM1906,1054154368,885903680,970029024,0.8673444179792069
(3-Carboxypropyl)trimethylammonium,PERIFIX,1267596928,852942784,1060269856,0.8061479730700646
(3-Carboxypropyl)trimethylammonium,RC078,326694208,233577056,280135632,0.9724195310449442
(3-Carboxypropyl)trimethylammonium,TN397,1247555328,742841152,995198240,0.8837340097744388
"(R)-2,3-Dihydroxypropane-1-sulfonate",G3_DepthProfiles,112384672,110879696,111632184,0.30908327023119936
"(R)-2,3-Dihydroxypropane-1-sulfonate",G4_DepthProfiles,308717760,106543344,207630552,0.3557353027636837
"(R)-2,3-Dihydroxypropane-1-sulfonate",KM1906,207799632,161499184,184649408,0.31625633448802637
"(R)-2,3-Dihydroxypropane-1-sulfonate",PERIFIX,689165312,420713664,554939488,0.3280096660498357
"(R)-2,3-Dihydroxypropane-1-sulfonate",RC078,77371248,51299544,64335396,1.0535711484707841
"(R)-2,3-Dihydroxypropane-1-sulfonate",TN397,230966528,199046096,215006312,0.6444887483144335
2-O-alpha-D-Glucosylglycerol,G3_DepthProfiles,3941929.25,3560972.5,3751450.875,1.0689199263668996
2-O-alpha-D-Glucosylglycerol,G4_DepthProfiles,2127963,1150664.75,1639313.875,1.7063246261434335
2-O-alpha-D-Glucosylglycerol,KM1906,10862806,10425578,10644192,0.3149941978201244
2-O-alpha-D-Glucosylglycerol,PERIFIX,7026715.5,4597867.5,5812291.5,0.3994957813453105
2-O-alpha-D-Glucosylglycerol,RC078,3049580.25,1371614.25,2210597.25,0.9014495163456017
2-O-alpha-D-Glucosylglycerol,TN397,5585101.5,3807664,4696382.75,1.0175130500522402
5-Hydroxyectoine,G3_DepthProfiles,995718240,795102800,895410520,0.8000969642497605
5-Hydroxyectoine,G4_DepthProfiles,1993246880,1365993600,1679620240,0.8620486720913907
5-Hydroxyectoine,KM1906,6790956160,6190604160,6490780160,0.8616050181774147
5-Hydroxyectoine,PERIFIX,4039082560,3397551680,3718317120,0.8599152903057676
5-Hydroxyectoine,RC078,797105360,469660320,633382840,1.261479956606859
5-Hydroxyectoine,TN397,2254318560,1789082240,2021700400,0.9354797618583277
Arsenobetaine,G3_DepthProfiles,1249611264,1091707904,1170659584,1.0239484402675698
Arsenobetaine,G4_DepthProfiles,2216204800,1883599488,2049902144,0.8145719644963874
Arsenobetaine,KM1906,1245617536,1122654976,1184136256,0.9614456605196625
Arsenobetaine,PERIFIX,1496300672,1090699136,1293499904,0.932379731157101
Arsenobetaine,RC078,413883328,311576768,362730048,1.0322985403242793
Arsenobetaine,TN397,1796286080,1347187840,1571736960,0.9275191231772142
Betonicine,G3_DepthProfiles,1734892928,1610421632,1672657280,0.9789659375251434
Betonicine,G4_DepthProfiles,1709406208,1578745472,1644075840,0.7821875231292101
Betonicine,KM1906,1723249792,1520278016,1621763904,0.9579956506301235
Betonicine,PERIFIX,1866675456,1394996992,1630836224,0.630367456295759
Betonicine,RC078,572305664,405131584,488718624,0.912490115209744
Betonicine,TN397,1888957952,1462562304,1675760128,0.7628624172657431
Carnitine,G3_DepthProfiles,1829956096,1573842176,1701899136,0.8035313577404619
Carnitine,G4_DepthProfiles,2019426048,2017449856,2018437952,0.7235697224227863
Carnitine,KM1906,2042217600,1636967680,1839592640,0.8295205538285573
Carnitine,PERIFIX,2295489024,1643246336,1969367680,0.7762394593782704
Carnitine,RC078,583806976,407233312,495520144,0.9813043875116074
Carnitine,TN397,2026438144,1262477696,1644457920,0.7806595316930004
Dimethylsulfonioacetate,G3_DepthProfiles,770521856,697824448,734173152,0.9241602003294684
Dimethylsulfonioacetate,G4_DepthProfiles,956929984,759862592,858396288,0.7882489645006849
Dimethylsulfonioacetate,KM1906,689747200,638134656,663940928,0.8978968669089413
Dimethylsulfonioacetate,PERIFIX,706733376,535409152,621071264,0.5391514408154818
Dimethylsulfonioacetate,RC078,223226624,161272336,192249480,0.8442693076282192
Dimethylsulfonioacetate,TN397,708028032,591867648,649947840,0.7155791440393627
Dimethylsulfoniopropionate,G3_DepthProfiles,881309056,824978176,853143616,1.0197895172058553
Dimethylsulfoniopropionate,G4_DepthProfiles,1286204032,934953856,1110578944,0.8128513905791913
Dimethylsulfoniopropionate,KM1906,1078629120,1000249920,1039439520,0.7204694975655148
Dimethylsulfoniopropionate,PERIFIX,1241064704,843198208,1042131456,0.7076423949161924
Dimethylsulfoniopropionate,RC078,293105472,190100176,241602824,0.8043399686915471
Dimethylsulfoniopropionate,TN397,883886656,700091840,791989248,0.5402923633842152
Ectoine,G3_DepthProfiles,2217601792,2023272832,2120437312,0.9672512622481868
Ectoine,G4_DepthProfiles,735401984,654917312,695159648,0.7545272872598408
Ectoine,KM1906,2610717440,2433670656,2522194048,0.7978341828371083
Ectoine,PERIFIX,2550885888,1995750528,2273318208,0.6141037749973164
Ectoine,RC078,659552768,430744608,545148688,0.5024043844062195
Ectoine,TN397,1982563968,1519105792,1750834880,0.5409729172251165
Glycine betaine,G3_DepthProfiles,1761429760,1623356800,1692393280,0.8019198949233699
Glycine betaine,G4_DepthProfiles,2132309120,1809883264,1971096192,0.9697391731443712
Glycine betaine,KM1906,1827494400,1549481856,1688488128,0.9440529225927874
Glycine betaine,PERIFIX,2327162624,1648743168,1987952896,0.822719997310541
Glycine betaine,RC078,590455360,466133056,528294208,0.9607300379831188
Glycine betaine,TN397,2267021568,1615036544,1941029056,0.8926501935646569
Gonyol,G3_DepthProfiles,93058296,77807032,85432664,1.02
