SampID,MF,Area,Batch
220111_Blk_MediaBlk_A,"Arsenobetaine, 13C2",957003328,Bacteria
220111_Blk_MediaBlk_AMS,"Arsenobetaine, 13C2",26106,Bacteria
220111_Blk_MediaBlk_AOA,"Arsenobetaine, 13C2",1005176064,Bacteria
220111_Blk_MediaBlk_B,"Arsenobetaine, 13C2",963564672,Bacteria
220111_Poo_TruePooBacteria_Full1,"Arsenobetaine, 13C2",900441088,Bacteria
220111_Poo_TruePooBacteria_Full2,"Arsenobetaine, 13C2",960286144,Bacteria
220111_Poo_TruePooBacteria_Full3,"Arsenobetaine, 13C2",932230912,Bacteria
220111_Poo_TruePooBacteria_Half1,"Arsenobetaine, 13C2",452687520,Bacteria
220111_Poo_TruePooBacteria_Half2,"Arsenobetaine, 13C2",456134816,Bacteria
220111_Poo_TruePooBacteria_Half3,"Arsenobetaine, 13C2",481935424,Bacteria
220111_Smp_DSS3_A,"Arsenobetaine, 13C2",968113536,Bacteria
220111_Smp_DSS3_B,"Arsenobetaine, 13C2",962104960,Bacteria
220111_Smp_DSS3_C,"Arsenobetaine, 13C2",909565568,Bacteria
220111_Smp_Och_A,"Arsenobetaine, 13C2",887013184,Bacteria
220111_Smp_Och_B,"Arsenobetaine, 13C2",842524352,Bacteria
220111_Smp_Och_C,"Arsenobetaine, 13C2",818760768,Bacteria
220111_Smp_SA7_A,"Arsenobetaine, 13C2",884179904,Bacteria
220111_Smp_SA7_B,"Arsenobetaine, 13C2",870990720,Bacteria
220111_Smp_SA7_C,"Arsenobetaine, 13C2",818558016,Bacteria
220111_Smp_SA11_A,"Arsenobetaine, 13C2",860930304,Bacteria
220111_Smp_SA11_B,"Arsenobetaine, 13C2",954985792,Bacteria
220111_Smp_SA11_C,"Arsenobetaine, 13C2",971899264,Bacteria
220111_Smp_SA16_A,"Arsenobetaine, 13C2",933803136,Bacteria
220111_Smp_SA16_B,"Arsenobetaine, 13C2",860301824,Bacteria
220111_Smp_SA16_C,"Arsenobetaine, 13C2",905569280,Bacteria
220111_Smp_SA36_A,"Arsenobetaine, 13C2",882740032,Bacteria
220111_Smp_SA36_B,"Arsenobetaine, 13C2",839217216,Bacteria
220111_Smp_SA36_C,"Arsenobetaine, 13C2",985566400,Bacteria
220111_Smp_SA42_A,"Arsenobetaine, 13C2",860209408,Bacteria
220111_Smp_SA44_B,"Arsenobetaine, 13C2",925166016,Bacteria
220111_Smp_SA44_C,"Arsenobetaine, 13C2",886520448,Bacteria
220111_Smp_SA48_A,"Arsenobetaine, 13C2",844343744,Bacteria
220111_Smp_SA48_B,"Arsenobetaine, 13C2",865127872,Bacteria
220111_Smp_SA48_C,"Arsenobetaine, 13C2",898009344,Bacteria
220111_Smp_SA53_A,"Arsenobetaine, 13C2",933933248,Bacteria
220111_Smp_SA53_B,"Arsenobetaine, 13C2",1042952448,Bacteria
220111_Smp_SA53_C,"Arsenobetaine, 13C2",984819904,Bacteria
220111_Smp_SA55_A,"Arsenobetaine, 13C2",959905216,Bacteria
220111_Smp_SA55_B,"Arsenobetaine, 13C2",903967552,Bacteria
220111_Smp_SA55_C,"Arsenobetaine, 13C2",931375296,Bacteria
220111_Smp_SA59_A,"Arsenobetaine, 13C2",979365632,Bacteria
220111_Smp_SA59_B,"Arsenobetaine, 13C2",845774656,Bacteria
220111_Smp_SA59_C,"Arsenobetaine, 13C2",853557248,Bacteria
220111_Smp_SA60_A,"Arsenobetaine, 13C2",831300352,Bacteria
220111_Smp_SA60_B,"Arsenobetaine, 13C2",1033717184,Bacteria
220111_Smp_SCM1_Exp1,"Arsenobetaine, 13C2",739875648,Bacteria
220111_Smp_SCM1_Exp2,"Arsenobetaine, 13C2",787213184,Bacteria
220111_Smp_SCM1_Exp3,"Arsenobetaine, 13C2",761752320,Bacteria
220111_Smp_SCM1_St1,"Arsenobetaine, 13C2",743100928,Bacteria
220111_Smp_SCM1_St2,"Arsenobetaine, 13C2",822890432,Bacteria
220111_Smp_SCM1_St3,"Arsenobetaine, 13C2",810588480,Bacteria
220111_Smp_SCM1_St4,"Arsenobetaine, 13C2",743536128,Bacteria
220111_Blk_MediaBlk_A,"Cytosine, 13C2, 15N3",155671136,Bacteria
220111_Blk_MediaBlk_AMS,"Cytosine, 13C2, 15N3",153423696,Bacteria
220111_Blk_MediaBlk_AOA,"Cytosine, 13C2, 15N3",154941168,Bacteria
220111_Blk_MediaBlk_B,"Cytosine, 13C2, 15N3",154784784,Bacteria
220111_Poo_TruePooBacteria_Full1,"Cytosine, 13C2, 15N3",155912432,Bacteria
220111_Poo_TruePooBacteria_Full2,"Cytosine, 13C2, 15N3",154385744,Bacteria
220111_Poo_TruePooBacteria_Full3,"Cytosine, 13C2, 15N3",163292640,Bacteria
