Rep,Batch,Injec_vol
220111_Std_4uMStdsMix1InH2O_1,Bacteria,2
220111_Std_4uMStdsMix1InH2O_2,Bacteria,2
220111_Std_4uMStdsMix1InMatrix_1,Bacteria,2
220111_Std_4uMStdsMix1InMatrix_2,Bacteria,2
220111_Std_4uMStdsMix2InH2O_1,Bacteria,2
220111_Std_4uMStdsMix2InH2O_2,Bacteria,2
220111_Std_4uMStdsMix2InMatrix_1,Bacteria,2
220111_Std_4uMStdsMix2InMatrix_2,Bacteria,2
220111_Std_H2OinMatrix_1,Bacteria,2
220111_Std_H2OinMatrix_2,Bacteria,2
220111_Blk_MediaBlk_A,Bacteria,2
220111_Blk_MediaBlk_AMS,Bacteria,2
220111_Blk_MediaBlk_AOA,Bacteria,2
220111_Blk_MediaBlk_B,Bacteria,2
220111_Poo_TruePooBacteria_Full1,Bacteria,2
220111_Poo_TruePooBacteria_Full2,Bacteria,2
220111_Poo_TruePooBacteria_Full3,Bacteria,2
220111_Poo_TruePooBacteria_Half1,Bacteria,1
220111_Poo_TruePooBacteria_Half2,Bacteria,1
220111_Poo_TruePooBacteria_Half3,Bacteria,1
220111_Smp_DSS3_A,Bacteria,2
220111_Smp_DSS3_B,Bacteria,2
220111_Smp_DSS3_C,Bacteria,2
220111_Smp_Och_A,Bacteria,2
220111_Smp_Och_B,Bacteria,2
220111_Smp_Och_C,Bacteria,2
220111_Smp_SA7_A,Bacteria,2
220111_Smp_SA7_B,Bacteria,2
220111_Smp_SA7_C,Bacteria,2
220111_Smp_SA11_A,Bacteria,2
220111_Smp_SA11_B,Bacteria,2
220111_Smp_SA11_C,Bacteria,2
220111_Smp_SA16_A,Bacteria,2
220111_Smp_SA16_B,Bacteria,2
220111_Smp_SA16_C,Bacteria,2
220111_Smp_SA36_A,Bacteria,2
220111_Smp_SA36_B,Bacteria,2
220111_Smp_SA36_C,Bacteria,2
220111_Smp_SA42_A,Bacteria,2
220111_Smp_SA44_B,Bacteria,2
220111_Smp_SA44_C,Bacteria,2
220111_Smp_SA48_A,Bacteria,2
220111_Smp_SA48_B,Bacteria,2
220111_Smp_SA48_C,Bacteria,2
220111_Smp_SA53_A,Bacteria,2
220111_Smp_SA53_B,Bacteria,2
220111_Smp_SA53_C,Bacteria,2
220111_Smp_SA55_A,Bacteria,2
220111_Smp_SA55_B,Bacteria,2
220111_Smp_SA55_C,Bacteria,2
220111_Smp_SA59_A,Bacteria,2
220111_Smp_SA59_B,Bacteria,2
220111_Smp_SA59_C,Bacteria,2
220111_Smp_SA60_A,Bacteria,2
220111_Smp_SA60_B,Bacteria,2
220111_Smp_SAR11_AB,Bacteria,2
220111_Smp_SAR11_C,Bacteria,2
220111_Smp_SAR11_DE,Bacteria,2
220111_Smp_SAR11_F,Bacteria,2
220111_Smp_SAR11_GH,Bacteria,2
220111_Smp_SAR11_I,Bacteria,2
220111_Smp_SCM1_Exp1,Bacteria,2
220111_Smp_SCM1_Exp2,Bacteria,2
220111_Smp_SCM1_Exp3,Bacteria,2
220111_Smp_SCM1_St1,Bacteria,2
220111_Smp_SCM1_St2,Bacteria,2
220111_Smp_SCM1_St3,Bacteria,2
220111_Smp_SCM1_St4,Bacteria,2
220111_Smp_SA60_C,Bacteria,2
211221_Std_4uMStdsMix1InH2O_1,Cyano,2
211221_Std_4uMStdsMix1InH2O_2,Cyano,2
211221_Std_4uMStdsMix1InMatrix_1,Cyano,2
211221_Std_4uMStdsMix1InMatrix_2,Cyano,2
211221_Std_4uMStdsMix2InH2O_1,Cyano,2
211221_Std_4uMStdsMix2InH2O_2,Cyano,2
211221_Std_4uMStdsMix2InMatrix_1,Cyano,2
211221_Std_4uMStdsMix2InMatrix_2,Cyano,2
211221_Std_H2OinMatrix_1,Cyano,2
211221_Std_H2OinMatrix_2,Cyano,2
211221_Poo_TruePooCyanos_Full1,Cyano,2
211221_Poo_TruePooCyanos_Full2,Cyano,2
211221_Poo_TruePooCyanos_Full3,Cyano,2
211221_Poo_TruePooCyanos_Half1,Cyano,1
211221_Poo_TruePooCyanos_Half2,Cyano,1
211221_Poo_TruePooCyanos_Half3,Cyano,1
211221_Blk_MediaBlk_1314P,Cyano,2
211221_Blk_MediaBlk_A,Cyano,2
211221_Blk_MediaBlk_As9601,Cyano,2
211221_Blk_MediaBlk_C,Cyano,2
211221_Blk_MediaBlk_Nat,Cyano,2
211221_Smp_1314P_A,Cyano,2
211221_Smp_1314P_B,Cyano,2
211221_Smp_1314P_C,Cyano,2
211221_Smp_7803_B,Cyano,2
211221_Smp_7803_F,Cyano,2
211221_Smp_8102_A,Cyano,2
211221_Smp_8102_F,Cyano,2
211221_Smp_8501_B,Cyano,2
211221_Smp_8501_C,Cyano,2
211221_Smp_8501_D,Cyano,2
211221_Smp_As9601_A,Cyano,2
211221_Smp_As9601_B,Cyano,2
211221_Smp_As9601_C,Cyano,2
211221_Smp_MED4_D,Cyano,2
211221_Smp_MED4_E,Cyano,2
211221_Smp_MED4_F,Cyano,2
211221_Smp_Nat_A,Cyano,2
211221_Smp_Nat_B,Cyano,2
211221_Smp_Nat_C,Cyano,2
211215_Std_4uMStdsMix1InH2O_1,Diatom,2
211215_Std_4uMStdsMix1InH2O_2,Diatom,2
211215_Std_4uMStdsMix1InMatrix_1,Diatom,2
211215_Std_4uMStdsMix1InMatrix_2,Diatom,2
211215_Std_4uMStdsMix2InH2O_1,Diatom,2
211215_Std_4uMStdsMix2InH2O_2,Diatom,2
211215_Std_4uMStdsMix2InMatrix_1,Diatom,2
211215_Std_4uMStdsMix2InMatrix_2,Diatom,2
211215_Std_H2OinMatrix_1,Diatom,2
211215_Std_H2OinMatrix_2,Diatom,2
211215_Poo_TruePooDiatoms_Full1,Diatom,2
211215_Poo_TruePooDiatoms_Full2,Diatom,2
211215_Poo_TruePooDiatoms_Full3,Diatom,2
211215_Poo_TruePooDiatoms_Half1,Diatom,1
211215_Poo_TruePooDiatoms_Half2,Diatom,1
211215_Poo_TruePooDiatoms_Half3,Diatom,1
211215_Blk_MediaBlk_A,Diatom,2
211215_Blk_MediaBlk_B,Diatom,2
211215_Blk_MediaBlk_Fc,Diatom,2
211215_Blk_MediaBlk_Pc55x,Diatom,2
211215_Blk_MediaBlk_Z,Diatom,2
211215_Smp_Cy_A,Diatom,2
211215_Smp_Cy_B,Diatom,2
211215_Smp_Cy_C,Diatom,2
211215_Smp_Fc_A,Diatom,2
211215_Smp_Fc_B,Diatom,2
211215_Smp_Fc_C,Diatom,2
211215_Smp_Np_A,Diatom,2
211215_Smp_Np_C,Diatom,2
211215_Smp_Np_F,Diatom,2
211215_Smp_Pc55x_A,Diatom,2
211215_Smp_Pc55x_B,Diatom,2
211215_Smp_Pc55x_C,Diatom,2
211215_Smp_Pt_C,Diatom,2
211215_Smp_Pt_F,Diatom,2
211215_Smp_To_A,Diatom,2
211215_Smp_To_B,Diatom,2
211215_Smp_To_C,Diatom,2
211215_Smp_Tp_A,Diatom,2
211215_Smp_Tp_E,Diatom,2
211215_Smp_Tp_F,Diatom,2
211218_Std_4uMStdsMix1InH2O_1,Dino_Green,2
211218_Std_4uMStdsMix1InMatrix_1,Dino_Green,2
211218_Std_4uMStdsMix1InMatrix_2,Dino_Green,2
211218_Std_4uMStdsMix2InH2O_1,Dino_Green,2
211218_Std_4uMStdsMix2InMatrix_1,Dino_Green,2
211218_Std_4uMStdsMix2InMatrix_2,Dino_Green,2
211218_Std_H2OinMatrix_1,Dino_Green,2
211218_Std_H2OinMatrix_2,Dino_Green,2
211218_Poo_TruePooDinosGreens_Full1,Dino_Green,2
211218_Poo_TruePooDinosGreens_Full2,Dino_Green,2
211218_Poo_TruePooDinosGreens_Full3,Dino_Green,2
211218_Poo_TruePooDinosGreens_Half1,Dino_Green,1
211218_Poo_TruePooDinosGreens_Half2,Dino_Green,1
211218_Poo_TruePooDinosGreens_Half3,Dino_Green,1
211218_Blk_MediaBlk_21,Dino_Green,2
211218_Blk_MediaBlk_49,Dino_Green,2
211218_Blk_MediaBlk_71,Dino_Green,2
211218_Blk_MediaBlk_3430,Dino_Green,2
211218_Blk_MediaBlk_N,Dino_Green,2
211218_Blk_MediaBlk_O,Dino_Green,2
211218_Smp_449_A,Dino_Green,2
211218_Smp_449_B,Dino_Green,2
211218_Smp_449_C,Dino_Green,2
211218_Smp_1314_A,Dino_Green,2
211218_Smp_1314_B,Dino_Green,2
211218_Smp_1314_C,Dino_Green,2
211218_Smp_1545_A,Dino_Green,2
211218_Smp_1545_B,Dino_Green,2
211218_Smp_1545_C,Dino_Green,2
211218_Smp_1771_A,Dino_Green,2
211218_Smp_1771_B,Dino_Green,2
211218_Smp_1771_C,Dino_Green,2
211218_Smp_2021_A,Dino_Green,2
211218_Smp_2021_B,Dino_Green,2
211218_Smp_2021_C,Dino_Green,2
211218_Smp_3430_A,Dino_Green,2
211218_Smp_3430_B,Dino_Green,2
211218_Smp_3430_C,Dino_Green,2
220104_Std_4uMStdsMix1InH2O_1,Haptophyte,2
220104_Std_4uMStdsMix1InH2O_2,Haptophyte,2
220104_Std_4uMStdsMix1InMatrix_1,Haptophyte,2
220104_Std_4uMStdsMix1InMatrix_2,Haptophyte,2
220104_Std_4uMStdsMix2InH2O_1,Haptophyte,2
220104_Std_4uMStdsMix2InH2O_2,Haptophyte,2
220104_Std_4uMStdsMix2InMatrix_1,Haptophyte,2
220104_Std_4uMStdsMix2InMatrix_2,Haptophyte,2
220104_Std_H2OinMatrix_1,Haptophyte,2
220104_Std_H2OinMatrix_2,Haptophyte,2
220104_Blk_MediaBlk_C,Haptophyte,2
220104_Blk_MediaBlk_H,Haptophyte,2
220104_Blk_MediaBlk_LInoSi,Haptophyte,2
220104_Blk_MediaBlk_RAC5,Haptophyte,2
220104_Poo_TruePooHaptophytes_Full1,Haptophyte,2
220104_Poo_TruePooHaptophytes_Full2,Haptophyte,2
220104_Poo_TruePooHaptophytes_Full3,Haptophyte,2
220104_Poo_TruePooHaptophytes_Half1,Haptophyte,1
220104_Poo_TruePooHaptophytes_Half2,Haptophyte,1
220104_Poo_TruePooHaptophytes_Half3,Haptophyte,1
220104_Smp_116-1_A,Haptophyte,2
220104_Smp_116-1_B,Haptophyte,2
220104_Smp_116-1_C,Haptophyte,2
220104_Smp_371_A,Haptophyte,2
220104_Smp_371_B,Haptophyte,2
220104_Smp_371_C,Haptophyte,2
220104_Smp_2090_A,Haptophyte,2
220104_Smp_2090_B,Haptophyte,2
220104_Smp_2090_C,Haptophyte,2
220104_Smp_Ca_A,Haptophyte,2
220104_Smp_Ca_B,Haptophyte,2
220104_Smp_Ca_C,Haptophyte,2
220104_Smp_Cr_A,Haptophyte,2
220104_Smp_Cr_B,Haptophyte,2
220104_Smp_Cr_C,Haptophyte,2
220104_Smp_Cs_A,Haptophyte,2
220104_Smp_Cs_B,Haptophyte,2
220104_Smp_Cs_C,Haptophyte,2
220104_Smp_P3_A,Haptophyte,2
220104_Smp_P3_B,Haptophyte,2
220104_Smp_P3_C,Haptophyte,2
220104_Smp_P5-5_A,Haptophyte,2
220104_Smp_P5-5_B,Haptophyte,2
220104_Smp_P5-5_C,Haptophyte,2
