SampID,Vol_L,Depth_m,Lat,Lon
240801_Blk_TN397_S4_500m_Blk,2,500,19.6377,138.6154
240801_Blk_TN397_S4_200m_Blk,2,200,19.6377,138.6154
240801_Smp_TN397_S1_DCM_A,5,90,28.26177,124.24168
240801_Smp_TN397_S1_DCM_B,5,90,28.26177,124.24168
240801_Smp_TN397_S1_DCM_C,5,90,28.26177,124.24168
240801_Smp_TN397_S4_15m_A,6,15,19.6377,138.6154
240801_Smp_TN397_S4_15m_B,5,15,19.6377,138.6154
240801_Smp_TN397_S4_45m_A,5.75,45,19.6377,138.6154
240801_Smp_TN397_S4_45m_B,6,45,19.6377,138.6154
240801_Smp_TN397_S4_200m_A,8.5,200,19.6377,138.6154
240801_Smp_TN397_S4_200m_B,9,200,19.6377,138.6154
240801_Smp_TN397_S4_500m_A,18,500,19.6377,138.6154
240801_Smp_TN397_S4_1000m_A,18,1000,19.6377,138.6154
240801_Smp_TN397_S4_DCM_A,5.25,105,19.6377,138.6154
240801_Smp_TN397_S4_DCM_B,4.25,105,19.6377,138.6154
240801_Smp_TN397_S4_DCM+50_A,6,150,19.6377,138.6154
240801_Smp_TN397_S4_DCM+50_B,6,150,19.6377,138.6154
240801_Smp_TN397_S6_DCM_A,5,85,13.9478,140.0016
240801_Smp_TN397_S6_DCM_B,5,85,13.9478,140.0016
240801_Smp_TN397_S6_DCM_C,5,85,13.9478,140.0016
240801_Smp_TN397_S7_15m_A,6,15,10.6974,139.998
240801_Smp_TN397_S7_15m_B,6,15,10.6974,139.998
240801_Smp_TN397_S7_30m_A,6,30,10.6974,139.998
240801_Smp_TN397_S7_30m_B,6,30,10.6974,139.998
240801_Smp_TN397_S7_200m_A,9,200,10.6974,139.998
240801_Smp_TN397_S7_200m_B,8,200,10.6974,139.998
240801_Smp_TN397_S7_500m_B,17,500,10.6974,139.998
240801_Smp_TN397_S7_1000m_B,17.5,1000,10.6974,139.998
240801_Smp_TN397_S7_DCM_A,5.9,45,10.6974,139.998
240801_Smp_TN397_S7_DCM_B,6,45,10.6974,139.998
240801_Smp_TN397_S7_DCM+50_A,6,95,10.6974,139.998
240801_Smp_TN397_S7_DCM+50_B,6,95,10.6974,139.998
240801_Smp_TN397_S9_15m_A,5.5,15,4.7746,-139.9099
240801_Smp_TN397_S9_15m_B,5.5,15,4.7746,-139.9099
240801_Smp_TN397_S9_45m_A,6,45,4.7746,-139.9099
240801_Smp_TN397_S9_45m_B,6,45,4.7746,-139.9099
240801_Smp_TN397_S9_200m_A,9,200,4.7746,-139.9099
240801_Smp_TN397_S9_200m_B,9,200,4.7746,-139.9099
240801_Smp_TN397_S9_500m_A,19,500,4.7746,-139.9099
240801_Smp_TN397_S9_1000m_B,17,1000,4.7746,-139.9099
240801_Smp_TN397_S9_DCM_A,6,80,4.7746,-139.9099
240801_Smp_TN397_S9_DCM_B,6,80,4.7746,-139.9099
240801_Smp_TN397_S9_DCM+50_A,6,130,4.7746,-139.9099
240801_Smp_TN397_S9_DCM+50_B,6,130,4.7746,-139.9099
240801_Smp_TN397_S10_60m_A,4,60,1.1248,-140.0051
240801_Smp_TN397_S10_60m_B,4,60,1.1248,-140.0051
240801_Smp_TN397_S10_DCM_A,6,105,1.1248,-140.0051
240801_Smp_TN397_S10_DCM_B,6,105,1.1248,-140.0051
240801_Smp_TN397_S10_DCM_C,6,105,1.1248,-140.0051
240801_Smp_TN397_S11_15m_A,5,15,0.1459,-139.9081
240801_Smp_TN397_S11_15m_B,5,15,0.1459,-139.9081
240801_Smp_TN397_S11_45m_A,5,50,0.1459,-139.9081
240801_Smp_TN397_S11_45m_B,5,50,0.1459,-139.9081
240801_Smp_TN397_S11_200m_A,18,200,0.1459,-139.9081
240801_Smp_TN397_S11_500m_A,18,500,0.1459,-139.9081
240801_Smp_TN397_S11_1000m_A,18,1000,0.1459,-139.9081
240801_Smp_TN397_S11_DCM_A,5,70,0.1459,-139.9081
240801_Smp_TN397_S11_DCM_B,5,70,0.1459,-139.9081
240801_Smp_TN397_S11_DCM+50_A,5,120,0.1459,-139.9081
240801_Smp_TN397_S11_DCM+50_B,5,120,0.1459,-139.9081
240801_Smp_TN397_S12_15m_A,5,15,-2.489,-140.01
240801_Smp_TN397_S12_15m_B,5,15,-2.489,-140.01
240801_Smp_TN397_S12_DCM_A,5,95,-2.489,-140.01
240801_Smp_TN397_S12_DCM_B,5,95,-2.489,-140.01
240801_Smp_TN397_S12_DCM+50_A,5,145,-2.489,-140.01
240801_Smp_TN397_S12_DCM+50_B,5,145,-2.489,-140.01
240801_Smp_TN397_S13_15m_A,5,15,0.1251,-141.918
240801_Smp_TN397_S13_15m_B,5,15,0.1251,-141.918
240801_Smp_TN397_S13_DCM_A,5,45,0.1251,-141.918
240801_Smp_TN397_S13_DCM_B,5,45,0.1251,-141.918
