SampID,Cruise,Lat,Long,station,Date,Time
220623_Smp_MU12_A,KM1906,37,-158,,4/19/19,18:50
220623_Smp_MU12_B,KM1906,37,-158,,4/19/19,18:50
220623_Smp_MU12_C,KM1906,37,-158,,4/19/19,18:50
220623_Smp_MU13_A,KM1906,33,-158,,4/21/19,18:15
220623_Smp_MU13_A,KM1906,33,-158,,4/21/19,18:15
220623_Smp_MU13_A,KM1906,33,-158,,4/21/19,18:15
220602_KM1906_GBTK1_0nM_A,TN397,41.68,-158.05,,4/16/19,8:00
220602_KM1906_GBTK1_0nM_B,TN397,41.68,-158.05,,4/16/19,8:00
220602_KM1906_GBTK1_0nM_C,TN397,41.68,-158.05,,4/16/19,8:00
2202602_Smp_TN397_UKH1_0nm_A,TN397,17.116,-140.001,,26/11/21,12:45
2202602_Smp_TN397_UKH1_0nm_B,TN397,17.116,-140.001,,26/11/21,12:45
2202602_Smp_TN397_UKH1_0nm_C,TN397,17.116,-140.001,,26/11/21,12:45
2202602_Smp_TN397_UKH2_0nm_A,TN397,10.6996,-139.99,,28/11/21,13:10
2202602_Smp_TN397_UKH2_0nm_B,TN397,10.6996,-139.99,,28/11/21,13:10
2202602_Smp_TN397_UKH2_0nm_C,TN397,10.6996,-139.99,,28/11/21,13:10
2202602_Smp_TN397_UKH3_0nm_A,TN397,4.7687,-139.9881,,1/12/21,13:27
2202602_Smp_TN397_UKH3_0nm_B,TN397,4.7687,-139.9881,,1/12/21,13:27
2202602_Smp_TN397_UKH3_0nm_C,TN397,4.7687,-139.9881,,1/12/21,13:27
2202602_Smp_TN397_UKH4_0nm_A,TN397,-0.192,-140.001,,5/12/21,13:05
2202602_Smp_TN397_UKH4_0nm_B,TN397,-0.192,-140.001,,5/12/21,13:05
2202602_Smp_TN397_UKH4_0nm_C,TN397,-0.192,-140.001,,5/12/21,13:05
2202602_Smp_TN397_UKH5_0nm_A,TN397,6.9778,-147.0038,,10/12/21,13:20
2202602_Smp_TN397_UKH5_0nm_B,TN397,6.9778,-147.0038,,10/12/21,13:20
2202602_Smp_TN397_UKH5_0nm_C,TN397,6.9778,-147.0038,,10/12/21,13:20
2202602_Smp_TN397_UKT1_0nm_A,TN397,13.3966,-140.001,,27/11/21,12:35
2202602_Smp_TN397_UKT1_0nm_B,TN397,13.3966,-140.001,,27/11/21,12:35
2202602_Smp_TN397_UKT1_0nm_C,TN397,13.3966,-140.001,,27/11/21,12:35
2202602_Smp_TN397_UKT2_0nm_A,TN397,7.7345,-139.9997,,20/11/2021,13:01
2202602_Smp_TN397_UKT2_0nm_B,TN397,7.7345,-139.9997,,20/11/2021,13:01
2202602_Smp_TN397_UKT2_0nm_C,TN397,7.7345,-139.9997,,20/11/2021,13:01
2202602_Smp_TN397_UKT3_0nm_A,TN397,0.4599,-139.9989,,3/12/21,13:20
2202602_Smp_TN397_UKT3_0nm_B,TN397,0.4599,-139.9989,,3/12/21,13:20
2202602_Smp_TN397_UKT3_0nm_C,TN397,0.4599,-139.9989,,3/12/21,13:20
2202602_Smp_TN397_UKT4_0nm_A,TN397,-1.0313,-141.0829,,6/12/21,12:34
2202602_Smp_TN397_UKT4_0nm_B,TN397,-1.0313,-141.0829,,6/12/21,12:34
2202602_Smp_TN397_UKT4_0nm_C,TN397,-1.0313,-141.0829,,6/12/21,12:34
2202602_Smp_TN397_UKT5_0nm_A,TN397,9.5376,-148.9155,,11/12/21,12:47
2202602_Smp_TN397_UKT5_0nm_B,TN397,9.5376,-148.9155,,11/12/21,12:47
2202602_Smp_TN397_UKT5_0nm_C,TN397,9.5376,-148.9155,,11/12/21,12:47
240102_Smp_RC078_S7_C3_D6_A,RC078,47.8208,-122.4661,7,6/8/22,8:26
240102_Smp_RC078_S7_C3_D6_B,RC078,47.8208,-122.4661,7,6/8/22,8:26
240102_Smp_RC078_S7_C3_D6_C,RC078,47.8208,-122.4661,7,6/8/22,8:26
240102_Smp_RC078_UKH1_A,KinExp,48.2485,-122.9931,,6/4/22,14:11
240102_Smp_RC078_UKH1_B,KinExp,48.2485,-122.9931,,6/4/22,14:11
240102_Smp_RC078_UKH1_C,KinExp,48.2485,-122.9931,,6/4/22,14:11
240102_Smp_RC078_UKH2_A,KinExp,48.8224,-122.894,,6/7/22,8:17
240102_Smp_RC078_UKH2_B,KinExp,48.8224,-122.894,,6/7/22,8:17
240102_Smp_RC078_UKH2_C,KinExp,48.8224,-122.894,,6/7/22,8:17
240102_Smp_RC104_UCH1_A,KinExp,48.1517,-123.001,,9/3/23,13:55
240102_Smp_RC104_UCH1_B,KinExp,48.1517,-123.001,,9/3/23,13:55
240102_Smp_RC104_UCH1_C,KinExp,48.1517,-123.001,,9/3/23,13:55
240102_Smp_RC104_UKH1_A,KinExp,48.1538,-123.0172,,9/1/23,13:49
240102_Smp_RC104_UKH1_B,KinExp,48.1538,-123.0172,,9/1/23,13:49
240102_Smp_RC104_UKH1_C,KinExp,48.1538,-123.0172,,9/1/23,13:49
240415_Smp_S2_C4_D5_A,KinExp,48.2505,-122.9972,2,6/4/22,10:30
240415_Smp_S2_C4_D5_B,KinExp,48.2505,-122.9972,2,6/4/22,10:30
240415_Smp_S2_C4_D5_C,KinExp,48.2505,-122.9972,2,6/4/22,10:30
240415_Smp_S3_C2_D3_A,KinExp,48.49654,-123.1625,3,6/5/22,11:00
240415_Smp_S3_C2_D3_B,KinExp,48.49654,-123.1625,3,6/5/22,11:00
240415_Smp_S3_C2_D3_C,KinExp,48.49654,-123.1625,3,6/5/22,11:00
