Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
HILIC-Pos_Standards,221006_Std_4uMStdsMix1InH2O_1,(3-Carboxypropyl)trimethylammonium,9.82,934308224,15021221,50905016,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Std_4uMStdsMix1InH2O_2,(3-Carboxypropyl)trimethylammonium,9.78,1306776832,23197844,74579552,-3.3,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Std_4uMStdsMix1InMatrix_1,(3-Carboxypropyl)trimethylammonium,9.77,1323353472,14363714,76987376,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Std_4uMStdsMix1InMatrix_2,(3-Carboxypropyl)trimethylammonium,9.81,1714871936,23476412,118377928,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Std_4uMStdsMix2InH2O_1,(3-Carboxypropyl)trimethylammonium,9.37,642737984,7397508,24030724,-3.3,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Std_4uMStdsMix2InH2O_2,(3-Carboxypropyl)trimethylammonium,9.78,0,0,0,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Std_4uMStdsMix2InMatrix_1,(3-Carboxypropyl)trimethylammonium,9.8,405628832,18932390,25615388,-2.9,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Std_4uMStdsMix2InMatrix_2,(3-Carboxypropyl)trimethylammonium,9.76,1194739584,9423484,60588908,-4.2,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Std_H2OinMatrix_1,(3-Carboxypropyl)trimethylammonium,9.77,369298944,4174180,22327662,-3.3,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Std_H2OinMatrix_2,(3-Carboxypropyl)trimethylammonium,9.81,507796448,6965573,35473448,-3,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Poo_TruePooRC_Full1,(3-Carboxypropyl)trimethylammonium,9.84,625134528,10349281,37934148,-2.9,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Poo_TruePooRC_Full2,(3-Carboxypropyl)trimethylammonium,9.82,612392192,8401365,39144656,-3,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Poo_TruePooRC_Full3,(3-Carboxypropyl)trimethylammonium,9.81,666621440,7958615,47235308,-4.4,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Poo_TruePooRC_Full4,(3-Carboxypropyl)trimethylammonium,9.81,652134528,9841005,40998496,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Poo_TruePooRC_Half1,(3-Carboxypropyl)trimethylammonium,9.79,324789888,5264455,18645062,-3,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Poo_TruePooRC_Half2,(3-Carboxypropyl)trimethylammonium,9.81,333059872,4202697,19718020,-2.9,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Poo_TruePooRC_Half3,(3-Carboxypropyl)trimethylammonium,9.78,396154208,4530532,24412522,-3.3,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Poo_TruePooRC_Half4,(3-Carboxypropyl)trimethylammonium,9.79,421381504,5868988,27009254,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S1_C1_5m_A,(3-Carboxypropyl)trimethylammonium,9.84,836535872,8921931,51532284,-3.2,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S1_C1_5m_B,(3-Carboxypropyl)trimethylammonium,9.81,723856704,9852942,44692700,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S1_C1_5m_C,(3-Carboxypropyl)trimethylammonium,9.86,857140992,11766982,53589272,-2.9,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S1_C1_DCM_A,(3-Carboxypropyl)trimethylammonium,9.81,231378016,2068737,13955378,-4.1,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S1_C1_DCM_B,(3-Carboxypropyl)trimethylammonium,9.82,1488627712,14537859,90792568,-4,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S1_C1_DCM_C,(3-Carboxypropyl)trimethylammonium,9.82,254806048,2548847,15657806,-2.8,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C1_SRF_A,(3-Carboxypropyl)trimethylammonium,9.81,588890688,8004898,38122916,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C1_SRF_B,(3-Carboxypropyl)trimethylammonium,9.81,1084555776,11202388,69300416,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C1_SRF_C,(3-Carboxypropyl)trimethylammonium,9.81,1815901568,28303644,115100520,-3.6,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C2_D1_A,(3-Carboxypropyl)trimethylammonium,9.82,125389096,3341656,8421948,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C2_D1_B,(3-Carboxypropyl)trimethylammonium,9.83,94948704,3124038,5927400,-3.4,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C2_D1_C,(3-Carboxypropyl)trimethylammonium,9.8,84580480,2253951,5368682,-3.4,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C2_D2_A,(3-Carboxypropyl)trimethylammonium,9.78,186255040,4274221,11672249,-3.8,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C2_D2_B,(3-Carboxypropyl)trimethylammonium,9.81,199965072,4804870,12693188,-3.2,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C2_D2_C,(3-Carboxypropyl)trimethylammonium,9.81,195073104,5045679,12366775,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C3_D3_A,(3-Carboxypropyl)trimethylammonium,9.8,144526448,4812517,9549585,-3.2,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C3_D3_B,(3-Carboxypropyl)trimethylammonium,9.84,158488656,4673420,10072080,-3.6,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C3_D3_C,(3-Carboxypropyl)trimethylammonium,9.8,111845640,4120815,6914668,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C3_D4_A,(3-Carboxypropyl)trimethylammonium,9.82,129055216,4353361,8339059,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C3_D4_B,(3-Carboxypropyl)trimethylammonium,9.79,122007328,2841089,7571255,-3.4,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C3_D4_C,(3-Carboxypropyl)trimethylammonium,9.78,141403744,2764102,9131875,-3.8,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C4_D5_A,(3-Carboxypropyl)trimethylammonium,9.81,121136120,2260513,7813241,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C4_D5_B,(3-Carboxypropyl)trimethylammonium,9.82,155325984,4383065,10040765,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C4_D5_C,(3-Carboxypropyl)trimethylammonium,9.82,168685440,3848397,11125851,-3.2,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C4_D6_A,(3-Carboxypropyl)trimethylammonium,9.82,497003200,3728273,30570868,-3.6,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C4_D6_B,(3-Carboxypropyl)trimethylammonium,9.81,248882064,5355152,15548265,-2.7,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S2_C4_D6_C,(3-Carboxypropyl)trimethylammonium,9.83,167054384,3828818,10769099,-3.6,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S3_C1_D1_A,(3-Carboxypropyl)trimethylammonium,9.8,66109788,2624383,4120589,-3.9,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S3_C1_D1_B,(3-Carboxypropyl)trimethylammonium,9.83,96605416,2617575,6226859,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S3_C1_D1_C,(3-Carboxypropyl)trimethylammonium,9.81,66111992,2475485,4301091,-3.4,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S3_C1_D2_A,(3-Carboxypropyl)trimethylammonium,9.82,229102592,4407195,14832100,-3,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S3_C1_D2_B,(3-Carboxypropyl)trimethylammonium,9.8,177867232,4763000,11266831,-3.6,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S3_C1_D2_C,(3-Carboxypropyl)trimethylammonium,9.81,180030560,4210399,10989421,-3.8,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S3_C2_D3_A,(3-Carboxypropyl)trimethylammonium,9.81,209555296,5371214,13166350,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S3_C2_D3_B,(3-Carboxypropyl)trimethylammonium,9.82,262828112,3301459,16624379,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S3_C2_D3_C,(3-Carboxypropyl)trimethylammonium,9.82,296790624,7146110,18436180,-3.4,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S3_C2_D4_A,(3-Carboxypropyl)trimethylammonium,9.81,560846848,8122145,35013944,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S3_C2_D4_B,(3-Carboxypropyl)trimethylammonium,9.82,589029888,9692718,36987836,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S3_C2_D4_C,(3-Carboxypropyl)trimethylammonium,9.81,612923968,6953628,39902644,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S4_C1_D1_A,(3-Carboxypropyl)trimethylammonium,9.82,99358136,3129262,6666553,-3,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S4_C1_D1_B,(3-Carboxypropyl)trimethylammonium,9.83,79069696,2470767,5151763,-3.2,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S4_C1_D1_Blk,(3-Carboxypropyl)trimethylammonium,9.82,346188,0,35289,-2.5,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S4_C1_D1_C,(3-Carboxypropyl)trimethylammonium,9.81,85376984,2632936,5350063,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S4_C1_D2_A,(3-Carboxypropyl)trimethylammonium,9.78,400721888,5882182,26141426,-4.1,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S4_C1_D2_B,(3-Carboxypropyl)trimethylammonium,9.81,405023200,5181678,24828770,-3.6,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S4_C1_D2_Blk,(3-Carboxypropyl)trimethylammonium,9.72,80451,0,14970,-2.3,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S4_C1_D2_C,(3-Carboxypropyl)trimethylammonium,9.82,405983296,6568036,26146012,-3.3,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S4_C2_D3_A,(3-Carboxypropyl)trimethylammonium,9.82,381237568,4618954,22775146,-3,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S4_C2_D3_B,(3-Carboxypropyl)trimethylammonium,9.81,432397440,3654456,28166222,-2.8,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S4_C2_D3_Blk,(3-Carboxypropyl)trimethylammonium,9.84,446613,0,40798,-2.9,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S4_C2_D3_C,(3-Carboxypropyl)trimethylammonium,9.81,1361201408,13470608,84012688,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S4_C2_D4_A,(3-Carboxypropyl)trimethylammonium,9.78,1556172672,21473930,98894584,-3.2,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S4_C2_D4_B,(3-Carboxypropyl)trimethylammonium,9.82,1548330752,22704810,97632464,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S4_C2_D4_Blk,(3-Carboxypropyl)trimethylammonium,9.75,707092,0,62566,-3.3,HILIC-Pos_Standards
HILIC-Pos_Standards,221006_Smp_S4_C2_D4_C,(3-Carboxypropyl)trimethylammonium,9.81,457298848,5219326,28836868,-3.1,HILIC-Pos_Standards
