Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
HILIC-Pos_Standards,220628_Poo_TruePooG3_Full1,(3-Carboxypropyl)trimethylammonium,10.01,619514496,6957997,41967192,-2,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Poo_TruePooG3_Full2,(3-Carboxypropyl)trimethylammonium,10.06,603665280,6014447,40549192,-2,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Poo_TruePooG3_Full3,(3-Carboxypropyl)trimethylammonium,10.04,570434816,7113763,40298176,-2.1,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Poo_TruePooG3_Half1,(3-Carboxypropyl)trimethylammonium,9.94,349512512,4093345,24121396,-2.1,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Poo_TruePooG3_Half2,(3-Carboxypropyl)trimethylammonium,10,322505952,0,22620426,-2.3,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Poo_TruePooG3_Half3,(3-Carboxypropyl)trimethylammonium,10,302802592,72743,21761426,-1.4,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MBlk1_A,(3-Carboxypropyl)trimethylammonium,10.09,8137994,0,631105,-1.9,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MBlk1_B,(3-Carboxypropyl)trimethylammonium,10.01,802249,0,151446,-1.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MMQBlk1_A,(3-Carboxypropyl)trimethylammonium,9.92,2896735,0,220722,-2.7,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MMQBlk1_B,(3-Carboxypropyl)trimethylammonium,9.94,173092,0,77737,-2.6,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU1_A,(3-Carboxypropyl)trimethylammonium,10.06,229827376,0,16801122,-2.5,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU1_B,(3-Carboxypropyl)trimethylammonium,10.03,275056512,1153708,19106652,-2.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU1_C,(3-Carboxypropyl)trimethylammonium,10.07,298114336,0,19834078,-2.5,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU2_A,(3-Carboxypropyl)trimethylammonium,10.05,138592256,0,9516719,-2.3,HILIC-Pos_Standards
