Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
HILIC-Pos_Standards,230213_Std_4uMStdsMix1InH2O_1,(3-Carboxypropyl)trimethylammonium,9.75,3411771136,40708360,206169824,-2.9,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Std_4uMStdsMix1InH2O_2,(3-Carboxypropyl)trimethylammonium,9.74,5070387712,85624736,287802752,-1.8,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Std_4uMStdsMix1InMatrix_1,(3-Carboxypropyl)trimethylammonium,9.81,2835279104,43771060,163762160,-2.9,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Std_4uMStdsMix1InMatrix_2,(3-Carboxypropyl)trimethylammonium,9.82,4110184960,54672272,234045472,-2.2,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Std_4uMStdsMix2InH2O_1,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Std_4uMStdsMix2InH2O_2,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Std_4uMStdsMix2InMatrix_1,(3-Carboxypropyl)trimethylammonium,9.79,54211576,0,3486840,-3,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Std_4uMStdsMix2InMatrix_2,(3-Carboxypropyl)trimethylammonium,9.79,50063372,0,2890396,-1.5,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Std_H2OinMatrix_1,(3-Carboxypropyl)trimethylammonium,9.78,57743216,0,3333512,-2.7,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Std_H2OinMatrix_2,(3-Carboxypropyl)trimethylammonium,9.78,63041372,0,3582405,-1.8,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Blk_Blk-TfinalC_1,(3-Carboxypropyl)trimethylammonium,9.93,804996,0,104909,-2.1,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Blk_Blk-TfinalF_1,(3-Carboxypropyl)trimethylammonium,9.82,7158960,0,489205,-2,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Blk_Blk-TfinalN_1,(3-Carboxypropyl)trimethylammonium,9.84,3806243,0,213606,-2.6,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Blk_Blk-TfinalNF_1,(3-Carboxypropyl)trimethylammonium,9.79,7099423,0,418479,-2.6,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Blk_Blk-TfinalNP_1,(3-Carboxypropyl)trimethylammonium,9.75,1484659,0,141367,-2,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Blk_Blk-TfinalNPF_1,(3-Carboxypropyl)trimethylammonium,9.76,413212,0,57524,-1.8,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Blk_Blk-TfinalP_1,(3-Carboxypropyl)trimethylammonium,9.76,393953,0,83215,-2.1,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Blk_Blk-TfinalPF_1,(3-Carboxypropyl)trimethylammonium,9.87,1276892,873515,105472,-1.8,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Poo_PERIFIX_Full1,(3-Carboxypropyl)trimethylammonium,9.84,89266872,0,4541370,-2.4,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Poo_PERIFIX_Full2,(3-Carboxypropyl)trimethylammonium,9.81,91168072,0,4640850,-2.3,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Poo_PERIFIX_Full3,(3-Carboxypropyl)trimethylammonium,9.8,95762200,0,5169387,-1.8,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Poo_PERIFIX_Half1,(3-Carboxypropyl)trimethylammonium,9.77,47945144,585277,2798957,-2.4,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Poo_PERIFIX_Half2,(3-Carboxypropyl)trimethylammonium,9.84,49057220,0,2801888,-2.3,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Poo_PERIFIX_Half3,(3-Carboxypropyl)trimethylammonium,9.79,53332964,0,3176342,-1.4,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Smp_T0Tote_1,(3-Carboxypropyl)trimethylammonium,9.91,150615936,0,7239434,-1.8,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Smp_T0Tote_2,(3-Carboxypropyl)trimethylammonium,9.79,238449760,680175,12878183,-2.3,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Smp_T0Tote_3,(3-Carboxypropyl)trimethylammonium,9.91,97239352,0,4815924,-1.9,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Smp_T0Tote_4,(3-Carboxypropyl)trimethylammonium,9.87,179698944,359370,8368981,-2,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Smp_TfinalC_1,(3-Carboxypropyl)trimethylammonium,9.81,24501936,0,1341859,-2.5,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Smp_TfinalC_2,(3-Carboxypropyl)trimethylammonium,9.81,36748636,7881513,2171878,-2.9,HILIC-Pos_Standards
HILIC-Pos_Standards,230213_Smp_TfinalC_3,(3-Carboxypropyl)trimethylammonium,9.82,16352729,0,846459,-1.9,HILIC-Pos_Standards
