Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
‎HILIC_Neg_Standards,190715_Std_4uMStdsMix1InH2O_1,Oxalic acid,#N/A,#N/A,#N/A,#N/A,#N/A,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,190715_Std_4uMStdsMix1InH2O_2,Oxalic acid,#N/A,#N/A,#N/A,#N/A,#N/A,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,190715_Std_4uMStdsMix1InMatrix_1,Oxalic acid,#N/A,#N/A,#N/A,#N/A,#N/A,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,190715_Std_4uMStdsMix1InMatrix_2,Oxalic acid,#N/A,#N/A,#N/A,#N/A,#N/A,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,190715_Std_4uMStdsMix2InH2O_1,Oxalic acid,14.16,1395200,0,314415,-3.4,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,190715_Std_4uMStdsMix2InH2O_2,Oxalic acid,#N/A,#N/A,#N/A,#N/A,#N/A,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,190715_Std_4uMStdsMix2InMatrix_1,Oxalic acid,14.07,2559357,0,469051,-3.8,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,190715_Std_4uMStdsMix2InMatrix_2,Oxalic acid,#N/A,#N/A,#N/A,#N/A,#N/A,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,190715_Std_H2OinMatrix_1,Oxalic acid,#N/A,#N/A,#N/A,#N/A,#N/A,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,190715_Std_H2OinMatrix_2,Oxalic acid,#N/A,#N/A,#N/A,#N/A,#N/A,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,190715_Blk_KM1906S6C31000-Blk_B,Oxalic acid,#N/A,#N/A,#N/A,#N/A,#N/A,‎HILIC_Neg_Standards
