Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
HILIC_Pos_Standards,240801_Std_4uMStdsMix1InH2O_1,Trimethylamine,6.74,7126018,0,347112,2.7,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Std_4uMStdsMix1InH2O_2,Trimethylamine,6.85,1656311,0,197725,2.4,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Std_4uMStdsMix2InH2O_1,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Std_4uMStdsMix2InH2O_2,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Std_4uMStdsMix1InMatrix_1,Trimethylamine,6.82,4697865,0,264955,2.8,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Std_4uMStdsMix1InMatrix_2,Trimethylamine,6.8,3391816,0,216670,2.5,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Std_4uMStdsMix2InMatrix_1,Trimethylamine,6.65,43793,0,47472,1.9,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Std_4uMStdsMix2InMatrix_2,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Std_H2OinMatrix_1,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Std_H2OinMatrix_2,Trimethylamine,5.52,21242,0,18439,0.6,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Poo_G4-DepthProfiles_Full1,Trimethylamine,5.96,66445,0,40675,1.7,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Poo_G4-DepthProfiles_Full2,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Poo_G4-DepthProfiles_Full3,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Poo_G4-DepthProfiles_Full4,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Poo_G4-DepthProfiles_Half1,Trimethylamine,6.65,31308,0,20172,1.4,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Poo_G4-DepthProfiles_Half2,Trimethylamine,6.66,10704,0,10294,3.6,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Poo_G4-DepthProfiles_Half3,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Poo_G4-DepthProfiles_Half4,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Blk_TN397_S4_500m_Blk,Trimethylamine,5.34,13743,0,8206,1.9,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Blk_TN397_S4_200m_Blk,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Smp_TN397_S1_DCM_A,Trimethylamine,6.63,60393,0,37691,2.1,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Smp_TN397_S1_DCM_B,Trimethylamine,6.89,17063,0,14623,0.3,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Smp_TN397_S1_DCM_C,Trimethylamine,6.69,13321,0,10122,1.1,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Smp_TN397_S4_15m_A,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Smp_TN397_S4_15m_B,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Smp_TN397_S4_45m_A,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Smp_TN397_S4_45m_B,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240801_Smp_TN397_S4_200m_A,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
