Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
HILIC-Neg_Standards,230213_Std_4uMStdsMix1InH2O_1,2-Hydroxy-4-(methylthio)butyric acid,2.23,1120196480,21718114,144695200,-1.1,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Std_4uMStdsMix1InH2O_2,2-Hydroxy-4-(methylthio)butyric acid,2.19,1457024896,36353736,160501392,-0.4,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Std_4uMStdsMix1InMatrix_1,2-Hydroxy-4-(methylthio)butyric acid,2.22,780520448,22798276,99916992,-1.1,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Std_4uMStdsMix1InMatrix_2,2-Hydroxy-4-(methylthio)butyric acid,2.1,926838400,68554288,78230176,-1.3,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Std_4uMStdsMix2InH2O_1,2-Hydroxy-4-(methylthio)butyric acid,2.25,144284,0,113861,-0.8,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Std_4uMStdsMix2InH2O_2,2-Hydroxy-4-(methylthio)butyric acid,2.17,725321,0,281312,-0.8,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Std_4uMStdsMix2InMatrix_1,2-Hydroxy-4-(methylthio)butyric acid,2.22,601052,0,335555,-1.4,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Std_4uMStdsMix2InMatrix_2,2-Hydroxy-4-(methylthio)butyric acid,2.08,438414,0,216060,-0.5,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Std_H2OinMatrix_1,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Std_H2OinMatrix_2,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Blk_Blk-TfinalC_1,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Blk_Blk-TfinalF_1,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Blk_Blk-TfinalN_1,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Blk_Blk-TfinalNF_1,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Blk_Blk-TfinalNP_1,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Blk_Blk-TfinalNPF_1,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Blk_Blk-TfinalP_1,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Blk_Blk-TfinalPF_1,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Poo_PERIFIX_Full1,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Poo_PERIFIX_Full2,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Poo_PERIFIX_Full3,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Poo_PERIFIX_Half1,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Poo_PERIFIX_Half2,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Poo_PERIFIX_Half3,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_T0Tote_1,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_T0Tote_2,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_T0Tote_3,2-Hydroxy-4-(methylthio)butyric acid,1.99,105052,0,87891,-2.3,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_T0Tote_4,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalC_1,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalC_2,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalC_3,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalF_1,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalF_2,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalF_3,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalN_1,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalN_2,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalN_3,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalNF_1,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalNF_2,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalNF_3,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalNP_1,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalNP_2,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalNP_3,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalNPF_1,2-Hydroxy-4-(methylthio)butyric acid,2.34,367051,0,212771,-1.1,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalNPF_2,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalNPF_3,2-Hydroxy-4-(methylthio)butyric acid,2.14,342632,0,126388,-2.1,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalP_1,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalP_2,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalP_3,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalPF_1,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalPF_2,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalPF_3,2-Hydroxy-4-(methylthio)butyric acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Std_4uMStdsMix1InH2O_1,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Std_4uMStdsMix1InH2O_2,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Std_4uMStdsMix1InMatrix_1,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Std_4uMStdsMix1InMatrix_2,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Std_4uMStdsMix2InH2O_1,3-Sulfopyruvic acid,13.69,203953616,0,11968492,-0.5,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Std_4uMStdsMix2InH2O_2,3-Sulfopyruvic acid,13.54,76611296,0,3345357,-0.2,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Std_4uMStdsMix2InMatrix_1,3-Sulfopyruvic acid,13.83,269431328,0,15857727,-0.3,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Std_4uMStdsMix2InMatrix_2,3-Sulfopyruvic acid,13.87,263114848,0,9449565,0.3,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Std_H2OinMatrix_1,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Std_H2OinMatrix_2,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Blk_Blk-TfinalC_1,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Blk_Blk-TfinalF_1,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Blk_Blk-TfinalN_1,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Blk_Blk-TfinalNF_1,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Blk_Blk-TfinalNP_1,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Blk_Blk-TfinalNPF_1,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Blk_Blk-TfinalP_1,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Blk_Blk-TfinalPF_1,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Poo_PERIFIX_Full1,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Poo_PERIFIX_Full2,3-Sulfopyruvic acid,12.98,98357,0,93305,1.2,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Poo_PERIFIX_Full3,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Poo_PERIFIX_Half1,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Poo_PERIFIX_Half2,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Poo_PERIFIX_Half3,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_T0Tote_1,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_T0Tote_2,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_T0Tote_3,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_T0Tote_4,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalC_1,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalC_2,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalC_3,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalF_1,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalF_2,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
HILIC-Neg_Standards,230213_Smp_TfinalF_3,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Neg_Standards
