Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
HILIC_Standards_Neg,250807_Std_4uMStdsMix1InH2O_1,Oxalic acid,14.29,13884683,0,647647,-4.1,HILIC_Standards_Neg
HILIC_Standards_Neg,250807_Std_4uMStdsMix1InH2O_2,Oxalic acid,14.35,15233723,0,785761,-4.3,HILIC_Standards_Neg
HILIC_Standards_Neg,250807_Std_4uMStdsMix1InMatrix_1,Oxalic acid,14.41,25673358,0,994825,-4.4,HILIC_Standards_Neg
HILIC_Standards_Neg,250807_Std_4uMStdsMix1InMatrix_2,Oxalic acid,14.36,28453814,0,1078116,-4.3,HILIC_Standards_Neg
HILIC_Standards_Neg,250807_Std_4uMStdsMix2InH2O_1,Oxalic acid,14.18,3003447,0,135394,-4.2,HILIC_Standards_Neg
HILIC_Standards_Neg,250807_Std_4uMStdsMix2InH2O_2,Oxalic acid,14.24,3823699,0,161072,-4.4,HILIC_Standards_Neg
HILIC_Standards_Neg,250807_Std_4uMStdsMix2InMatrix_1,Oxalic acid,14.26,20625020,0,772093,-5,HILIC_Standards_Neg
HILIC_Standards_Neg,250807_Std_4uMStdsMix2InMatrix_2,Oxalic acid,14.42,14840032,0,555967,-4.5,HILIC_Standards_Neg
HILIC_Standards_Neg,250807_Std_H2OinMatrix_1,Oxalic acid,14.06,21355788,0,790993,-4.2,HILIC_Standards_Neg
HILIC_Standards_Neg,250807_Std_H2OinMatrix_2,Oxalic acid,14.41,15138220,0,523714,-4.3,HILIC_Standards_Neg
HILIC_Standards_Neg,250807_Poo_P1-NetTraps_Full1,Oxalic acid,14.32,37917148,0,1891878,-5.2,HILIC_Standards_Neg
HILIC_Standards_Neg,250807_Poo_P1-NetTraps_Full2,Oxalic acid,14.35,52949896,0,2359890,-4.7,HILIC_Standards_Neg
HILIC_Standards_Neg,250807_Poo_P1-NetTraps_Full3,Oxalic acid,14.46,28627550,0,900681,-4.2,HILIC_Standards_Neg
HILIC_Standards_Neg,250807_Poo_P1-NetTraps_Half1,Oxalic acid,14.24,20365988,0,856992,-5.2,HILIC_Standards_Neg
