Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
HILIC_Standards_Neg,250626_Std_4uMStdsMix1InH2O_1,Oxalic acid,15.08,9992908,0,686260,-7,HILIC_Standards_Neg
HILIC_Standards_Neg,250626_Std_4uMStdsMix1InH2O_2,Oxalic acid,15.27,965433,0,123434,-7,HILIC_Standards_Neg
HILIC_Standards_Neg,250626_Std_4uMStdsMix1InMatrix_1,Oxalic acid,15.08,22489122,0,819274,-6.6,HILIC_Standards_Neg
HILIC_Standards_Neg,250626_Std_4uMStdsMix1InMatrix_2,Oxalic acid,15.25,5567454,0,255271,-6.8,HILIC_Standards_Neg
HILIC_Standards_Neg,250626_Std_4uMStdsMix2InH2O_1,Oxalic acid,14.99,6527734,0,431707,-6.9,HILIC_Standards_Neg
HILIC_Standards_Neg,250626_Std_4uMStdsMix2InH2O_2,Oxalic acid,15.13,736099,0,80725,-6.7,HILIC_Standards_Neg
HILIC_Standards_Neg,250626_Std_4uMStdsMix2InMatrix_1,Oxalic acid,15.04,15357747,0,569098,-6.7,HILIC_Standards_Neg
HILIC_Standards_Neg,250626_Std_4uMStdsMix2InMatrix_2,Oxalic acid,15.28,7786305,0,221673,-6.9,HILIC_Standards_Neg
HILIC_Standards_Neg,250626_Std_H2OinMatrix_1,Oxalic acid,15.04,21582844,0,926356,-6.7,HILIC_Standards_Neg
HILIC_Standards_Neg,250626_Std_H2OinMatrix_2,Oxalic acid,15.24,628717,0,116914,-7.2,HILIC_Standards_Neg
HILIC_Standards_Neg,250626_Blk_FilterBlk_1,Oxalic acid,15.42,1657513,0,121216,-7.3,HILIC_Standards_Neg
HILIC_Standards_Neg,250626_Poo_Day1Poo_Full1,Oxalic acid,14.94,14425350,0,560260,-6.8,HILIC_Standards_Neg
HILIC_Standards_Neg,250626_Poo_Day1Poo_Full2,Oxalic acid,15.89,4768298,0,158514,-6.8,HILIC_Standards_Neg
HILIC_Standards_Neg,250626_Poo_Day1Poo_Full3,Oxalic acid,15.49,5855967,0,212564,-6.9,HILIC_Standards_Neg
HILIC_Standards_Neg,250626_Poo_Day1Poo_Half1,Oxalic acid,14.98,19838176,0,605371,-6.8,HILIC_Standards_Neg
