Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
HILIC_Standards_Pos,250626_Std_4uMStdsMix1InH2O_1,Trimethylamine,7.07,62907576,1889095,3044476,2.8,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix1InH2O_2,Trimethylamine,6.76,51749752,0,2589499,2.6,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix1InMatrix_1,Trimethylamine,6.98,70012136,0,4390587,3.2,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix1InMatrix_2,Trimethylamine,6.79,52340472,563829,3227169,2.9,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix2InH2O_1,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix2InH2O_2,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix2InMatrix_1,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix2InMatrix_2,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_H2OinMatrix_1,Trimethylamine,7.46,580066,0,84175,1.5,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_H2OinMatrix_2,Trimethylamine,6.73,64891,0,40745,3.8,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Blk_FilterBlk_1,Trimethylamine,7.19,63924,0,25075,2.9,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Poo_Day1Poo_Full1,Trimethylamine,7.2,700989,0,50039,2.4,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Poo_Day1Poo_Full2,Trimethylamine,6.65,291070,0,47120,3,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Poo_Day1Poo_Full3,Trimethylamine,6.67,229045,0,33773,2.9,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Poo_Day1Poo_Half1,Trimethylamine,7.24,196894,0,50789,1.5,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Poo_Day1Poo_Half2,Trimethylamine,7.46,184821,0,55800,1.7,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Poo_Day1Poo_Half3,Trimethylamine,7.03,122455,0,26407,1.6,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1Cnt_A,Trimethylamine,6.68,365914,0,65127,2.3,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1Cnt_B,Trimethylamine,6.67,174936,0,40143,1.9,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1Cnt_C,Trimethylamine,6.64,147703,0,42699,2.6,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1HFe_A,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1HFe_B,Trimethylamine,6.7,238972,0,43987,2.8,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1HFe_C,Trimethylamine,7.03,367247,0,89866,2.7,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1LFe_A,Trimethylamine,6.61,104834,0,42602,1.9,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1LFe_B,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1LFe_C,Trimethylamine,6.57,146485,0,62764,2.6,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1NPFe_A,Trimethylamine,7.6,138112,0,124263,0.3,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1NPFe_B,Trimethylamine,6.71,222823,0,97015,2.2,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1NPFe_C,Trimethylamine,6.68,217764,0,52209,3.5,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1T0_A,Trimethylamine,7.18,59951,0,25657,2.7,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1T0_B,Trimethylamine,7.21,21761,0,23642,0.1,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1T0_C,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2Cnt_A,Trimethylamine,7.54,471434,0,69335,2.6,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2Cnt_B,Trimethylamine,7.19,38713,0,27358,2.2,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2Cnt_C,Trimethylamine,7.16,182311,0,30890,2.2,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2Fe_A,Trimethylamine,7.12,117716,0,22267,1.6,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2Fe_B,Trimethylamine,6.98,95944,0,20634,2.2,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2Fe_C,Trimethylamine,7.21,105939,0,36773,2.4,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2NP_A,Trimethylamine,7.22,226375,0,34627,2.1,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2NP_B,Trimethylamine,7.18,237614,0,45334,2.3,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2NP_C,Trimethylamine,7.21,75256,0,26196,1.6,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2NPFe_A,Trimethylamine,7.18,57966,0,38650,1.9,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2NPFe_B,Trimethylamine,7.17,118451,0,38269,1.9,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2NPFe_C,Trimethylamine,7.21,62363,0,26923,3.1,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2T0_A,Trimethylamine,6.75,212462,0,51804,1.5,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2T0_B,Trimethylamine,7.22,131978,0,24291,3.1,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2T0_C,Trimethylamine,7.54,189590,0,57535,1.5,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3Cnt_A,Trimethylamine,7.23,142247,34146,44581,2.6,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3Cnt_B,Trimethylamine,7.22,95041,0,26769,1.4,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3Cnt_C,Trimethylamine,7.13,262830,0,34192,2.9,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3FeNP_A,Trimethylamine,7.17,260943,0,47566,2.4,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3FeNP_B,Trimethylamine,7.13,75260,0,44210,2.8,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3FENP_C,Trimethylamine,7.25,145770,0,35015,2,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3HiNP_A,Trimethylamine,6.8,303250,0,41603,3,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3HiNP_B,Trimethylamine,7.01,98041,0,26329,2.5,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3HiNP_C,Trimethylamine,7.31,120572,0,41907,2,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3LNP_A,Trimethylamine,7.69,191850,0,55226,1.7,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3LNP_B,Trimethylamine,7.19,119368,0,32376,2.3,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3LNP_C,Trimethylamine,7.18,296971,0,40237,2.3,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3T0_A,Trimethylamine,7.25,284007,0,33462,2.6,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3T0_B,Trimethylamine,7.17,283722,0,42207,2.8,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3T0_C,Trimethylamine,7.16,127368,0,32240,2.2,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix1InH2O_1,Propylamine,19.61,771040,261127,99601,3.4,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix1InH2O_2,Propylamine,19.12,79412,0,29008,1.1,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix1InMatrix_1,Propylamine,19.7,337857,0,63725,1.8,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix1InMatrix_2,Propylamine,19.68,123989,0,70183,2.7,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix2InH2O_1,Propylamine,20.12,1545223,1496948,56885,3.4,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix2InH2O_2,Propylamine,19.19,303417,0,74104,2.1,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix2InMatrix_1,Propylamine,19.76,153466,437271,24663,3.2,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix2InMatrix_2,Propylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_H2OinMatrix_1,Propylamine,19.59,246332,260644,41468,2.3,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_H2OinMatrix_2,Propylamine,20.05,58871,0,49013,1.3,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Blk_FilterBlk_1,Propylamine,19.22,74736,0,47233,1.5,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Poo_Day1Poo_Full1,Propylamine,19.87,399814,0,42306,2.4,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Poo_Day1Poo_Full2,Propylamine,20,111320,0,60832,3.4,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Poo_Day1Poo_Full3,Propylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Poo_Day1Poo_Half1,Propylamine,19.66,1092033,0,50543,2.5,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Poo_Day1Poo_Half2,Propylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Poo_Day1Poo_Half3,Propylamine,19.72,60646,0,52623,2.6,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1Cnt_A,Propylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1Cnt_B,Propylamine,19.9,89112,0,32132,2.7,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1Cnt_C,Propylamine,19.99,107712,0,50319,2.8,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1HFe_A,Propylamine,19.82,184819,0,85952,0.4,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1HFe_B,Propylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1HFe_C,Propylamine,19.78,347999,4911,56669,2.9,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1LFe_A,Propylamine,19.69,46435,0,34739,0.9,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1LFe_B,Propylamine,20.36,246854,0,94050,0.9,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1LFe_C,Propylamine,19.61,145501,0,66334,1.7,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1NPFe_A,Propylamine,20.33,106758,0,61947,2.4,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1NPFe_B,Propylamine,19.63,173985,0,61716,0.4,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1NPFe_C,Propylamine,19.25,195543,0,56333,1.4,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1T0_A,Propylamine,19.56,303522,0,46041,2.8,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1T0_B,Propylamine,19.97,118698,0,65670,3.3,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp1T0_C,Propylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2Cnt_A,Propylamine,19.45,251073,0,77884,2.7,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2Cnt_B,Propylamine,19.84,109976,0,58180,0.6,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2Cnt_C,Propylamine,20.09,130354,0,76066,2.4,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2Fe_A,Propylamine,19.14,147659,0,108516,1.6,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2Fe_B,Propylamine,20.53,108593,0,40163,2.3,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2Fe_C,Propylamine,19.71,92404,0,50611,2.1,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2NP_A,Propylamine,20.24,151248,0,52173,2.1,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2NP_B,Propylamine,19.75,401296,0,54301,2,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2NP_C,Propylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2NPFe_A,Propylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2NPFe_B,Propylamine,19.72,130531,0,29727,1.9,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2NPFe_C,Propylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2T0_A,Propylamine,20.05,301856,0,54134,2.2,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2T0_B,Propylamine,20.57,108396,0,71881,0.3,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp2T0_C,Propylamine,19.43,92178,0,50365,2.2,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3Cnt_A,Propylamine,19.79,414900,0,54029,2.4,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3Cnt_B,Propylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3Cnt_C,Propylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3FeNP_A,Propylamine,19.67,185565,77642,39076,3.2,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3FeNP_B,Propylamine,20.66,113830,0,60762,1.9,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3FENP_C,Propylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3HiNP_A,Propylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3HiNP_B,Propylamine,19.73,77159,0,42340,3.2,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3HiNP_C,Propylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3LNP_A,Propylamine,19.7,44153,0,25771,1.5,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3LNP_B,Propylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3LNP_C,Propylamine,19.65,102309,0,46783,0.8,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3T0_A,Propylamine,19.79,86100,0,62472,2.9,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3T0_B,Propylamine,19.75,415426,0,41499,2.1,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Smp_RExp3T0_C,Propylamine,20.54,99332,0,44222,0.3,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix1InH2O_1,Urea,6.45,90979216,38859576,5048710,3.2,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix1InH2O_2,Urea,6.37,97858808,77528496,5096403,3.1,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix1InMatrix_1,Urea,6.42,93021872,34527232,6147508,2.9,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix1InMatrix_2,Urea,6.36,115610632,67861352,6445361,3,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix2InH2O_1,Urea,5.85,16860630,31608040,604781,3.1,HILIC_Standards_Pos
HILIC_Standards_Pos,250626_Std_4uMStdsMix2InH2O_2,Urea,6.86,35613900,53972980,1130553,3.2,HILIC_Standards_Pos
