Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
‎HILIC_Neg_Standards,250925_Smp_D1_DilTest_1x_A,Oxalic acid,13.69,325814816,8055146,32613172,-4.2,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,250925_Smp_D1_DilTest_1x_B,Oxalic acid,13.91,765501440,9611090,29247470,-4,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,250925_Smp_D1_DilTest_2x_A,Oxalic acid,13.67,499591456,18774482,36972264,-4.2,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,250925_Smp_D1_DilTest_2x_B,Oxalic acid,13.66,493548448,13542752,28694066,-4.2,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,250925_Smp_D1_DilTest_10x_A,Oxalic acid,13.69,134911680,2255660,10569023,-4.4,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,250925_Smp_D1_DilTest_10x_B,Oxalic acid,13.67,124973376,7152684,10858353,-4.3,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,250925_Smp_D1_DilTest_100x_A,Oxalic acid,13.2,3899579,0,270442,-4.5,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,250925_Smp_D1_DilTest_100x_B,Oxalic acid,13.67,18262834,5210831,1288737,-4.8,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,250925_Smp_D1_DilTest_500x_A,Oxalic acid,13.37,4533391,0,248361,-4.1,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,250925_Smp_D1_DilTest_500x_B,Oxalic acid,13.91,17196284,0,548538,-4.4,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,250925_Std_4uMStdsMix1InH2O_1,Oxalic acid,13.51,2330491,7640654,342149,-4,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,250925_Std_4uMStdsMix2InH2O_1,Oxalic acid,13.25,3838342,0,243035,-4.1,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,250925_Smp_D1_DilTest_1x_A,Methylphosphonic acid,#N/A,#N/A,#N/A,#N/A,#N/A,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,250925_Smp_D1_DilTest_1x_B,Methylphosphonic acid,11.51,106812,0,97266,-4.6,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,250925_Smp_D1_DilTest_2x_A,Methylphosphonic acid,#N/A,#N/A,#N/A,#N/A,#N/A,‎HILIC_Neg_Standards
‎HILIC_Neg_Standards,250925_Smp_D1_DilTest_2x_B,Methylphosphonic acid,11.47,229668,0,166135,0.5,‎HILIC_Neg_Standards
