class,group1,group2,p.adj,p.adj.signif
AA,PEDP,NPEC,0.367,ns
AA,PEDP,NPSG,0.608,ns
AA,PEDP,NPTZ,0.019,*
AA,PEDP,CUCP,1,ns
AA,PEDP,SS,4.26e-11,****
AA,NPEC,NPSG,0.938,ns
AA,NPEC,NPTZ,1,ns
AA,NPEC,CUCP,0.41,ns
AA,NPEC,SS,1.68e-4,***
AA,NPSG,NPTZ,0.586,ns
AA,NPSG,CUCP,0.702,ns
AA,NPSG,SS,3.5e-9,****
AA,NPTZ,CUCP,0.063,ns
AA,NPTZ,SS,9.11e-7,****
AA,CUCP,SS,2.04e-9,****
Betaine,PEDP,NPEC,0.362,ns
Betaine,PEDP,NPSG,3.74e-6,****
Betaine,PEDP,NPTZ,0.084,ns
Betaine,PEDP,CUCP,0.001,***
Betaine,PEDP,SS,0.114,ns
Betaine,NPEC,NPSG,0.958,ns
Betaine,NPEC,NPTZ,0.952,ns
Betaine,NPEC,CUCP,0.955,ns
Betaine,NPEC,SS,0.013,*
Betaine,NPSG,NPTZ,0.002,**
Betaine,NPSG,CUCP,1,ns
Betaine,NPSG,SS,5.96e-6,****
Betaine,NPTZ,CUCP,0.07,ns
Betaine,NPTZ,SS,0.002,**
Betaine,CUCP,SS,2.61e-5,****
Sulfonium,PEDP,NPEC,1,ns
Sulfonium,PEDP,NPSG,0.012,*
Sulfonium,PEDP,NPTZ,0.356,ns
Sulfonium,PEDP,CUCP,0.011,*
Sulfonium,PEDP,SS,0,****
Sulfonium,NPEC,NPSG,0.14,ns
Sulfonium,NPEC,NPTZ,0.6,ns
Sulfonium,NPEC,CUCP,0.044,*
Sulfonium,NPEC,SS,4.98e-7,****
Sulfonium,NPSG,NPTZ,3.87e-4,***
Sulfonium,NPSG,CUCP,0.91,ns
Sulfonium,NPSG,SS,0,****
Sulfonium,NPTZ,CUCP,5.35e-4,***
Sulfonium,NPTZ,SS,1.58e-6,****
Sulfonium,CUCP,SS,1.69e-8,****
Other,PEDP,NPEC,0.934,ns
Other,PEDP,NPSG,0.468,ns
Other,PEDP,NPTZ,1,ns
Other,PEDP,CUCP,0.995,ns
Other,PEDP,SS,9.53e-13,****
Other,NPEC,NPSG,0.995,ns
Other,NPEC,NPTZ,0.997,ns
Other,NPEC,CUCP,1,ns
Other,NPEC,SS,4.16e-6,****
Other,NPSG,NPTZ,0.951,ns
Other,NPSG,CUCP,0.998,ns
Other,NPSG,SS,0,****
Other,NPTZ,CUCP,1,ns
Other,NPTZ,SS,4.65e-4,***
Other,CUCP,SS,0.007,**
