class,Region,mean.class.rel.conc,sd.class.rel.conc,W_ANOVA_pval
AA,PEDP,0.27887118982473424,0.09339744160539627,2.85e-11
AA,NPEC,0.3558314969110723,0.14686412019358508,2.85e-11
AA,NPSG,0.3193283710767938,0.1501365667856066,2.85e-11
AA,NPTZ,0.3633773148246814,0.08473765365763364,2.85e-11
AA,CUCP,0.27623730212132513,0.08806977553593628,2.85e-11
AA,SS,0.5801254845503095,0.15288953064744898,2.85e-11
Betaine,PEDP,0.2654562812066011,0.05951084496851596,3.11e-8
Betaine,NPEC,0.2087628117031027,0.11033377935518669,3.11e-8
Betaine,NPSG,0.1856996449314924,0.07234584265878728,3.11e-8
Betaine,NPTZ,0.23168345413875285,0.028309405827334613,3.11e-8
Betaine,CUCP,0.18336036088454108,0.05760696342095782,3.11e-8
Betaine,SS,0.32893201413065026,0.11938354545501471,3.11e-8
Sulfonium,PEDP,0.24592184827637517,0.07022023124181322,3.24e-24
Sulfonium,NPEC,0.2472415921982369,0.09467717713581378,3.24e-24
Sulfonium,NPSG,0.31894324288970555,0.13531637488490747,3.24e-24
Sulfonium,NPTZ,0.20001058363773752,0.08553765401724547,3.24e-24
Sulfonium,CUCP,0.34916603005050334,0.0936767194446494,3.24e-24
Sulfonium,SS,0.04963296070931734,0.04370349949741198,3.24e-24
Other,PEDP,0.2097506806922895,0.07462395497955707,4.24e-18
Other,NPEC,0.1881640991875881,0.0800753583469361,4.24e-18
Other,NPSG,0.17602874110200825,0.10243190329069857,4.24e-18
Other,NPTZ,0.20492864739882824,0.13705074975882078,4.24e-18
Other,CUCP,0.19123630694363047,0.1333547869829702,4.24e-18
Other,SS,0.04130954060972281,0.03405008483072419,4.24e-18
