class,group1,group2,p.adj,p.adj.signif
AA,PEDP,NPEC,0.031,*
AA,PEDP,NPSG,0.707,ns
AA,PEDP,NPTZ,1.72e-11,****
AA,PEDP,CUCP,0.035,*
AA,PEDP,SS,9.18e-6,****
AA,NPEC,NPSG,0.003,**
AA,NPEC,NPTZ,8.87e-14,****
AA,NPEC,CUCP,4.28e-4,***
AA,NPEC,SS,4.51e-8,****
AA,NPSG,NPTZ,4.89e-10,****
AA,NPSG,CUCP,0.187,ns
AA,NPSG,SS,1.35e-4,***
AA,NPTZ,CUCP,2.83e-5,****
AA,NPTZ,SS,0.009,**
AA,CUCP,SS,0.301,ns
Betaine,PEDP,NPEC,0.364,ns
Betaine,PEDP,NPSG,0.944,ns
Betaine,PEDP,NPTZ,0.103,ns
Betaine,PEDP,CUCP,0.409,ns
Betaine,PEDP,SS,0.059,ns
Betaine,NPEC,NPSG,0.824,ns
Betaine,NPEC,NPTZ,0.015,*
Betaine,NPEC,CUCP,0.095,ns
Betaine,NPEC,SS,0.634,ns
Betaine,NPSG,NPTZ,0.058,ns
Betaine,NPSG,CUCP,0.272,ns
Betaine,NPSG,SS,0.163,ns
Betaine,NPTZ,CUCP,0.988,ns
Betaine,NPTZ,SS,0.002,**
Betaine,CUCP,SS,0.013,*
Sugar,PEDP,NPEC,0.883,ns
Sugar,PEDP,NPSG,0.795,ns
Sugar,PEDP,NPTZ,0.958,ns
Sugar,PEDP,CUCP,0.234,ns
Sugar,PEDP,SS,1.15e-4,***
Sugar,NPEC,NPSG,1,ns
Sugar,NPEC,NPTZ,0.421,ns
Sugar,NPEC,CUCP,0.848,ns
Sugar,NPEC,SS,1.29e-5,****
Sugar,NPSG,NPTZ,0.272,ns
Sugar,NPSG,CUCP,0.654,ns
Sugar,NPSG,SS,8.59e-6,****
Sugar,NPTZ,CUCP,0.047,*
Sugar,NPTZ,SS,9.26e-4,***
Sugar,CUCP,SS,1.53e-6,****
Sulfonium,PEDP,NPEC,0.132,ns
Sulfonium,PEDP,NPSG,4.03e-10,****
Sulfonium,PEDP,NPTZ,6.23e-13,****
Sulfonium,PEDP,CUCP,1.2e-7,****
Sulfonium,PEDP,SS,0.999,ns
Sulfonium,NPEC,NPSG,2.06e-10,****
Sulfonium,NPEC,NPTZ,1.72e-11,****
Sulfonium,NPEC,CUCP,2.91e-7,****
Sulfonium,NPEC,SS,0.214,ns
Sulfonium,NPSG,NPTZ,0.973,ns
Sulfonium,NPSG,CUCP,0.906,ns
Sulfonium,NPSG,SS,3.02e-10,****
Sulfonium,NPTZ,CUCP,1,ns
Sulfonium,NPTZ,SS,0,****
Sulfonium,CUCP,SS,2.32e-8,****
Sulfonate,PEDP,NPEC,9.42e-4,***
Sulfonate,PEDP,NPSG,3.98e-10,****
Sulfonate,PEDP,NPTZ,7.02e-5,****
Sulfonate,PEDP,CUCP,0.032,*
Sulfonate,PEDP,SS,0.009,**
Sulfonate,NPEC,NPSG,0.018,*
Sulfonate,NPEC,NPTZ,3.22e-8,****
Sulfonate,NPEC,CUCP,1,ns
Sulfonate,NPEC,SS,1.34e-4,***
Sulfonate,NPSG,NPTZ,2.99e-11,****
Sulfonate,NPSG,CUCP,0.338,ns
Sulfonate,NPSG,SS,3.55e-6,****
Sulfonate,NPTZ,CUCP,1.4e-6,****
Sulfonate,NPTZ,SS,0.988,ns
Sulfonate,CUCP,SS,1.78e-4,***
Other,PEDP,NPEC,0.575,ns
Other,PEDP,NPSG,1.86e-8,****
Other,PEDP,NPTZ,0.003,**
Other,PEDP,CUCP,3.38e-4,***
Other,PEDP,SS,0.002,**
Other,NPEC,NPSG,4.3e-10,****
Other,NPEC,NPTZ,3.29e-4,***
Other,NPEC,CUCP,8.43e-5,****
Other,NPEC,SS,3.17e-4,***
Other,NPSG,NPTZ,0.997,ns
Other,NPSG,CUCP,0.754,ns
Other,NPSG,SS,0.916,ns
Other,NPTZ,CUCP,0.991,ns
Other,NPTZ,SS,0.998,ns
Other,CUCP,SS,1,ns
