class,Region,mean.class.rel.conc,sd.class.rel.conc,W_ANOVA_pval
AA,PEDP,0.5655009411966239,0.04553349999662612,4.78e-27
AA,NPEC,0.623987595308347,0.06724589348633866,4.78e-27
AA,NPSG,0.5455690617260147,0.09823332517102633,4.78e-27
AA,NPTZ,0.31461441506605736,0.062028601664161416,4.78e-27
AA,CUCP,0.4823303005580016,0.09021119950920696,4.78e-27
AA,SS,0.41122519157061915,0.13265497827677408,4.78e-27
Betaine,PEDP,0.13544873229452858,0.010755432235778625,7.8e-4
Betaine,NPEC,0.12394269883825312,0.022785894015707922,7.8e-4
Betaine,NPSG,0.13179793572618936,0.030764417408903136,7.8e-4
Betaine,NPTZ,0.16296194234487507,0.05763932621888252,7.8e-4
Betaine,CUCP,0.1542315706580903,0.03647028512927879,7.8e-4
Betaine,SS,0.10721737706198171,0.05120304835047277,7.8e-4
Sugar,PEDP,0.06627544794120097,0.030014180153491117,7.6e-7
Sugar,NPEC,0.05850053159102781,0.02025855363426515,7.6e-7
Sugar,NPSG,0.05864761959215244,0.023670773240655096,7.6e-7
Sugar,NPTZ,0.07308032929602085,0.03483057553851394,7.6e-7
Sugar,CUCP,0.05113263115844269,0.01594787355974992,7.6e-7
Sugar,SS,0.12714489068399726,0.058989703343438976,7.6e-7
Sulfonium,PEDP,0.06057430896028084,0.014857820104775077,1.7299999999999999e-28
Sulfonium,NPEC,0.07258979974712314,0.016349530993151083,1.7299999999999999e-28
Sulfonium,NPSG,0.1680757371353113,0.052112193560135155,1.7299999999999999e-28
Sulfonium,NPTZ,0.17664402761178052,0.05499695869281288,1.7299999999999999e-28
Sulfonium,CUCP,0.18058353512585565,0.0412323960263164,1.7299999999999999e-28
Sulfonium,SS,0.05853961193143188,0.02592564463359067,1.7299999999999999e-28
Sulfonate,PEDP,0.16480940924185095,0.01920350441390423,1.2799999999999999e-24
Sulfonate,NPEC,0.11534366634040771,0.040516631807028664,1.2799999999999999e-24
Sulfonate,NPSG,0.07878278277099171,0.030060776472118404,1.2799999999999999e-24
Sulfonate,NPTZ,0.2541982216912072,0.09332994251663314,1.2799999999999999e-24
Sulfonate,CUCP,0.11120071462575436,0.05836222403946924,1.2799999999999999e-24
Sulfonate,SS,0.27563840089842945,0.16153678122701842,1.2799999999999999e-24
Other,PEDP,0.007391160365514777,0.004721557730277506,2.5e-14
Other,NPEC,0.005635708174841231,0.002828295911328408,2.5e-14
Other,NPSG,0.017126863049340434,0.010370308584249985,2.5e-14
Other,NPTZ,0.01850106399005902,0.014784109748117872,2.5e-14
Other,CUCP,0.020521247873855477,0.008552267877681461,2.5e-14
Other,SS,0.020234527853540494,0.015772837908561,2.5e-14
