SampID,Type,Organism,Vol_mL,tot_cells_filt,cell_volume_on_filter_uL,Culture_Info_Source,Cell_Volume_Source
220111_Smp_DSS3_A,Bacteria,DSS3,30,4475028000,0.4475028,Durham et al. 2019,Straza et al. 2009
220111_Smp_DSS3_B,Bacteria,DSS3,30,5213700000,0.52137,Durham et al. 2019,Straza et al. 2009
220111_Smp_DSS3_C,Bacteria,DSS3,30,4784448000,0.4784448,Durham et al. 2019,Straza et al. 2009
220111_Smp_Och_A,Bacteria,OCh114,30,174627000,0.0174627,Durham et al. 2019,Straza et al. 2009
220111_Smp_Och_B,Bacteria,OCh114,30,156178731.8,0.01561787318,Durham et al. 2019,Straza et al. 2009
220111_Smp_Och_C,Bacteria,OCh114,30,222528000,0.0222528,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA7_A,Bacteria,SA7,30,283452000,0.03401424,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA7_B,Bacteria,SA7,25,374670000,0.0449604,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA7_C,Bacteria,SA7,25,354340000,0.0425208,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA11_A,Bacteria,SA11,30,4045536000,0.4045536,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA11_B,Bacteria,SA11,30,4091220000,0.409122,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA11_C,Bacteria,SA11,30,3661488000,0.3661488,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA16_A,Bacteria,SA16,30,3189528000,0.31895280000000004,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA16_B,Bacteria,SA16,30,3762636000,0.3762636,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA16_C,Bacteria,SA16,30,3630012000,0.3630012,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA36_A,Bacteria,SA36,30,11590512000,1.1590512000000002,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA36_B,Bacteria,SA36,30,13925648712,1.3925648712,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA36_C,Bacteria,SA36,30,11666856000,1.1666856,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA42_A,Bacteria,SA42,30,5809488000,0.5809488,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA44_B,Bacteria,SA44,30,4568196000,0.4568196000000001,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA44_C,Bacteria,SA44,30,5476944000,0.5476944,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA48_A,Bacteria,SA48,20,2170080000,0.217008,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA48_B,Bacteria,SA48,20,1682880000,0.16828800000000002,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA48_C,Bacteria,SA48,30,3990192000,0.3990192,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA53_A,Bacteria,SA53,30,5435388000,0.5435388,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA53_B,Bacteria,SA53,25,5601480000,0.5601480000000001,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA53_C,Bacteria,SA53,25,6707280000,0.670728,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA55_A,Bacteria,SA55,30,7750872000,0.93010464,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA55_B,Bacteria,SA55,30,3632928000,0.43595136,Durham et al. 2019,Straza et al. 2009
220111_Smp_SA55_C,Bacteria,SA55,30,1607352000,0.19288224,Durham et al. 2019,Straza et al. 2009
220111_Smp_SCM1_Exp1,Bacteria,Nmar,1500,4940000000,0.11362,Heal et al. 2021,Zhang et al. 2020
220111_Smp_SCM1_Exp2,Bacteria,Nmar,1500,4520000000,0.10396,Heal et al. 2021,Zhang et al. 2020
220111_Smp_SCM1_Exp3,Bacteria,Nmar,1500,4340000000,0.09982,Heal et al. 2021,Zhang et al. 2020
211221_Smp_1314P_A,Cyano,1314P,25,1769468850,0.3185,Durham et al. 2019,Durham et al. 2019
211221_Smp_1314P_B,Cyano,1314P,25,1936571770,0.34858,Durham et al. 2019,Durham et al. 2019
211221_Smp_1314P_C,Cyano,1314P,25,1761162141,0.31701,Durham et al. 2019,Durham et al. 2019
211221_Smp_7803_B,Cyano,7803,80,2204716157,2.20472,Durham et al. 2019,Durham et al. 2019
211221_Smp_7803_F,Cyano,7803,80,2189278433,2.18928,Durham et al. 2019,Durham et al. 2019
211221_Smp_8102_A,Cyano,8102,60,707997613.8,0.708,Durham et al. 2019,Durham et al. 2019
211221_Smp_8102_F,Cyano,8102,60,754840255.6,0.75484,Durham et al. 2019,Durham et al. 2019
211221_Smp_8501_B,Cyano,WH8501,50,92781450,3.711258,Durham et al. 2019,Durham et al. 2019
211221_Smp_8501_C,Cyano,WH8501,75,133775795.5,5.351031818,Durham et al. 2019,Durham et al. 2019
211221_Smp_8501_D,Cyano,WH8501,50,87888214.29,3.515528571,Durham et al. 2019,Durham et al. 2019
211221_Smp_As9601_A,Cyano,As9601,25,2514201714,0.452556309,Durham et al. 2019,Durham et al. 2019
211221_Smp_As9601_B,Cyano,As9601,25,2708256789,0.487486222,Durham et al. 2019,Durham et al. 2019
211221_Smp_As9601_C,Cyano,As9601,25,2594914240,0.467084563,Durham et al. 2019,Durham et al. 2019
211221_Smp_MED4_D,Cyano,MED4,80,2171574129,0.390883343,Durham et al. 2019,Durham et al. 2019
211221_Smp_MED4_E,Cyano,MED4,80,1924996997,0.346499459,Durham et al. 2019,Durham et al. 2019
211221_Smp_MED4_F,Cyano,MED4,80,2194837423,0.395070736,Durham et al. 2019,Durham et al. 2019
211221_Smp_Nat_A,Cyano,NATL2A,25,251553166.1,0.062888292,Durham et al. 2019,Durham et al. 2019
211221_Smp_Nat_B,Cyano,NATL2A,25,217620000,0.054405,Durham et al. 2019,Durham et al. 2019
211221_Smp_Nat_C,Cyano,NATL2A,25,219701953.7,0.054925488,Durham et al. 2019,Durham et al. 2019
211215_Smp_Cy_A,Diatom,Cy,60,50148540,7.0207956,Durham et al. 2019,Durham et al. 2019
211215_Smp_Cy_B,Diatom,Cy,60,16325181.82,2.285525455,Durham et al. 2019,Durham et al. 2019
211215_Smp_Cy_C,Diatom,Cy,60,35449830,4.9629762,Durham et al. 2019,Durham et al. 2019
211215_Smp_Np_A,Diatom,Np,90,88591320,4.429566,Durham et al. 2019,Durham et al. 2019
211215_Smp_Np_C,Diatom,Np,100,101538600,5.07693,Durham et al. 2019,Durham et al. 2019
211215_Smp_Np_F,Diatom,Np,100,113953800,5.69769,Durham et al. 2019,Durham et al. 2019
211215_Smp_Pc55x_A,Diatom,Pc55x,75,2487931.034,3.980689655,Durham et al. 2019,Durham et al. 2019
211215_Smp_Pc55x_B,Diatom,Pc55x,75,2596551.724,4.154482759,Durham et al. 2019,Durham et al. 2019
211215_Smp_Pc55x_C,Diatom,Pc55x,75,1582894.737,2.532631579,Durham et al. 2019,Durham et al. 2019
211215_Smp_Pt_C,Diatom,Pt,100,131246400,52.49856,Durham et al. 2019,Durham et al. 2019
211215_Smp_Pt_F,Diatom,Pt,100,138784200,55.51368,Durham et al. 2019,Durham et al. 2019
211215_Smp_To_A,Diatom,To,100,67396800,10.10952,Durham et al. 2019,Durham et al. 2019
211215_Smp_To_B,Diatom,To,100,88458300,13.26875,Durham et al. 2019,Durham et al. 2019
211215_Smp_To_C,Diatom,To,100,81363900,12.20459,Durham et al. 2019,Durham et al. 2019
211215_Smp_Tp_A,Diatom,Tp,115,73370383.33,4.40222,Durham et al. 2019,Durham et al. 2019
211215_Smp_Tp_E,Diatom,Tp,100,52321200,3.13927,Durham et al. 2019,Durham et al. 2019
211215_Smp_Tp_F,Diatom,Tp,115,106061280,6.36368,Durham et al. 2019,Durham et al. 2019
211218_Smp_449_A,Dino,449,24,170880,0.33903,Durham et al. 2019,Durham et al. 2019
211218_Smp_449_B,Dino,449,24,242560,0.48124,Durham et al. 2019,Durham et al. 2019
211218_Smp_449_C,Dino,449,24,277920,0.55139,Durham et al. 2019,Durham et al. 2019
211218_Smp_1314_A,Dino,1314,24,898320,0.56953488,Durham et al. 2019,Durham et al. 2019
211218_Smp_1314_B,Dino,1314,24,919200,0.5827728,Durham et al. 2019,Durham et al. 2019
211218_Smp_1314_C,Dino,1314,24,1054560,0.66859104,Durham et al. 2019,Durham et al. 2019
211218_Smp_1545_A,Prasinophyte,1545,25,139481555.3,0.557926221,Durham et al. 2019,Durham et al. 2019
211218_Smp_1545_B,Prasinophyte,1545,25,142759481,0.571037924,Durham et al. 2019,Durham et al. 2019
211218_Smp_1545_C,Prasinophyte,1545,25,134108178.4,0.536432713,Durham et al. 2019,Durham et al. 2019
