SampID,Type,Organism,Compound,uM.in.vial.ave,uM_in_samp
220111_Smp_DSS3_A,Bacteria,DSS3,(3-Carboxypropyl)trimethylammonium,0.5466982840036555,0.00728931045338207
220111_Smp_DSS3_B,Bacteria,DSS3,(3-Carboxypropyl)trimethylammonium,0.5602995141340409,0.00747066018845387
220111_Smp_DSS3_C,Bacteria,DSS3,(3-Carboxypropyl)trimethylammonium,0.550552377562942,0.00734069836750589
220111_Smp_Och_A,Bacteria,OCh114,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_Och_B,Bacteria,OCh114,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_Och_C,Bacteria,OCh114,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_SA7_A,Bacteria,SA7,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_SA7_B,Bacteria,SA7,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_SA7_C,Bacteria,SA7,(3-Carboxypropyl)trimethylammonium,9.70165374992716e-5,1.5522645999883455e-6
220111_Smp_SA11_A,Bacteria,SA11,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_SA11_B,Bacteria,SA11,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_SA11_C,Bacteria,SA11,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_SA16_A,Bacteria,SA16,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_SA16_B,Bacteria,SA16,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_SA16_C,Bacteria,SA16,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_SA36_A,Bacteria,SA36,(3-Carboxypropyl)trimethylammonium,7.756500949817507e-5,1.0342001266423343e-6
220111_Smp_SA36_B,Bacteria,SA36,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_SA36_C,Bacteria,SA36,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_SA42_A,Bacteria,SA42,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_SA44_B,Bacteria,SA44,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_SA44_C,Bacteria,SA44,(3-Carboxypropyl)trimethylammonium,1.120037803853624e-4,1.4933837384714984e-6
220111_Smp_SA48_A,Bacteria,SA48,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_SA48_B,Bacteria,SA48,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_SA48_C,Bacteria,SA48,(3-Carboxypropyl)trimethylammonium,4.673499870395407e-5,6.231333160527209e-7
220111_Smp_SA53_A,Bacteria,SA53,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_SA53_B,Bacteria,SA53,(3-Carboxypropyl)trimethylammonium,8.041157457150627e-5,1.2865851931441e-6
220111_Smp_SA53_C,Bacteria,SA53,(3-Carboxypropyl)trimethylammonium,1.1932629682399988e-4,1.9092207491839985e-6
220111_Smp_SA55_A,Bacteria,SA55,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_SA55_B,Bacteria,SA55,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_SA55_C,Bacteria,SA55,(3-Carboxypropyl)trimethylammonium,0,0
220111_Smp_SCM1_Exp1,Bacteria,Nmar,(3-Carboxypropyl)trimethylammonium,1.871266548206249e-5,4.990044128549997e-9
220111_Smp_SCM1_Exp2,Bacteria,Nmar,(3-Carboxypropyl)trimethylammonium,2.8251769477802156e-5,7.533805194080574e-9
220111_Smp_SCM1_Exp3,Bacteria,Nmar,(3-Carboxypropyl)trimethylammonium,2.0248721771633285e-5,5.399659139102208e-9
211221_Smp_1314P_A,Cyano,1314P,(3-Carboxypropyl)trimethylammonium,0,0
211221_Smp_1314P_B,Cyano,1314P,(3-Carboxypropyl)trimethylammonium,0,0
211221_Smp_1314P_C,Cyano,1314P,(3-Carboxypropyl)trimethylammonium,2.0761085987528085e-5,3.3217737580044937e-7
211221_Smp_7803_B,Cyano,7803,(3-Carboxypropyl)trimethylammonium,0,0
211221_Smp_7803_F,Cyano,7803,(3-Carboxypropyl)trimethylammonium,0,0
211221_Smp_8102_A,Cyano,8102,(3-Carboxypropyl)trimethylammonium,0,0
211221_Smp_8102_F,Cyano,8102,(3-Carboxypropyl)trimethylammonium,0,0
211221_Smp_8501_B,Cyano,WH8501,(3-Carboxypropyl)trimethylammonium,0,0
211221_Smp_8501_C,Cyano,WH8501,(3-Carboxypropyl)trimethylammonium,0,0
211221_Smp_8501_D,Cyano,WH8501,(3-Carboxypropyl)trimethylammonium,0,0
211221_Smp_As9601_A,Cyano,As9601,(3-Carboxypropyl)trimethylammonium,0,0
211221_Smp_As9601_B,Cyano,As9601,(3-Carboxypropyl)trimethylammonium,0,0
211221_Smp_As9601_C,Cyano,As9601,(3-Carboxypropyl)trimethylammonium,0,0
211221_Smp_MED4_D,Cyano,MED4,(3-Carboxypropyl)trimethylammonium,3.6104358054060005e-5,1.8052179027030006e-7
211221_Smp_MED4_E,Cyano,MED4,(3-Carboxypropyl)trimethylammonium,0,0
211221_Smp_MED4_F,Cyano,MED4,(3-Carboxypropyl)trimethylammonium,6.929674913622894e-5,3.464837456811447e-7
211221_Smp_Nat_A,Cyano,NATL2A,(3-Carboxypropyl)trimethylammonium,0,0
211221_Smp_Nat_B,Cyano,NATL2A,(3-Carboxypropyl)trimethylammonium,0,0
211221_Smp_Nat_C,Cyano,NATL2A,(3-Carboxypropyl)trimethylammonium,5.971116448493961e-5,9.553786317590335e-7
211215_Smp_Cy_A,Diatom,Cy,(3-Carboxypropyl)trimethylammonium,0.09126665589422216,6.084443726281477e-4
211215_Smp_Cy_B,Diatom,Cy,(3-Carboxypropyl)trimethylammonium,0.08039655006249559,5.359770004166372e-4
211215_Smp_Cy_C,Diatom,Cy,(3-Carboxypropyl)trimethylammonium,0.08938804310886199,5.959202873924133e-4
211215_Smp_Np_A,Diatom,Np,(3-Carboxypropyl)trimethylammonium,0.02615376126256055,1.1623893894471356e-4
211215_Smp_Np_C,Diatom,Np,(3-Carboxypropyl)trimethylammonium,0.01231782020063709,4.9271280802548365e-5
211215_Smp_Np_F,Diatom,Np,(3-Carboxypropyl)trimethylammonium,0.02106252741800317,8.425010967201268e-5
211215_Smp_Pc55x_A,Diatom,Pc55x,(3-Carboxypropyl)trimethylammonium,8.209516229724782,0.04378408655853217
211215_Smp_Pc55x_B,Diatom,Pc55x,(3-Carboxypropyl)trimethylammonium,10.686275254358565,0.05699346802324567
211215_Smp_Pc55x_C,Diatom,Pc55x,(3-Carboxypropyl)trimethylammonium,6.849599903140622,0.03653119948341665
211215_Smp_Pt_C,Diatom,Pt,(3-Carboxypropyl)trimethylammonium,0.5325257318971773,0.0021301029275887
211215_Smp_Pt_F,Diatom,Pt,(3-Carboxypropyl)trimethylammonium,0.4582817705951235,0.00183312708238049
211215_Smp_To_A,Diatom,To,(3-Carboxypropyl)trimethylammonium,0.18659332548808483,7.463733019523394e-4
211215_Smp_To_B,Diatom,To,(3-Carboxypropyl)trimethylammonium,0.18733843035684947,7.493537214273977e-4
211215_Smp_To_C,Diatom,To,(3-Carboxypropyl)trimethylammonium,0.09586830924243855,3.834732369697543e-4
211215_Smp_Tp_A,Diatom,Tp,(3-Carboxypropyl)trimethylammonium,0.12303156132542135,4.2793586547972646e-4
211215_Smp_Tp_E,Diatom,Tp,(3-Carboxypropyl)trimethylammonium,0.09849302918828846,3.9397211675315383e-4
211215_Smp_Tp_F,Diatom,Tp,(3-Carboxypropyl)trimethylammonium,0.11259184676253504,3.9162381482620885e-4
211218_Smp_449_A,Dino,449,(3-Carboxypropyl)trimethylammonium,0.6201458570927811,0.01033576428487968
211218_Smp_449_B,Dino,449,(3-Carboxypropyl)trimethylammonium,0.7972404038055465,0.01328734006342577
211218_Smp_449_C,Dino,449,(3-Carboxypropyl)trimethylammonium,0.7299447616548883,0.01216574602758147
211218_Smp_1314_A,Dino,1314,(3-Carboxypropyl)trimethylammonium,0.5600795705414682,0.00933465950902446
211218_Smp_1314_B,Dino,1314,(3-Carboxypropyl)trimethylammonium,0.4975562270343368,0.00829260378390561
211218_Smp_1314_C,Dino,1314,(3-Carboxypropyl)trimethylammonium,0.4953007465154818,0.00825501244192469
211218_Smp_1545_A,Prasinophyte,1545,(3-Carboxypropyl)trimethylammonium,0,0
211218_Smp_1545_B,Prasinophyte,1545,(3-Carboxypropyl)trimethylammonium,0,0
211218_Smp_1545_C,Prasinophyte,1545,(3-Carboxypropyl)trimethylammonium,0,0
211218_Smp_1771_A,Dino,1771,(3-Carboxypropyl)trimethylammonium,0.5709348399355286,0.00951558066559214
211218_Smp_1771_B,Dino,1771,(3-Carboxypropyl)trimethylammonium,0.7321438831388474,0.01220239805231412
211218_Smp_1771_C,Dino,1771,(3-Carboxypropyl)trimethylammonium,0.5263408766775458,0.00877234794462576
211218_Smp_2021_A,Dino,2021,(3-Carboxypropyl)trimethylammonium,8.189766555639965,0.06685523718889767
211218_Smp_2021_B,Dino,2021,(3-Carboxypropyl)trimethylammonium,8.608837835292892,0.07027622722688075
211218_Smp_2021_C,Dino,2021,(3-Carboxypropyl)trimethylammonium,4.530892887147345,0.07551488145245573
211218_Smp_3430_A,Prasinophyte,3430,(3-Carboxypropyl)trimethylammonium,9.488204678466892e-5,1.518112748554703e-6
211218_Smp_3430_B,Prasinophyte,3430,(3-Carboxypropyl)trimethylammonium,0,0
211218_Smp_3430_C,Prasinophyte,3430,(3-Carboxypropyl)trimethylammonium,0,0
220104_Smp_371_A,Haptophyte,371,(3-Carboxypropyl)trimethylammonium,0.00866569535641583,4.6217041900884456e-5
220104_Smp_371_B,Haptophyte,371,(3-Carboxypropyl)trimethylammonium,0.01126430904030212,6.007631488161134e-5
220104_Smp_371_C,Haptophyte,371,(3-Carboxypropyl)trimethylammonium,0.00600087744935819,4.8007019594865555e-5
220104_Smp_2090_A,Haptophyte,2090,(3-Carboxypropyl)trimethylammonium,0.00230818269390866,2.051717950141036e-5
220104_Smp_2090_B,Haptophyte,2090,(3-Carboxypropyl)trimethylammonium,2.968958314551256e-4,2.375166651641005e-6
220104_Smp_2090_C,Haptophyte,2090,(3-Carboxypropyl)trimethylammonium,0.00649346835199352,5.19477468159482e-5
220104_Smp_371_A,Haptophyte,371,"(R)-2,3-Dihydroxypropane-1-sulfonate",7.182417566176884,0.03830622701961005
220104_Smp_371_B,Haptophyte,371,"(R)-2,3-Dihydroxypropane-1-sulfonate",7.888553179869839,0.04207228362597247
220104_Smp_371_C,Haptophyte,371,"(R)-2,3-Dihydroxypropane-1-sulfonate",7.09990270103698,0.05679922160829583
220104_Smp_2090_A,Haptophyte,2090,"(R)-2,3-Dihydroxypropane-1-sulfonate",3.237768233297837,0.02878016207375855
220104_Smp_2090_B,Haptophyte,2090,"(R)-2,3-Dihydroxypropane-1-sulfonate",4.52271618923928,0.03618172951391424
220104_Smp_2090_C,Haptophyte,2090,"(R)-2,3-Dihydroxypropane-1-sulfonate",6.687118624511593,0.05349694899609274
220111_Smp_DSS3_A,Bacteria,DSS3,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_DSS3_B,Bacteria,DSS3,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_DSS3_C,Bacteria,DSS3,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_Och_A,Bacteria,OCh114,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_Och_B,Bacteria,OCh114,"(R)-2,3-Dihydroxypropane-1-sulfonate",8.937049648961398e-4,1.1916066198615196e-5
220111_Smp_Och_C,Bacteria,OCh114,"(R)-2,3-Dihydroxypropane-1-sulfonate",8.107277572100042e-4,1.0809703429466723e-5
220111_Smp_SA7_A,Bacteria,SA7,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA7_B,Bacteria,SA7,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA7_C,Bacteria,SA7,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA11_A,Bacteria,SA11,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA11_B,Bacteria,SA11,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA11_C,Bacteria,SA11,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA16_A,Bacteria,SA16,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA16_B,Bacteria,SA16,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA16_C,Bacteria,SA16,"(R)-2,3-Dihydroxypropane-1-sulfonate",0.00165378341646162,2.2050445552821672e-5
220111_Smp_SA36_A,Bacteria,SA36,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA36_B,Bacteria,SA36,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA36_C,Bacteria,SA36,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA42_A,Bacteria,SA42,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA44_B,Bacteria,SA44,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA44_C,Bacteria,SA44,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA48_A,Bacteria,SA48,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA48_B,Bacteria,SA48,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA48_C,Bacteria,SA48,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA53_A,Bacteria,SA53,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA53_B,Bacteria,SA53,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA53_C,Bacteria,SA53,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA55_A,Bacteria,SA55,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA55_B,Bacteria,SA55,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SA55_C,Bacteria,SA55,"(R)-2,3-Dihydroxypropane-1-sulfonate",7.703574141293823e-4,1.0271432188391764e-05
220111_Smp_SCM1_Exp1,Bacteria,Nmar,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SCM1_Exp2,Bacteria,Nmar,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
220111_Smp_SCM1_Exp3,Bacteria,Nmar,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211221_Smp_1314P_A,Cyano,1314P,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211221_Smp_1314P_B,Cyano,1314P,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211221_Smp_1314P_C,Cyano,1314P,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211221_Smp_7803_B,Cyano,7803,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211221_Smp_7803_F,Cyano,7803,"(R)-2,3-Dihydroxypropane-1-sulfonate",0.00173647623829028,8.682381191451443e-6
211221_Smp_8102_A,Cyano,8102,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211221_Smp_8102_F,Cyano,8102,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211221_Smp_8501_B,Cyano,WH8501,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211221_Smp_8501_C,Cyano,WH8501,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211221_Smp_8501_D,Cyano,WH8501,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211221_Smp_As9601_A,Cyano,As9601,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211221_Smp_As9601_B,Cyano,As9601,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211221_Smp_As9601_C,Cyano,As9601,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211221_Smp_MED4_D,Cyano,MED4,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211221_Smp_MED4_E,Cyano,MED4,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211221_Smp_MED4_F,Cyano,MED4,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211221_Smp_Nat_A,Cyano,NATL2A,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211221_Smp_Nat_B,Cyano,NATL2A,"(R)-2,3-Dihydroxypropane-1-sulfonate",9.754256380371037e-4,1.5606810208593656e-5
211221_Smp_Nat_C,Cyano,NATL2A,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211215_Smp_Cy_A,Diatom,Cy,"(R)-2,3-Dihydroxypropane-1-sulfonate",43.586307213190075,0.2905753814212672
211215_Smp_Cy_B,Diatom,Cy,"(R)-2,3-Dihydroxypropane-1-sulfonate",42.92416751394978,0.2861611167596652
211215_Smp_Cy_C,Diatom,Cy,"(R)-2,3-Dihydroxypropane-1-sulfonate",64.89568772484746,0.4326379181656498
211215_Smp_Np_A,Diatom,Np,"(R)-2,3-Dihydroxypropane-1-sulfonate",26.512080509148134,0.11783146892954728
211215_Smp_Np_C,Diatom,Np,"(R)-2,3-Dihydroxypropane-1-sulfonate",35.24961696269767,0.1409984678507907
211215_Smp_Np_F,Diatom,Np,"(R)-2,3-Dihydroxypropane-1-sulfonate",30.762312736808937,0.12304925094723576
211215_Smp_Pc55x_A,Diatom,Pc55x,"(R)-2,3-Dihydroxypropane-1-sulfonate",0.2053951472085615,0.00109544078511232
211215_Smp_Pc55x_B,Diatom,Pc55x,"(R)-2,3-Dihydroxypropane-1-sulfonate",0.17162838471774536,9.153513851613086e-4
211215_Smp_Pc55x_C,Diatom,Pc55x,"(R)-2,3-Dihydroxypropane-1-sulfonate",0.07928621349105107,4.228598052856057e-4
211215_Smp_Pt_C,Diatom,Pt,"(R)-2,3-Dihydroxypropane-1-sulfonate",100.50818237441077,0.40203272949764296
211215_Smp_Pt_F,Diatom,Pt,"(R)-2,3-Dihydroxypropane-1-sulfonate",121.7414609012486,0.48696584360499434
211215_Smp_To_A,Diatom,To,"(R)-2,3-Dihydroxypropane-1-sulfonate",63.58381510605646,0.2543352604242259
211215_Smp_To_B,Diatom,To,"(R)-2,3-Dihydroxypropane-1-sulfonate",71.04046643424671,0.2841618657369868
211215_Smp_To_C,Diatom,To,"(R)-2,3-Dihydroxypropane-1-sulfonate",74.44484907765306,0.29777939631061223
211215_Smp_Tp_A,Diatom,Tp,"(R)-2,3-Dihydroxypropane-1-sulfonate",39.975781153403034,0.13904619531618445
211215_Smp_Tp_E,Diatom,Tp,"(R)-2,3-Dihydroxypropane-1-sulfonate",22.612033467478692,0.09044813386991477
211215_Smp_Tp_F,Diatom,Tp,"(R)-2,3-Dihydroxypropane-1-sulfonate",22.94736557023531,0.0798169237225576
211218_Smp_449_A,Dino,449,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211218_Smp_449_B,Dino,449,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211218_Smp_449_C,Dino,449,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211218_Smp_1314_A,Dino,1314,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211218_Smp_1314_B,Dino,1314,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211218_Smp_1314_C,Dino,1314,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211218_Smp_1545_A,Prasinophyte,1545,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211218_Smp_1545_B,Prasinophyte,1545,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211218_Smp_1545_C,Prasinophyte,1545,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211218_Smp_1771_A,Dino,1771,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211218_Smp_1771_B,Dino,1771,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211218_Smp_1771_C,Dino,1771,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211218_Smp_2021_A,Dino,2021,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211218_Smp_2021_B,Dino,2021,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211218_Smp_2021_C,Dino,2021,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211218_Smp_3430_A,Prasinophyte,3430,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211218_Smp_3430_B,Prasinophyte,3430,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211218_Smp_3430_C,Prasinophyte,3430,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0
211215_Smp_Cy_A,Diatom,Cy,2-O-alpha-D-Glucosylglycerol,11.968892411503488,0.0797926160766899
211215_Smp_Cy_B,Diatom,Cy,2-O-alpha-D-Glucosylglycerol,8.796011531253626,0.05864007687502416
211215_Smp_Cy_C,Diatom,Cy,2-O-alpha-D-Glucosylglycerol,13.225070615886956,0.08816713743924637
211215_Smp_Np_A,Diatom,Np,2-O-alpha-D-Glucosylglycerol,17.20374355389532,0.07646108246175695
211215_Smp_Np_C,Diatom,Np,2-O-alpha-D-Glucosylglycerol,13.353091694277516,0.05341236677711006
211215_Smp_Np_F,Diatom,Np,2-O-alpha-D-Glucosylglycerol,18.74944100148046,0.07499776400592183
211215_Smp_Pc55x_A,Diatom,Pc55x,2-O-alpha-D-Glucosylglycerol,57.2017383092823,0.30507593764950564
