Part.SampID,Diss.SampID,Cruise,Region,Compound,compound.name.figure,Part.Conc.nM,Diss.Conc.nM.adj,Total.Conc.nM,Part.Flag,Diss.Flag,Tot.Flag
220628_Smp_MU1_A,220623_Smp_MU1_A,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.02185321954941312,0.0311602873277382,0.05301350687715132,NA,NA,NA
220628_Smp_MU1_B,220623_Smp_MU1_B,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.02615384837893195,0.01042808350624668,0.03658193188517863,NA,NA,NA
220628_Smp_MU1_C,220623_Smp_MU1_C,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.02834630995149818,0.01116468539867528,0.03951099535017346,NA,NA,NA
220628_Smp_MU2_A,220623_Smp_MU2_A,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.01317809501604573,0.02874280520409169,0.04192090022013742,NA,NA,NA
220628_Smp_MU2_B,220623_Smp_MU2_B,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.02276212760584492,0.01852807683280731,0.04129020443865223,NA,NA,NA
220628_Smp_MU2_C,220623_Smp_MU2_C,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.02241029046241425,0.01766764991684542,0.04007794037925967,NA,NA,NA
220628_Smp_MU3_A,220623_Smp_MU3_A,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.0177379934860893,0.02294578098122573,0.04068377446731503,NA,NA,NA
220628_Smp_MU3_B,220623_Smp_MU3_B,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.02481142865538626,0.02389889006021808,0.04871031871560434,NA,NA,NA
220628_Smp_MU3_C,220623_Smp_MU3_C,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.0210335259056349,0.02315306506319278,0.04418659096882768,NA,NA,NA
220628_Smp_MU4_A,220623_Smp_MU4_A,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.02533797488471076,0.02210024195429178,0.04743821683900254,NA,NA,NA
220628_Smp_MU4_B,220623_Smp_MU4_B,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.03478060717173098,0.01473653673495606,0.04951714390668704,NA,NA,NA
220628_Smp_MU4_C,220623_Smp_MU4_C,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.02720958801409596,0.0211493469972306,0.04835893501132655,NA,NA,NA
220628_Smp_MU5_A,220623_Smp_MU5_A,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.01624577247774397,0.01251148204680168,0.02875725452454565,NA,NA,NA
220628_Smp_MU5_B,220623_Smp_MU5_B,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.02139276145101531,0.00314865290396103,0.02454141435497634,NA,NA,NA
220628_Smp_MU5_C,220623_Smp_MU5_C,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.01995219385476075,0.02815112586153637,0.04810331971629712,NA,NA,NA
220628_Smp_MU6_A,220623_Smp_MU6_A,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.02880149956008477,0.02459730098531459,0.05339880054539936,NA,NA,NA
220628_Smp_MU6_B,220623_Smp_MU6_B,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.02449653331663242,0.03385762946515444,0.05835416278178686,NA,NA,NA
220628_Smp_MU6_C,220623_Smp_MU6_C,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.01957643019118542,0.02876380666375887,0.04834023685494429,NA,NA,NA
220628_Smp_MU7_A,220623_Smp_MU7_A,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.02564459247207481,0.01092234565733511,0.03656693812940992,NA,NA,NA
220628_Smp_MU7_B,220623_Smp_MU7_B,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.03364815114406906,0.0178011710149777,0.05144932215904677,NA,NA,NA
